ItemID,Name,ItemType,ItemTypeDisplayName,Description,ItemClass,TradingCategory,TradingFamily,TradingGroup,BindOnPickup,BindOnEquip,GearScoreOverride,MinGearScore,MaxGearScore,Tier,ItemStatsRef,GrantsHWMBump,IgnoreNameChanges,IgnoreHWMScaling,CanHavePerks,CanReplaceGem,Perk1,Perk2,Perk3,Perk4,Perk5,PerkBucket1,PerkBucket2,PerkBucket3,PerkBucket4,PerkBucket5,ForceRarity,RequiredLevel,UseTypeAffix,UseMaterialAffix,UseMagicAffix,IconCaptureGroup,UiItemClass,RDyeSlotDisabled,GDyeSlotDisabled,BDyeSlotDisabled,ADyeSlotDisabled,ArmorAppearanceM,ArmorAppearanceF,WeaponAppearanceOverride,ConfirmDestroy,ConfirmBeforeUse,ConsumeOnUse,PrefabPath,HousingTags,IconPath,HiResIconPath,MaxStackSize,DeathDropPercentage,Nonremovable,IsMissionItem,IsUniqueItem,ContainerLevel,ContainerGS,ExceedMinIndex,ExceedMaxIndex,IsSalvageable,SalvageResources,IsRepairable,RepairDustModifier,RepairRecipe,CraftingRecipe,RepairGameEventID,SalvageGameEventID,SalvageAchievement,RepairTypes,IngredientCategories,IngredientBonusPrimary,IngredientBonusSecondary,IngredientGearScoreBaseBonus,IngredientGearScoreMaxBonus,ExtraBonusItemChance,Durability,DurabilityDmgOnDeath,DestroyOnBreak,Weight,AcquisitionNotificationId,AudioPickup,AudioPlace,AudioUse,AudioCreated,AudioDestroyed,MannequinTag,SoundTableID,WarboardGatherStat,WarboardDepositStat,Notes,HideInLootTicker,HideFromRewardOpenPopup
Omega_Box_Weapons_Damage,@Omega_Box_Weapons_Damage_MasterName,Resource,@ui_itemtypedescription_resource,@Omega_Box_Weapons_Damage_Description,Resource+LootContainer,,,,true,,,,,5,,,,,,,,,,,,,,,,,,,false,false,false,,UI_Rewards,,,,,,,,,false,false,,,lyshineui/images/icons/items/Resource/QuestRewardWeaponsT2.png,lyshineui/images/icons/items_hires/QuestRewardWeaponsT2.png,10000,0,,,,1,,,,true,true,false,,[LTID]OmegaWeaponsDamage,,,,,,,,,,,,,,false,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
Omega_Box_Gems,@Omega_Box_Gems_MasterName,Resource,@ui_itemtypedescription_resource,@Omega_Box_Gems_Description,Resource+LootContainer,,,,true,,,,,5,,,,,,,,,,,,,,,,,,,false,false,false,,UI_Rewards,,,,,,,,,false,false,,,lyshineui/images/icons/items/Resource/LockboxT1.png,lyshineui/images/icons/items_hires/LockboxT1.png,10000,0,,,,1,,,,true,true,false,,[LTID]OmegaGems,,,,,,,,,,,,,,false,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
Omega_Box_Consumables,@Omega_Box_Consumables_MasterName,Resource,@ui_itemtypedescription_resource,@Omega_Box_Consumables_Description,Resource+LootContainer,,,,true,,,,,5,,,,,,,,,,,,,,,,,,,false,false,false,,UI_Rewards,,,,,,,,,false,false,,,lyshineui/images/icons/items/Resource/PicnicBasketT1.png,lyshineui/images/icons/items_hires/PicnicBasketT1.png,10000,0,,,,1,,,,true,true,false,,[LTID]OmegaConsumables,,,,,,,,,,,,,,false,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
Omega_Box_Tools,@Omega_Box_Tools_MasterName,Resource,@ui_itemtypedescription_resource,@Omega_Box_Tools_Description,Resource+LootContainer,,,,true,,,,,5,,,,,,,,,,,,,,,,,,,false,false,false,,UI_Rewards,,,,,,,,,false,false,,,lyshineui/images/icons/items/Resource/MI_Toolbox.png,lyshineui/images/icons/items_hires/MI_Toolbox.png,10000,0,,,,1,,,,true,true,false,,[LTID]OmegaTools,,,,,,,,,,,,,,false,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
Omega_Box_TuningOrbs,@Omega_Box_TuningOrbs_MasterName,Resource,@ui_itemtypedescription_resource,@Omega_Box_TuningOrbs_Description,Resource+LootContainer,,,,true,,,,,5,,,,,,,,,,,,,,,,,,,false,false,false,,UI_Rewards,,,,,,,,,false,false,,,lyshineui/images/icons/items/Resource/MI_SmallBoxGlowingRunes.png,lyshineui/images/icons/items_hires/MI_SmallBoxGlowingRunes.png,10000,0,,,,1,,,,true,true,false,,[LTID]OmegaTuningOrbs,,,,,,,,,,,,,,false,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
Omega_Bag_T5,@Omega_Bag_T5_MasterName,Armor,@ui_itemtypedescription_bag,@Omega_Bag_T5_Description,Bag,,,,true,,600,600,600,5,BagBT5,,,,true,,PerkID_Bags_WeightAdd,PerkID_Bags_ArmorWeight,,,,,,,,,,,true,true,true,,UI_Armor,,,,,,,,,false,false,,,lyshineui/images/icons/items/Armor/BagBT5.png,lyshineui/images/icons/items_hires/BagBT5.png,1,0,,,,,,,,true,true,true,4,SalvageLarge_LeatherT5,SalvageLarge_LeatherT5,,,,,,,,,,,0,0,false,1,,Play_UI_Pickup_Leather,Play_UI_Drop_Leather,Play_UI_Use_Leather,Play_UI_Created_Leather,,,,,,,,
Omega_Azoth_Vial,@Omega_Azoth_Vial_MasterName,Resource,@ui_itemtypedescription_resource,@Omega_Azoth_Vial_Description,Resource+LootContainer,,,,true,,,,,0,,,,,,,,,,,,,,,,,4,,false,false,false,,UI_Material,,,,,,,,,,false,,,lyshineui/images/icons/items/Resource/AzureT1.png,lyshineui/images/icons/items_hires/AzureT1.png,10000,0,,,,,,,,true,,false,,[LTID]OmegaAzoth,,,OmegaAzothGrant,,,,,,,,,,,false,1,,Play_UI_Pickup_Liquid,Play_UI_Drop_Liquid,Play_UI_Use_Liquid,Play_UI_Created_Liquid,,,,,,,,true
Omega_Box_Armor_Soldier,@Omega_Box_Armor_Soldier_MasterName,Resource,@ui_itemtypedescription_resource,@Omega_Box_Armor_Soldier_Description,Resource+LootContainer,,,,true,,,,,5,,,,,,,,,,,,,,,,,,,false,false,false,,UI_Rewards,,,,,,,,,false,false,,,lyshineui/images/icons/items/Resource/SprigganRewardContainer1.png,lyshineui/images/icons/items_hires/SprigganRewardContainer1.png,10000,0,,,,1,,,,true,true,false,,[LTID]OmegaArmorSoldier,,,,,,,,,,,,,,false,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
Omega_Box_Armor_Soldier_Heavy,@Omega_Box_Armor_Soldier_Heavy_MasterName,Resource,@ui_itemtypedescription_resource,@Omega_Box_Armor_Soldier_Heavy_Description,Resource+LootContainer,,,,true,,,,,5,,,,,,,,,,,,,,,,,,,false,false,false,,UI_Rewards,,,,,,,,,false,false,,,lyshineui/images/icons/items/Resource/QuestRewardArmorT3.png,lyshineui/images/icons/items_hires/QuestRewardArmorT3.png,10000,0,,,,1,,,,true,true,false,,[LTID]OmegaArmorSoldierHeavy,,,,,,,,,,,,,,false,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
Omega_Box_Armor_Soldier_Medium,@Omega_Box_Armor_Soldier_Medium_MasterName,Resource,@ui_itemtypedescription_resource,@Omega_Box_Armor_Soldier_Medium_Description,Resource+LootContainer,,,,true,,,,,5,,,,,,,,,,,,,,,,,,,false,false,false,,UI_Rewards,,,,,,,,,false,false,,,lyshineui/images/icons/items/Resource/QuestRewardArmorT3.png,lyshineui/images/icons/items_hires/QuestRewardArmorT3.png,10000,0,,,,1,,,,true,true,false,,[LTID]OmegaArmorSoldierMedium,,,,,,,,,,,,,,false,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
Omega_Box_Armor_Soldier_Light,@Omega_Box_Armor_Soldier_Light_MasterName,Resource,@ui_itemtypedescription_resource,@Omega_Box_Armor_Soldier_Light_Description,Resource+LootContainer,,,,true,,,,,5,,,,,,,,,,,,,,,,,,,false,false,false,,UI_Rewards,,,,,,,,,false,false,,,lyshineui/images/icons/items/Resource/QuestRewardArmorT3.png,lyshineui/images/icons/items_hires/QuestRewardArmorT3.png,10000,0,,,,1,,,,true,true,false,,[LTID]OmegaArmorSoldierLight,,,,,,,,,,,,,,false,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
Omega_Box_Armor_Soldier_Trinket,@Omega_Box_Armor_Soldier_Trinket_MasterName,Resource,@ui_itemtypedescription_resource,@Omega_Box_Armor_Soldier_Trinket_Description,Resource+LootContainer,,,,true,,,,,5,,,,,,,,,,,,,,,,,,,false,false,false,,UI_Rewards,,,,,,,,,false,false,,,lyshineui/images/icons/items/Resource/QuestRewardArmorT3.png,lyshineui/images/icons/items_hires/QuestRewardArmorT3.png,10000,0,,,,1,,,,true,true,false,,[LTID]OmegaArmorSoldierTrinket,,,,,,,,,,,,,,false,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
