ItemID,Name,ItemType,ItemTypeDisplayName,Description,ItemClass,TradingCategory,TradingFamily,TradingGroup,BindOnPickup,BindOnEquip,GearScoreOverride,MinGearScore,MaxGearScore,Tier,ItemStatsRef,GrantsHWMBump,IgnoreNameChanges,IgnoreHWMScaling,CanHavePerks,CanReplaceGem,Perk1,Perk2,Perk3,Perk4,Perk5,PerkBucket1,PerkBucket2,PerkBucket3,PerkBucket4,PerkBucket5,ForceRarity,RequiredLevel,UseTypeAffix,UseMaterialAffix,UseMagicAffix,IconCaptureGroup,UiItemClass,RDyeSlotDisabled,GDyeSlotDisabled,BDyeSlotDisabled,ADyeSlotDisabled,ArmorAppearanceM,ArmorAppearanceF,WeaponAppearanceOverride,ConfirmDestroy,ConfirmBeforeUse,ConsumeOnUse,PrefabPath,HousingTags,IconPath,HiResIconPath,MaxStackSize,DeathDropPercentage,Nonremovable,IsMissionItem,IsUniqueItem,ContainerLevel,ContainerGS,ExceedMinIndex,ExceedMaxIndex,IsSalvageable,SalvageResources,IsRepairable,RepairDustModifier,RepairRecipe,CraftingRecipe,RepairGameEventID,SalvageGameEventID,SalvageAchievement,RepairTypes,IngredientCategories,IngredientBonusPrimary,IngredientBonusSecondary,IngredientGearScoreBaseBonus,IngredientGearScoreMaxBonus,ExtraBonusItemChance,Durability,DurabilityDmgOnDeath,DestroyOnBreak,Weight,AcquisitionNotificationId,AudioPickup,AudioPlace,AudioUse,AudioCreated,AudioDestroyed,MannequinTag,SoundTableID,WarboardGatherStat,WarboardDepositStat,Notes,HideInLootTicker,AttributionId
OutpostRushRewardL60,@OutpostRushRewardL60_MasterName,Resource,@ui_itemtypedescription_resource,@RewardContainerInfo,Resource+LootContainer,,,,true,,,,,5,,,,,,,,,,,,,,,,,1,,false,false,false,,UI_Rewards,,,,,,,,,false,false,,,lyshineui/images/icons/items/Resource/QuestRewardArmorT5.png,lyshineui/images/icons/items_hires/QuestRewardArmorT5.png,10000,0,,,,60,600,,,true,true,false,,[LTID]OutpostRushRewardChest,,,,,,,,,,,,,,false,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
InvasionRewardContainerRarity1LowL1,@InvasionRewardContainerRarity1LowL1_MasterName,Resource,@ui_itemtypedescription_resource,@RewardContainerInfo,Resource+LootContainer,,,,true,,,,,0,,,,,,,,,,,,,,,,,1,,false,false,false,,UI_Rewards,,,,,,,,,false,false,,,lyshineui/images/icons/items/Resource/InvasionRewardContainer1.png,lyshineui/images/icons/items_hires/InvasionRewardContainer1.png,10000,0,,,,1,,,,true,true,false,,[LTID]Invasion1,,,,,,,,,,,,,,false,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
InvasionRewardContainerRarity1LowL2,@InvasionRewardContainerRarity1LowL2_MasterName,Resource,@ui_itemtypedescription_resource,@RewardContainerInfo,Resource+LootContainer,,,,true,,,,,0,,,,,,,,,,,,,,,,,1,,false,false,false,,UI_Rewards,,,,,,,,,false,false,,,lyshineui/images/icons/items/Resource/InvasionRewardContainer1.png,lyshineui/images/icons/items_hires/InvasionRewardContainer1.png,10000,0,,,,2,,,,true,true,false,,[LTID]Invasion1,,,,,,,,,,,,,,false,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
InvasionRewardContainerRarity1LowL3,@InvasionRewardContainerRarity1LowL3_MasterName,Resource,@ui_itemtypedescription_resource,@RewardContainerInfo,Resource+LootContainer,,,,true,,,,,0,,,,,,,,,,,,,,,,,1,,false,false,false,,UI_Rewards,,,,,,,,,false,false,,,lyshineui/images/icons/items/Resource/InvasionRewardContainer1.png,lyshineui/images/icons/items_hires/InvasionRewardContainer1.png,10000,0,,,,3,,,,true,true,false,,[LTID]Invasion1,,,,,,,,,,,,,,false,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
InvasionRewardContainerRarity1LowL4,@InvasionRewardContainerRarity1LowL4_MasterName,Resource,@ui_itemtypedescription_resource,@RewardContainerInfo,Resource+LootContainer,,,,true,,,,,0,,,,,,,,,,,,,,,,,1,,false,false,false,,UI_Rewards,,,,,,,,,false,false,,,lyshineui/images/icons/items/Resource/InvasionRewardContainer1.png,lyshineui/images/icons/items_hires/InvasionRewardContainer1.png,10000,0,,,,4,,,,true,true,false,,[LTID]Invasion1,,,,,,,,,,,,,,false,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
InvasionRewardContainerRarity1LowL5,@InvasionRewardContainerRarity1LowL5_MasterName,Resource,@ui_itemtypedescription_resource,@RewardContainerInfo,Resource+LootContainer,,,,true,,,,,0,,,,,,,,,,,,,,,,,1,,false,false,false,,UI_Rewards,,,,,,,,,false,false,,,lyshineui/images/icons/items/Resource/InvasionRewardContainer1.png,lyshineui/images/icons/items_hires/InvasionRewardContainer1.png,10000,0,,,,5,,,,true,true,false,,[LTID]Invasion1,,,,,,,,,,,,,,false,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
InvasionRewardContainerRarity1LowL6,@InvasionRewardContainerRarity1LowL6_MasterName,Resource,@ui_itemtypedescription_resource,@RewardContainerInfo,Resource+LootContainer,,,,true,,,,,0,,,,,,,,,,,,,,,,,1,,false,false,false,,UI_Rewards,,,,,,,,,false,false,,,lyshineui/images/icons/items/Resource/InvasionRewardContainer1.png,lyshineui/images/icons/items_hires/InvasionRewardContainer1.png,10000,0,,,,6,,,,true,true,false,,[LTID]Invasion1,,,,,,,,,,,,,,false,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
InvasionRewardContainerRarity1LowL7,@InvasionRewardContainerRarity1LowL7_MasterName,Resource,@ui_itemtypedescription_resource,@RewardContainerInfo,Resource+LootContainer,,,,true,,,,,0,,,,,,,,,,,,,,,,,1,,false,false,false,,UI_Rewards,,,,,,,,,false,false,,,lyshineui/images/icons/items/Resource/InvasionRewardContainer1.png,lyshineui/images/icons/items_hires/InvasionRewardContainer1.png,10000,0,,,,7,,,,true,true,false,,[LTID]Invasion1,,,,,,,,,,,,,,false,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
InvasionRewardContainerRarity1LowL8,@InvasionRewardContainerRarity1LowL8_MasterName,Resource,@ui_itemtypedescription_resource,@RewardContainerInfo,Resource+LootContainer,,,,true,,,,,0,,,,,,,,,,,,,,,,,1,,false,false,false,,UI_Rewards,,,,,,,,,false,false,,,lyshineui/images/icons/items/Resource/InvasionRewardContainer1.png,lyshineui/images/icons/items_hires/InvasionRewardContainer1.png,10000,0,,,,8,,,,true,true,false,,[LTID]Invasion1,,,,,,,,,,,,,,false,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
InvasionRewardContainerRarity1LowL9,@InvasionRewardContainerRarity1LowL9_MasterName,Resource,@ui_itemtypedescription_resource,@RewardContainerInfo,Resource+LootContainer,,,,true,,,,,0,,,,,,,,,,,,,,,,,1,,false,false,false,,UI_Rewards,,,,,,,,,false,false,,,lyshineui/images/icons/items/Resource/InvasionRewardContainer1.png,lyshineui/images/icons/items_hires/InvasionRewardContainer1.png,10000,0,,,,9,,,,true,true,false,,[LTID]Invasion1,,,,,,,,,,,,,,false,5,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
