SheetId,Instrument,SheetName,Pages,AudioEvent,ErrorEvent,Timeline
Waltz_Guitar_Part1_Easy,instrument-guitar-slot,@ui_music_guitar_part_1,MP_Waltz_Guitar_Part1_Page1,AG_MAUDLINBUG_MELODY_120,AG_MISTAKE,AG_MAUDLINBUG_MELODY_120
Waltz_Guitar_Part2_Easy,instrument-guitar-slot,@ui_music_guitar_part_2,MP_Waltz_Guitar_Part2_Page1,AG_B_MAUDLINBUG_MELODY_120,AG_MISTAKE,AG_B_MAUDLINBUG_MELODY_120
Aeternum_Guitar_Part1_Easy,instrument-guitar-slot,,MP_Aeternum_Guitar_Part1_Page1,AG_TRAVELING_AETERNUM_125,AG_MISTAKE,AG_TRAVELING_AETERNUM_125
Aeternum_Guitar_Part1_Medium,instrument-guitar-slot,,MP_Aeternum_Guitar_Part1_Page1,AG_TRAVELING_AETERNUM_125,AG_MISTAKE,AG_TRAVELING_AETERNUM_125
Aeternum_Guitar_Part1_Hard,instrument-guitar-slot,,MP_Aeternum_Guitar_Part1_Page1,AG_TRAVELING_AETERNUM_125,AG_MISTAKE,AG_TRAVELING_AETERNUM_125
Aeternum_Drums_Part1_Easy,instrument-drums-slot,,MP_Aeternum_Drums_Part1_Page1,DRM_TRAVELING_AETERNUM_125,DRM_MISTAKE,DRM_TRAVELING_AETERNUM_125
Aeternum_Drums_Part1_Medium,instrument-drums-slot,,MP_Aeternum_Drums_Part1_Page1,DRM_TRAVELING_AETERNUM_125,DRM_MISTAKE,DRM_TRAVELING_AETERNUM_125
Aeternum_Drums_Part1_Hard,instrument-drums-slot,,MP_Aeternum_Drums_Part1_Page1,DRM_TRAVELING_AETERNUM_125,DRM_MISTAKE,DRM_TRAVELING_AETERNUM_125
Aeternum_URBass_Part1_Easy,instrument-uprightbass-slot,,MP_Aeternum_URBass_Part1_Page1,URB_TRAVELING_AETERNUM_125,URB_MISTAKE,URB_TRAVELING_AETERNUM_125
Aeternum_URBass_Part1_Medium,instrument-uprightbass-slot,,MP_Aeternum_URBass_Part1_Page1,URB_TRAVELING_AETERNUM_125,URB_MISTAKE,URB_TRAVELING_AETERNUM_125
Aeternum_URBass_Part1_Hard,instrument-uprightbass-slot,,MP_Aeternum_URBass_Part1_Page1,URB_TRAVELING_AETERNUM_125,URB_MISTAKE,URB_TRAVELING_AETERNUM_125
Brightwood_Guitar_Part1_Easy,instrument-guitar-slot,,MP_Brightwood_Guitar_Part1_Page1,AG_THE_BRIGHTWOOD_149,AG_MISTAKE,AG_THE_BRIGHTWOOD_149
Brightwood_Guitar_Part1_Medium,instrument-guitar-slot,,MP_Brightwood_Guitar_Part1_Page1,AG_THE_BRIGHTWOOD_149,AG_MISTAKE,AG_THE_BRIGHTWOOD_149
Brightwood_Guitar_Part1_Hard,instrument-guitar-slot,,MP_Brightwood_Guitar_Part1_Page1,AG_THE_BRIGHTWOOD_149,AG_MISTAKE,AG_THE_BRIGHTWOOD_149
Honey_Guitar_Part1_Easy,instrument-guitar-slot,,MP_Honey_Guitar_Part1_Page1,AG_HONEY_N_BISCUITS_180,AG_MISTAKE,AG_HONEY_N_BISCUITS_180
Honey_Guitar_Part1_Medium,instrument-guitar-slot,,MP_Honey_Guitar_Part1_Page1,AG_HONEY_N_BISCUITS_180,AG_MISTAKE,AG_HONEY_N_BISCUITS_180
Honey_Guitar_Part1_Hard,instrument-guitar-slot,,MP_Honey_Guitar_Part1_Page1,AG_HONEY_N_BISCUITS_180,AG_MISTAKE,AG_HONEY_N_BISCUITS_180
Honey_Mandolin_Part1_Easy,instrument-mandolin-slot,,MP_Honey_Mandolin_Part1_Page1,MAN_HONEY_N_BISCUITS_180,MAN_MISTAKE,MAN_HONEY_N_BISCUITS_180
Honey_Mandolin_Part1_Medium,instrument-mandolin-slot,,MP_Honey_Mandolin_Part1_Page1,MAN_HONEY_N_BISCUITS_180,MAN_MISTAKE,MAN_HONEY_N_BISCUITS_180
Honey_Mandolin_Part1_Hard,instrument-mandolin-slot,,MP_Honey_Mandolin_Part1_Page1,MAN_HONEY_N_BISCUITS_180,MAN_MISTAKE,MAN_HONEY_N_BISCUITS_180
Honey_URBass_Part1_Easy,instrument-uprightbass-slot,,MP_Honey_URBass_Part1_Page1,URB_HONEY_N_BISCUITS_180,URB_MISTAKE,URB_HONEY_N_BISCUITS_180
Honey_URBass_Part1_Medium,instrument-uprightbass-slot,,MP_Honey_URBass_Part1_Page1,URB_HONEY_N_BISCUITS_180,URB_MISTAKE,URB_HONEY_N_BISCUITS_180
Honey_URBass_Part1_Hard,instrument-uprightbass-slot,,MP_Honey_URBass_Part1_Page1,URB_HONEY_N_BISCUITS_180,URB_MISTAKE,URB_HONEY_N_BISCUITS_180
Honey_Drums_Part1_Easy,instrument-drums-slot,,MP_Honey_Drums_Part1_Page1,DRM_HONEY_N_BISCUITS_180,DRM_MISTAKE,DRM_HONEY_N_BISCUITS_180
Honey_Drums_Part1_Medium,instrument-drums-slot,,MP_Honey_Drums_Part1_Page1,DRM_HONEY_N_BISCUITS_180,DRM_MISTAKE,DRM_HONEY_N_BISCUITS_180
Honey_Drums_Part1_Hard,instrument-drums-slot,,MP_Honey_Drums_Part1_Page1,DRM_HONEY_N_BISCUITS_180,DRM_MISTAKE,DRM_HONEY_N_BISCUITS_180
Windsward_Guitar_Part1_Easy,instrument-guitar-slot,,,AG_WINDSWARD_INN_105,AG_MISTAKE,AG_WINDSWARD_INN_105
Windsward_Guitar_Part1_Medium,instrument-guitar-slot,,,AG_WINDSWARD_INN_105,AG_MISTAKE,AG_WINDSWARD_INN_105
Windsward_Guitar_Part1_Hard,instrument-guitar-slot,,,AG_WINDSWARD_INN_105,AG_MISTAKE,AG_WINDSWARD_INN_105
Windsward_Mandolin_Part1_Easy,instrument-mandolin-slot,,,MAN_WINDSWARD_INN_105,MAN_MISTAKE,MAN_WINDSWARD_INN_105
Windsward_Mandolin_Part1_Medium,instrument-mandolin-slot,,,MAN_WINDSWARD_INN_105,MAN_MISTAKE,MAN_WINDSWARD_INN_105
Windsward_Mandolin_Part1_Hard,instrument-mandolin-slot,,,MAN_WINDSWARD_INN_105,MAN_MISTAKE,MAN_WINDSWARD_INN_105
Windsward_URBass_Part1_Easy,instrument-uprightbass-slot,,,URB_WINDSWARD_INN_105,URB_MISTAKE,URB_WINDSWARD_INN_105
Windsward_URBass_Part1_Medium,instrument-uprightbass-slot,,,URB_WINDSWARD_INN_105,URB_MISTAKE,URB_WINDSWARD_INN_105
Windsward_URBass_Part1_Hard,instrument-uprightbass-slot,,,URB_WINDSWARD_INN_105,URB_MISTAKE,URB_WINDSWARD_INN_105
Windsward_Drums_Part1_Easy,instrument-drums-slot,,,DRM_WINDSWARD_INN_105,DRM_MISTAKE,DRM_WINDSWARD_INN_105
Windsward_Drums_Part1_Medium,instrument-drums-slot,,,DRM_WINDSWARD_INN_105,DRM_MISTAKE,DRM_WINDSWARD_INN_105
Windsward_Drums_Part1_Hard,instrument-drums-slot,,,DRM_WINDSWARD_INN_105,DRM_MISTAKE,DRM_WINDSWARD_INN_105
Butterfly_Guitar_Part1_Easy,instrument-guitar-slot,,,AG_THE_BUTTERFLY_120,AG_MISTAKE,AG_THE_BUTTERFLY_120
Butterfly_Guitar_Part1_Medium,instrument-guitar-slot,,,AG_THE_BUTTERFLY_120,AG_MISTAKE,AG_THE_BUTTERFLY_120
Butterfly_Guitar_Part1_Hard,instrument-guitar-slot,,,AG_THE_BUTTERFLY_120,AG_MISTAKE,AG_THE_BUTTERFLY_120
Embark_Guitar_Part1_Easy,instrument-guitar-slot,,"MP_Embark_Guitar_Part1_Page1,MP_Embark_Guitar_Part1_Page2",AG_EMBARK_132,AG_MISTAKE,AG_EMBARK_132
Embark_Guitar_Part1_Medium,instrument-guitar-slot,,"MP_Embark_Guitar_Part1_Page1,MP_Embark_Guitar_Part1_Page2",AG_EMBARK_132,AG_MISTAKE,AG_EMBARK_132
Embark_Guitar_Part1_Hard,instrument-guitar-slot,,"MP_Embark_Guitar_Part1_Page1,MP_Embark_Guitar_Part1_Page2",AG_EMBARK_132,AG_MISTAKE,AG_EMBARK_132
KingStanley_Guitar_Part1_Easy,instrument-guitar-slot,,"MP_KingStanley_Guitar_Part1_Page1,MP_KingStanley_Guitar_Part1_Page2",AG_YOUNG_KING_STANLEY_100,AG_MISTAKE,AG_YOUNG_KING_STANLEY_100
