MountId,DisplayName,Description,MountType,RequiredAchievementId,IsEntitlement,IsEnabled,Mesh,Material,MaskRColor,MaskROverride,MaskR,MaskGColor,MaskGOverride,MaskG,MaskBColor,MaskBOverride,MaskB,MaskASpecColor,MaskASpec,MaskAGlossShift,MaskAGloss,EmissiveColor,EmissiveIntensity,RDyeSlotDisabled,GDyeSlotDisabled,BDyeSlotDisabled,ADyeSlotDisabled,AudioPreloadSfx,AudioPreloadFoley,AudioPreloadFstp,IconPath,HiResIconPath,MTXIconPath,ConversionId,TooltipRelease,UnlockMethod,DisplayPriority,SortedOrder,RewardBoxRarity,SourceType,NOTES
Mount_MTX_1_horse,@ui_mounts_MTX_1_horse_name,@ui_mounts_horse_description,Horse,,1,1,Objects/Characters/player/mounts/horseMountTraditional/horseMountTraditional.cdf,Objects/Characters/player/mounts/horseMountTraditional/horseMountTraditional_matGroup.mtl,,,,,,,,,,,,,,,,,,,,MNT_Horse,FLY_MNT_LeatherMetalHeavy,MNT_FTSP_Horse,lyshineui/images/icons/items/mount/Mount_MTX_1_horse.png,lyshineui/images/icons/items_hires/Mount_MTX_1_horse.png,lyshineui/images/mtx/mtx_product_images/Mount_Rectangle_TraditionalEuropean_Horse.png,,@ui_mounts_test_expansion_name,@ui_mounts_unlock_horse_message,1,11,,Store,MTX Horse 1 (Traditional European)
Mount_MTX_1_wolf,@ui_mounts_MTX_1_wolf_name,@ui_mounts_wolf_description,DireWolf,,1,1,Objects/Characters/player/mounts/wolfMountTraditional/wolfMountTraditional.cdf,Objects/Characters/player/mounts/wolfMountTraditional/wolfMountTraditional_matGroup.mtl,,,,,,,,,,,,,,,,,,,,MNT_Wolf,FLY_MNT_LeatherMetalHeavy,MNT_FTSP_Wolf,lyshineui/images/icons/items/mount/Mount_MTX_1_wolf.png,lyshineui/images/icons/items_hires/Mount_MTX_1_wolf.png,lyshineui/images/mtx/mtx_product_images/Mount_Rectangle_TraditionalEuropean_Wolf.png,,@ui_mounts_test_expansion_name,@ui_mounts_unlock_horse_message,2,11,,Store,MTX Wolf 1 (Traditional European)
Mount_MTX_1_lion,@ui_mounts_MTX_1_lion_name,@ui_mounts_lion_description,Sabretooth,,1,1,Objects/Characters/player/mounts/lionMountTraditional/lionMountTraditional.cdf,Objects/Characters/player/mounts/lionMountTraditional/lionMountTraditional_matGroup.mtl,,,,,,,,,,,,,,,,,,,,MNT_BigCat,FLY_MNT_LeatherMetalHeavy,MNT_FTSP_BigCat,lyshineui/images/icons/items/mount/Mount_MTX_1_lion.png,lyshineui/images/icons/items_hires/Mount_MTX_1_lion.png,lyshineui/images/mtx/mtx_product_images/Mount_Rectangle_TraditionalEuropean_Lion.png,,@ui_mounts_test_expansion_name,@ui_mounts_unlock_horse_message,3,11,,Store,MTX Lion 1 (Traditional European)
Mount_MTX_2_horse,@ui_mounts_MTX_2_horse_name,@ui_mounts_horse_description_2,Horse,,1,1,Objects/Characters/player/mounts/horseSilentDeath/horseSilentDeath.cdf,Objects/Characters/player/mounts/horseSilentDeath/horseSilentDeath_matGroup.mtl,,,,,,,,,,,,,,,,,,,,MNT_Horse,FLY_MNT_LeatherMetalHeavy,MNT_FTSP_Horse,lyshineui/images/icons/items/mount/Mount_MTX_2_horse.png,lyshineui/images/icons/items_hires/Mount_MTX_2_horse.png,lyshineui/images/mtx/mtx_product_images/Mount_Rectangle_SilentDeath_Horse.png,,@ui_mounts_test_expansion_name,@ui_mounts_unlock_horse_message,1,12,,Store,MTX Horse 2 (Silent Death)
Mount_MTX_2_wolf,@ui_mounts_MTX_2_wolf_name,@ui_mounts_wolf_description_2,DireWolf,,1,1,Objects/Characters/player/mounts/wolfSilentDeath/wolfSilentDeath.cdf,Objects/Characters/player/mounts/wolfSilentDeath/wolfSD2_mat_matGroup.mtl,,,,,,,,,,,,,,,,,,,,MNT_Wolf,FLY_MNT_LeatherMetalLight,MNT_FTSP_Wolf,lyshineui/images/icons/items/mount/Mount_MTX_2_wolf.png,lyshineui/images/icons/items_hires/Mount_MTX_2_wolf.png,lyshineui/images/mtx/mtx_product_images/Mount_Rectangle_SilentDeath_Wolf.png,,@ui_mounts_test_expansion_name,@ui_mounts_unlock_horse_message,2,12,,Store,MTX Wolf 2 (Silent Death)
Mount_MTX_2_lion,@ui_mounts_MTX_2_lion_name,@ui_mounts_lion_description_2,Sabretooth,,1,1,Objects/Characters/player/mounts/lionSilentDeath/lionSilentDeath.cdf,Objects/Characters/player/mounts/lionSilentDeath/Silentdeath_mat1_matGroup.mtl,,,,,,,,,,,,,,,,,,,,MNT_BigCat,FLY_MNT_LeatherMetalHeavy,MNT_FTSP_BigCat,lyshineui/images/icons/items/mount/Mount_MTX_2_lion.png,lyshineui/images/icons/items_hires/Mount_MTX_2_lion.png,lyshineui/images/mtx/mtx_product_images/Mount_Rectangle_SilentDeath_Lion.png,,@ui_mounts_test_expansion_name,@ui_mounts_unlock_horse_message,3,12,,Store,MTX Lion 2 (Silent Death)
Mount_MTX_3_horse,@ui_mounts_MTX_3_horse_name,@ui_mounts_horse_description_3,Horse,,1,1,Objects/Characters/player/mounts/horseWanderer/horseWanderer.cdf,Objects/Characters/player/mounts/horseWanderer/horseWanderer_matGroup.mtl,,,,,,,,,,,,,,,,,,,,MNT_Horse,FLY_MNT_LeatherMetalMedium,MNT_FTSP_Horse,lyshineui/images/icons/items/mount/Mount_MTX_3_horse.png,lyshineui/images/icons/items_hires/Mount_MTX_3_horse.png,lyshineui/images/mtx/mtx_product_images/Mount_Rectangle_Wanderer_Horse.png,,@ui_mounts_test_expansion_name,@ui_mounts_unlock_horse_message,1,13,,Store,MTX Horse 3 (Wanderer)
Mount_MTX_3_wolf,@ui_mounts_MTX_3_wolf_name,@ui_mounts_wolf_description_3,DireWolf,,1,1,Objects/Characters/player/mounts/wolfWanderer/wolfWanderer.cdf,Objects/Characters/player/mounts/wolfWanderer/wolfWanderer_fur_matGroup.mtl,,,,,,,,,,,,,,,,,,,,MNT_Wolf,FLY_MNT_LeatherMetalLight,MNT_FTSP_Wolf,lyshineui/images/icons/items/mount/Mount_MTX_3_wolf.png,lyshineui/images/icons/items_hires/Mount_MTX_3_wolf.png,lyshineui/images/mtx/mtx_product_images/Mount_Rectangle_Wanderer_Wolf.png,,@ui_mounts_test_expansion_name,@ui_mounts_unlock_horse_message,2,13,,Store,MTX Wolf 3 (Wanderer)
Mount_MTX_3_lion,@ui_mounts_MTX_3_lion_name,@ui_mounts_lion_description_3,Sabretooth,,1,1,Objects/Characters/player/mounts/lionWanderer/lionWanderer.cdf,Objects/Characters/player/mounts/lionWanderer/LionWanderer_armor_matGroup.mtl,,,,,,,,,,,,,,,,,,,,MNT_BigCat,FLY_MNT_LeatherMetalLight,MNT_FTSP_BigCat,lyshineui/images/icons/items/mount/Mount_MTX_3_lion.png,lyshineui/images/icons/items_hires/Mount_MTX_3_lion.png,lyshineui/images/mtx/mtx_product_images/Mount_Rectangle_Wanderer_Lion.png,,@ui_mounts_test_expansion_name,@ui_mounts_unlock_horse_message,3,13,,Store,MTX Lion 3 (Wanderer)
Mount_MTX_4_horse_basic,@ui_mounts_MTX_4_horse_name,@ui_mounts_horse_description_4,Horse,,1,1,objects/characters/player/mounts/horseSaddle/horse_saddle.cdf,objects/characters/player/mounts/horseSaddle/variantMaterials/mount_horse_patternMTX4_basic_matGroup.mtl,#d7d7d7,0.25,1,#FFFFFF,0.25,1,#bcbcbc,0.25,1,#FFFFFF,0.02,0.5,0,,,1,1,,1,MNT_Horse,FLY_MNT_LeatherMetalLight,MNT_FTSP_Horse,lyshineui/images/icons/items/mount/Mount_MTX_4_horse_basic.png,lyshineui/images/icons/items_hires/Mount_MTX_4_horse_basic.png,lyshineui/images/mtx/mtx_product_images/Mount_Rectangle_MTX_4_Horse_Basic.png,,@ui_mounts_test_expansion_name,@ui_mounts_unlock_horse_message,1,14,,Store,MTX Basic Horse (All White)
