ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,Repeatable,CanBeAbandoned,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon 
0802_0801_TheShowMustGoOn,Journey,,51,,,,,0802_0801_d_00_container_TheShowMustGoOn,0802_Magistrate,,08_Quest_01,,,,0802_0801_TheShowMustGoOn_success,,,,,,,,1,@0802_0801_TheShowMustGoOn_objective_title,@0802_0801_TheShowMustGoOn_objective_desc,@0802_0801_TheShowMustGoOn_start,@0802_0801_TheShowMustGoOn_proposal,@0802_0801_TheShowMustGoOn_incomplete,@complete_available_prompt_DEFAULT,@0802_0801_TheShowMustGoOn_complete_available_response,,,,,,,,EbonscaleReachArc3,
0811_0802_StatuetteStash,Journey,,,,,,,0811_0802_d_00_container_StatuetteStash,0811_Stranger,,08_Quest_02,,,,0811_0802_StatuetteStash_success,,,,,GypsumOrb,1,,1,@0811_0802_StatuetteStash_objective_title,@0811_0802_StatuetteStash_objective_desc,@0811_0802_StatuetteStash_start,@0811_0802_StatuetteStash_proposal,@0811_0802_StatuetteStash_incomplete,@complete_available_prompt_DEFAULT,@0811_0802_StatuetteStash_complete_available_response,,,,,,,,,
0811_0803_EndOfHerReign,Journey,,,,,,,0811_0803_d_00_container_EndOfHerReign,0811_Stranger,,08_Quest_03,08_Quest_02,,,0811_0803_EndOfHerReign_success,,,,,GypsumOrb,1,,0,@0811_0803_EndOfHerReign_objective_title,@0811_0803_EndOfHerReign_objective_desc,@0811_0803_EndOfHerReign_start,@0811_0803_EndOfHerReign_proposal,@0811_0803_EndOfHerReign_incomplete,@complete_available_prompt_DEFAULT,@0811_0803_EndOfHerReign_complete_available_response,,,,,,,,,
0804_0804_FlowerForTheDeparted,Journey,,,,,,,0804_0804_d_00_container_FlowerForTheDeparted,0804_Overseer,,08_Quest_04,08_Quest_12,,,0804_0804_FlowerForTheDeparted_success,,,,,,,,1,@0804_0804_FlowerForTheDeparted_objective_title,@0804_0804_FlowerForTheDeparted_objective_desc,@0804_0804_FlowerForTheDeparted_start,@0804_0804_FlowerForTheDeparted_proposal,@0804_0804_FlowerForTheDeparted_incomplete,@complete_available_prompt_DEFAULT,@0804_0804_FlowerForTheDeparted_complete_available_response,,,,,,,,,
0803_0805_EbonscaleAlligators,Journey,,,,,,,0803_0805_d_00_container_EbonscaleAlligators,0803_Survivalist,,08_Quest_05,,,,0803_0805_EbonscaleAlligators_success,,,,,,,,1,@0803_0805_EbonscaleAlligators_objective_title,@0803_0805_EbonscaleAlligators_objective_desc,@0803_0805_EbonscaleAlligators_start,@0803_0805_EbonscaleAlligators_proposal,@0803_0805_EbonscaleAlligators_incomplete,@complete_available_prompt_DEFAULT,@0803_0805_EbonscaleAlligators_complete_available_response,,,,,,,,EbonscaleReachArc1,
0805_0806_ShrineCleansing,Journey,,,,,,,0805_0806_d_00_container_ShrineCleansing,0805_Artificer,,08_Quest_06,08_Quest_09,,,0805_0806_ShrineCleansing_success,,,,,,,,1,@0805_0806_ShrineCleansing_objective_title,@0805_0806_ShrineCleansing_objective_desc,@0805_0806_ShrineCleansing_start,@0805_0806_ShrineCleansing_proposal,@0805_0806_ShrineCleansing_incomplete,@complete_available_prompt_DEFAULT,@0805_0806_ShrineCleansing_complete_available_response,,,,,,,,EbonscaleReachArc2,
0810_0807_WhatMakesTheShallowsCrimson,Journey,,,,,,,0810_0807_d_00_container_WhatMakesTheShallowsCrimson,0810_Barkeep,,08_Quest_07,,,,0810_0807_WhatMakesTheShallowsCrimson_success,,,,,,,,1,@0810_0807_WhatMakesTheShallowsCrimson_objective_title,@0810_0807_WhatMakesTheShallowsCrimson_objective_desc,@0810_0807_WhatMakesTheShallowsCrimson_start,@0810_0807_WhatMakesTheShallowsCrimson_proposal,@0810_0807_WhatMakesTheShallowsCrimson_incomplete,@complete_available_prompt_DEFAULT,@0810_0807_WhatMakesTheShallowsCrimson_complete_available_response,,,,,,,,,
0802_0808_CorruptedCritics,Journey,,,,,,,0802_0808_d_00_container_CorruptedCritics,0802_Magistrate,,08_Quest_08,08_Quest_01,,,0802_0808_CorruptedCritics_success,,,,,,,,1,@0802_0808_CorruptedCritics_objective_title,@0802_0808_CorruptedCritics_objective_desc,@0802_0808_CorruptedCritics_start,@0802_0808_CorruptedCritics_proposal,@0802_0808_CorruptedCritics_incomplete,@complete_available_prompt_DEFAULT,@0802_0808_CorruptedCritics_complete_available_response,,,,,,,,EbonscaleReachArc3,
0805_0809_StudyInGreen,Journey,,,,,,,0805_0809_d_00_container_StudyInGreen,0805_Artificer,,08_Quest_09,,,,0805_0809_StudyInGreen_success,,,,,,,,1,@0805_0809_StudyInGreen_objective_title,@0805_0809_StudyInGreen_objective_desc,@0805_0809_StudyInGreen_start,@0805_0809_StudyInGreen_proposal,@0805_0809_StudyInGreen_incomplete,@complete_available_prompt_DEFAULT,@0805_0809_StudyInGreen_complete_available_response,,,,,,,,EbonscaleReachArc2,
0803_0811_TigerTiger,Journey,,,,,,,0803_0811_d_00_container_TigerTiger,0803_Survivalist,,08_Quest_11,08_Quest_05,,,0803_0811_TigerTiger_success,,,,,,,,1,@0803_0811_TigerTiger_objective_title,@0803_0811_TigerTiger_objective_desc,@0803_0811_TigerTiger_start,@0803_0811_TigerTiger_proposal,@0803_0811_TigerTiger_incomplete,@complete_available_prompt_DEFAULT,@0803_0811_TigerTiger_complete_available_response,,,,,,,,EbonscaleReachArc1,
