ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,Repeatable,CanBeAbandoned,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ReleaseEventTags,ReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon 
1010_0101_seadog_brew,Journey,,,,,,,1010_0101_seadog_brew_container,1010_Barkeep,,10_Quest_01,,,,1010_0101_seadog_brew_success,,,,,,,,true,@1010_0101_seadog_brew_objective_title,@1010_0101_seadog_brew_objective_desc,@1010_0101_seadog_brew_start_prompt,@1010_0101_seadog_brew_proposal,@1010_0101_seadog_brew_incomplete,@complete_available_prompt_DEFAULT,@1010_0101_seadog_brew_complete_availaible_response,,,,,,,,CutlassKeysArc1,
1010_0102_eternal_mixes,Journey,,,,,,,1010_0102_eternal_mixes_container,1010_Barkeep,,10_Quest_02,10_Quest_01,,,1010_0102_eternal_mixes_success,,,,,,,,true,@1010_0102_eternal_mixes_objective_title,@1010_0102_eternal_mixes_objective_desc,@1010_0102_eternal_mixes_start_prompt,@1010_0102_eternal_mixes_proposal,@1010_0102_eternal_mixes_incomplete,@complete_available_prompt_DEFAULT,@1010_0102_eternal_mixes_complete_availaible_response,,,,,,,,CutlassKeysArc1,
1002_0101_ancient_wonders,Journey,,,,,,,1002_0101_ancient_wonders_container,1002_Magistrate,,10_Quest_03,,,,1002_0101_ancient_wonders_success,,,,,,,,true,@1002_0101_ancient_wonders_objective_title,@1002_0101_ancient_wonders_objective_desc,@1002_0101_ancient_wonders_start_prompt,@1002_0101_ancient_wonders_proposal,@1002_0101_ancient_wonders_incomplete,@complete_available_prompt_DEFAULT,@1002_0101_ancient_wonders_complete_availaible_response,,,,,,,,CutlassKeysArc2,
1002_0102_aeternum_triangle,Journey,,,,,,,1002_0102_aeternum_triangle_container,1002_Magistrate,,10_Quest_04,10_Quest_06,,,1002_0102_aeternum_triangle_success,,,,,,,,true,@1002_0102_aeternum_triangle_objective_title,@1002_0102_aeternum_triangle_objective_desc,@1002_0102_aeternum_triangle_start_prompt,@1002_0102_aeternum_triangle_proposal,@1002_0102_aeternum_triangle_incomplete,@complete_available_prompt_DEFAULT,@1002_0102_aeternum_triangle_complete_availaible_response,,,,,,,,CutlassKeysArc2,
1002_0103_skull_fort,Journey,,,,,,,1002_0103_skull_fort_container,1002_Magistrate,,10_Quest_09,10_Quest_10,,,1002_0103_skull_fort_success,,,,,,,,true,@1002_0103_skull_fort_objective_title,@1002_0103_skull_fort_objective_desc,@1002_0103_skull_fort_start_prompt,@1002_0103_skull_fort_proposal,@1002_0103_skull_fort_incomplete,@complete_available_prompt_DEFAULT,@1002_0103_skull_fort_complete_availaible_response,,,,,,,,CutlassKeysArc2,
1004_0101_explosive_prospecting,Journey,,,,,,,1004_0101_explosive_prospecting_container,1004_Overseer,,10_Quest_05,,,,1004_0101_explosive_prospecting_success,,,,,,,,true,@1004_0101_explosive_prospecting_objective_title,@1004_0101_explosive_prospecting_objective_desc,@1004_0101_explosive_prospecting_start_prompt,@1004_0101_explosive_prospecting_proposal,@1004_0101_explosive_prospecting_incomplete,@complete_available_prompt_DEFAULT,@1004_0101_explosive_prospecting_complete_availaible_response,,,,,,,,CutlassKeysArc3,
1004_0102_missing_features,Journey,,,,,,,1004_0102_missing_features_container,1004_Overseer,,10_Quest_06,10_Quest_05,,,1004_0102_missing_features_success,,,,,,,,true,@1004_0102_missing_features_objective_title,@1004_0102_missing_features_objective_desc,@1004_0102_missing_features_start_prompt,@1004_0102_missing_features_proposal,@1004_0102_missing_features_incomplete,@complete_available_prompt_DEFAULT,@1004_0102_missing_features_complete_availaible_response,,,,,,,,CutlassKeysArc3,
1005_0101_lightning_bottle,Journey,,,,,,,1005_0101_lightning_bottle_container,1005_Artificer,,10_Quest_07,10_Quest_04,,,1005_0101_lightning_bottle_success,,,,,,,,true,@1005_0101_lightning_bottle_objective_title,@1005_0101_lightning_bottle_objective_desc,@1005_0101_lightning_bottle_start_prompt,@1005_0101_lightning_bottle_proposal,@1005_0101_lightning_bottle_incomplete,@complete_available_prompt_DEFAULT,@1005_0101_lightning_bottle_complete_availaible_response,,,,,,,,CutlassKeysArc3,
1005_0102_lightning_test,Journey,,,,,,,1005_0102_lightning_test_container,1005_Artificer,,10_Quest_08,10_Quest_10,,,1005_0102_lightning_test_success,,,,,,,,true,@1005_0102_lightning_test_objective_title,@1005_0102_lightning_test_objective_desc,@1005_0102_lightning_test_start_prompt,@1005_0102_lightning_test_proposal,@1005_0102_lightning_test_incomplete,@complete_available_prompt_DEFAULT,@1005_0102_lightning_test_complete_availaible_response,,,,,,,,CutlassKeysArc3,
1003_0101_watcher_coin,Journey,,,,,,,1003_0101_watcher_coin_container,1003_Survivalist,,10_Quest_10,10_Quest_04,,,1003_0101_watcher_coin_success,,,,,,,,true,@1003_0101_watcher_coin_objective_title,@1003_0101_watcher_coin_objective_desc,@1003_0101_watcher_coin_start_prompt,@1003_0101_watcher_coin_proposal,@1003_0101_watcher_coin_incomplete,@complete_available_prompt_DEFAULT,@1003_0101_watcher_coin_complete_availaible_response,,,,,,,,CutlassKeysArc4,
