ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,Repeatable,CanBeAbandoned,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId
M_bounty_kill_X_enemies_location,Mission,,,,,true,true,M_task_kill_X_enemies_container_location,,,,,,,FactionMission_Success_R1_Sm,FactionMission_Failure,,,,,1,true,@objective_mission_title_bounty_hunter_kill,,,,,,,,,,,,,
M_bounty_kill_X_enemies,Mission,,,,,true,true,M_task_kill_X_enemies_container,,,,,,,FactionMission_Success_R1_Sm,FactionMission_Failure,,,,,1,true,@objective_mission_title_bounty_hunter_kill,,,,,,,,,,,,,
M_merchant_transport_item,Mission,,,,,true,false,M_task_transport_item_container,,,,,,,FactionMission_Success_R1_Sm,FactionMission_Failure,,,,,1,true,@objective_mission_title_merchant_courier,,,,,,,,,,,,,
M_procurer_acquire_X_items,Mission,,,,,true,true,M_task_acquire_X_items_container,,,,,,,FactionMission_Success_R1_Sm,FactionMission_Failure,,,,,1,true,@objective_mission_title_procurer_acquire,,,,,,,,,,,,,
M_procurer_craft_workorder_items,Mission,,,,,true,true,M_task_craft_workorder_items_container,,,,,,,FactionMission_Success_R1_Sm,FactionMission_Failure,,,,,1,true,@objective_mission_task_craft_workorder_item,,,,,,,,,,,,,
M_explorer_acquire_X_items_POITag,Mission,,,,,true,true,M_task_acquire_X_items_POITag_container,,,,,,,FactionMission_Success_R1_Sm,FactionMission_Failure,,,,,1,true,@objective_mission_title_explorer_acquire_POI,,,,,,,,,,,,,
M_explorer_acquire_X_items_POITag_territory,Mission,,,,,true,true,M_task_acquire_X_items_POITag_territory_container,,,,,,,FactionMission_Success_R1_Sm,FactionMission_Failure,,,,,1,true,@objective_mission_title_explorer_acquire_POI_territory,,,,,,,,,,,,,
M_explorer_acquire_X_items_territory,Mission,,,,,true,true,M_task_acquire_X_items_territory_container,,,,,,,FactionMission_Success_R1_Sm,FactionMission_Failure,,,,,1,true,@objective_mission_title_explorer_acquire_territory,,,,,,,,,,,,,
M_explorer_aquire_X_items_kill_X_enemies,Mission,,,,,true,true,M_task_aquire_X_items_kill_X_enemies_container,,,,,,,FactionMission_Success_R1_Sm,FactionMission_Failure,,,,,1,true,@objective_mission_title_explorer_kill_acquire,,,,,,,,,,,,,
M_explorer_aquire_X_items_kill_X_enemies_POITag,Mission,,,,,true,true,M_task_aquire_X_items_kill_X_enemies_POITag_container,,,,,,,FactionMission_Success_R1_Sm,FactionMission_Failure,,,,,1,true,@objective_mission_title_explorer_kill_acquire_POI,,,,,,,,,,,,,
M_explorer_aquire_X_items_kill_X_enemies_territory,Mission,,,,,true,true,M_task_aquire_X_items_kill_X_enemies_territory_container,,,,,,,FactionMission_Success_R1_Sm,FactionMission_Failure,,,,,1,true,@objective_mission_title_explorer_kill_acquire_territory,,,,,,,,,,,,,
