ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,Repeatable,CanBeAbandoned,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon 
1403_0201_gates,Journey,,,,,,,1403_0201_d_00_Container_gates,1403_Survivalist,,14_Quest_01,,,,1403_0201_gates_Success,,,,,,,,true,@1403_0201_a_Title,@1403_0201_b_Description,@1403_0201_Start_Prompt,@1403_0201_c_Proposal,@1403_0201_e_Incomplete,@complete_available_prompt_DEFAULT,@1403_0201_f_Complete,,,,,,,,EdengroveArc1,
1403_0202_tincturequest,Journey,,50,,,,,1403_0202_d_00_Container_tincturequest,1403_Survivalist,,14_Quest_02,14_Quest_01,,,1403_0202_tincturequest_Success,,,,,,,,true,@1403_0202_a_Title,@1403_0202_b_Description,@1403_0202_Start_Prompt,@1403_0202_c_Proposal,@1403_0202_e_Incomplete,@complete_available_prompt_DEFAULT,@1403_0202_f_Complete,,,,,,,,EdengroveArc1,
1416_0201_sabotage,Journey,,,,,,,1416_0201_d_00_Container_sabotage,1416_Warden,,14_Quest_03,,,,1416_0201_sabotage_Success,,,,,,,,true,@1416_0201_a_Title,@1416_0201_b_Description,@1416_0201_Start_Prompt,@1416_0201_c_Proposal,@1416_0201_e_Incomplete,@complete_available_prompt_DEFAULT,@1416_0201_f_Complete,,,,,,,,EdengroveArc2,
1416_0202_foreman,Journey,,,,,,,1416_0202_d_00_Container_foreman,1416_Warden,,14_Quest_04,14_Quest_03,,,1416_0202_foreman_Success,,,,,,,,true,@1416_0202_a_Title,@1416_0202_b_Description,@1416_0202_Start_Prompt,@1416_0202_c_Proposal,@1416_0202_e_Incomplete,@complete_available_prompt_DEFAULT,@1416_0202_f_Complete,,,,,,,,EdengroveArc2,
1416_0301_northeast,Journey,,57,,,,,1416_0301_d_00_Container_northeast,1403_SurvivalistA,,14_Quest_05,14_Quest_09,,,1416_0301_northeast_Success,,,,,,,,true,@1416_0301_a_Title,@1416_0301_b_Description,@1416_0301_Start_Prompt,@1416_0301_c_Proposal,@1416_0301_e_Incomplete,@complete_available_prompt_DEFAULT,@1416_0301_f_Complete,,,,,,,,,
1418_0201_lights,SkillProgression,,,,,,,1418_0201_d_00_Container_lights,1418_Ranger,,14_Quest_06,,,,1418_0201_lights_Success,,,,,,,,true,@1418_0201_a_Title,@1418_0201_b_Description,@1418_0201_Start_Prompt,@1418_0201_c_Proposal,@1418_0201_e_Incomplete,@complete_available_prompt_DEFAULT,@1418_0201_f_Complete,,,,,,,,EdengroveArc3,
1418_0202_azuretears,Journey,,,,,,,1418_0202_d_00_Container_azuretears,1418_Ranger,,14_Quest_07,14_Quest_06,,,1418_0202_azuretears_Success,,,,,,,,true,@1418_0202_a_Title,@1418_0202_b_Description,@1418_0202_Start_Prompt,@1418_0202_c_Proposal,@1418_0202_e_Incomplete,@complete_available_prompt_DEFAULT,@1418_0202_f_Complete,,,,,,,,EdengroveArc3,
1403_0203_blightpox,Journey,,52,,,,,1403_0203_d_00_Container_blightpox,1403_Survivalist,,14_Quest_08,14_Quest_02,,,1403_0203_blightpox_Success,,,,,,,,true,@1403_0203_a_Title,@1403_0203_b_Description,@1403_0203_Start_Prompt,@1403_0203_c_Proposal,@1403_0203_e_Incomplete,@complete_available_prompt_DEFAULT,@1403_0203_f_Complete,,,,,,,,EdengroveArc1,
1403_0301_blightstrength,Journey,,,,,,,1403_0301_d_00_Container_blightstrength,1403_Survivalist,,14_Quest_09,14_Quest_07,,,1403_0301_blightstrength_Success,,,,,,,,true,@1403_0301_a_Title,@1403_0301_b_Description,@1403_0301_Start_Prompt,@1403_0301_c_Proposal,@1403_0301_e_Incomplete,@complete_available_prompt_DEFAULT,@1403_0301_f_Complete,,,,,,,,EdengroveArc1,
1403_0401_blightmigration,Journey,,,,,,,1403_0401_d_00_Container_blightmigration,1403_SurvivalistA,,14_Quest_10,,,,1403_0401_blightmigration_Success,,,,,,,,true,@1403_0401_a_Title,@1403_0401_b_Description,@1403_0401_Start_Prompt,@1403_0401_c_Proposal,@1403_0401_e_Incomplete,@complete_available_prompt_DEFAULT,@1403_0401_f_Complete,,,,,,,,EdengroveArc1,
