ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,ShouldResetOnFactionChange,Repeatable,CanBeAbandoned,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon 
FactionIntro_Covenant_01,SkillProgression,,17,,,,,FactionIntro_Covenant_01_Container,9801_Florina_01,,FactionIntro_Covenant_01,,,17,FactionIntro_Covenant_01_Success,,,,,,,,,false,@FactionIntro_Covenant_01_Title,@FactionIntro_Covenant_01_Description,@FactionIntro_Covenant_01_StartPrompt,@FactionIntro_Covenant_01_Proposal,@FactionIntro_Covenant_01_Incomplete,@complete_available_prompt_DEFAULT,@FactionIntro_Covenant_01_Completed,,,,,,,,,
FactionIntro_Covenant_Vector_01,SkillProgression,,17,,,,,FactionIntro_Covenant_Vector_01_Container,9802_Lethold,,FactionIntro_Covenant_Vector_01,FactionIntro_Covenant_01,,17,FactionIntro_Covenant_Vector_01_Success,,,,,,,,,false,@FactionIntro_Covenant_Vector_Title_01,@FactionIntro_Covenant_Vector_Description_01,@FactionIntro_Covenant_Vector_StartPrompt_01,@FactionIntro_Covenant_Vector_Proposal_01,@FactionIntro_Covenant_Vector_Incomplete_01,@complete_available_prompt_DEFAULT,@FactionIntro_Covenant_Vector_Completed_01,,,,,,,,,
FactionIntro_Covenant_02,SkillProgression,,19,,,,,FactionIntro_Covenant_02_Container,9802_Lethold,,FactionIntro_Covenant_02,FactionIntro_Covenant_Vector_01,,17,FactionIntro_Covenant_02_Success,,,,,,,,,false,@FactionIntro_Covenant_02_Title,@FactionIntro_Covenant_02_Description,@FactionIntro_Covenant_02_StartPrompt,@FactionIntro_Covenant_02_Proposal,@FactionIntro_Covenant_02_Incomplete,@complete_available_prompt_DEFAULT,@FactionIntro_Covenant_02_Completed,,,,,,,,,
FactionIntro_Covenant_Vector_02,SkillProgression,,17,,,,,FactionIntro_Covenant_Vector_02_Container,9803_Morellus,,FactionIntro_Covenant_Vector_02,FactionIntro_Covenant_02,,17,FactionIntro_Covenant_Vector_02_Success,,,,,,,,,false,@FactionIntro_Covenant_Vector_Title_02,@FactionIntro_Covenant_Vector_Description_02,@FactionIntro_Covenant_Vector_StartPrompt_02,@FactionIntro_Covenant_Vector_Proposal_02,@FactionIntro_Covenant_Vector_Incomplete_02,@complete_available_prompt_DEFAULT,@FactionIntro_Covenant_Vector_Completed_02,,,,,,,,,
FactionIntro_Covenant_03,SkillProgression,,21,,,,,FactionIntro_Covenant_03_Container,9803_Morellus,,FactionIntro_Covenant_03,FactionIntro_Covenant_Vector_02,,17,FactionIntro_Covenant_03_Success,,,,,,,,,false,@FactionIntro_Covenant_03_Title,@FactionIntro_Covenant_03_Description,@FactionIntro_Covenant_03_StartPrompt,@FactionIntro_Covenant_03_Proposal,@FactionIntro_Covenant_03_Incomplete,@complete_available_prompt_DEFAULT,@FactionIntro_Covenant_03_Completed,,,,,,,,,
FactionIntro_Covenant_Recruitment,SkillProgression,,17,,,,,FactionIntro_Covenant_Recruitment_Container,,,FactionIntro_Covenant_Recruitment,FactionIntro_Covenant_03,,17,FactionIntro_Covenant_Recruitment_Success,,,,9806_C_0001_RankUp,,,true,true,true,@FactionRecruitment_Covenant_Title,@FactionRecruitment_Covenant_Description,@FactionRecruitment_Covenant_StartPrompt,@FactionRecruitment_Covenant_Proposal,@FactionRecruitment_Covenant_Incomplete,@complete_available_prompt_DEFAULT,@FactionRecruitment_Covenant_Completed,,,true,,,,,,true
FactionIntro_Marauders_01,SkillProgression,,17,,,,,FactionIntro_Marauders_01_Container,9805_Tibbs_02,,FactionIntro_Marauders_01,,,17,FactionIntro_Marauders_01_Success,,,,,,,,,false,@FactionIntro_Marauders_01_Title,@FactionIntro_Marauders_01_Description,@FactionIntro_Marauders_01_StartPrompt,@FactionIntro_Marauders_01_Proposal,@FactionIntro_Marauders_01_Incomplete,@complete_available_prompt_DEFAULT,@FactionIntro_Marauders_01_Completed,,,,,,,,,
FactionIntro_Marauders_02,SkillProgression,,19,,,,,FactionIntro_Marauders_02_Container,9805_Tibbs_02,,FactionIntro_Marauders_02,FactionIntro_Marauders_01,,17,FactionIntro_Marauders_02_Success,,,,,,,,,false,@FactionIntro_Marauders_02_Title,@FactionIntro_Marauders_02_Description,@FactionIntro_Marauders_02_StartPrompt,@FactionIntro_Marauders_02_Proposal,@FactionIntro_Marauders_02_Incomplete,@complete_available_prompt_DEFAULT,@FactionIntro_Marauders_02_Completed,,,,,,,,,
FactionIntro_Marauders_Vector,SkillProgression,,17,,,,,FactionIntro_Marauders_Vector_Container,9806_Stroudahia_00,,FactionIntro_Marauders_Vector,FactionIntro_Marauders_02,,17,FactionIntro_Marauders_Vector_Success,,,,,,,,,false,@FactionIntro_Marauders_Vector_Title,@FactionIntro_Marauders_Vector_Description,@FactionIntro_Marauders_Vector_StartPrompt,@FactionIntro_Marauders_Vector_Proposal,@FactionIntro_Marauders_Vector_Incomplete,@complete_available_prompt_DEFAULT,@FactionIntro_Marauders_Vector_Completed,,,,,,,,,
FactionIntro_Marauders_03,SkillProgression,,21,,,,,FactionIntro_Marauders_03_Container,9806_Stroudahia_00,,FactionIntro_Marauders_03,FactionIntro_Marauders_Vector,,17,FactionIntro_Marauders_03_Success,,,,,,,,,false,@FactionIntro_Marauders_03_Title,@FactionIntro_Marauders_03_Description,@FactionIntro_Marauders_03_StartPrompt,@FactionIntro_Marauders_03_Proposal,@FactionIntro_Marauders_03_Incomplete,@complete_available_prompt_DEFAULT,@FactionIntro_Marauders_03_Completed,,,,,,,,,
FactionIntro_Marauders_Recruitment,SkillProgression,,17,,,,,FactionIntro_Marauders_Recruitment_Container,,,FactionIntro_Marauders_Recruitment,FactionIntro_Marauders_03,,17,FactionIntro_Marauders_Recruitment_Success,,,,9806_M_0001_RankUp,,,true,true,true,@FactionRecruitment_Marauders_Title,@FactionRecruitment_Marauders_Description,@FactionRecruitment_Marauders_StartPrompt,@FactionRecruitment_Marauders_Proposal,@FactionRecruitment_Marauders_Incomplete,@complete_available_prompt_DEFAULT,@FactionRecruitment_Marauders_Completed,,,true,,,,,,true
FactionIntro_Syndicate_01,SkillProgression,,17,,,,,FactionIntro_Syndicate_01_Container,9807_Aventus_01,,FactionIntro_Syndicate_01,,,17,FactionIntro_Syndicate_01_Success,,,,,,,,,false,@FactionIntro_Syndicate_01_Title,@FactionIntro_Syndicate_01_Description,@FactionIntro_Syndicate_01_StartPrompt,@FactionIntro_Syndicate_01_Proposal,@FactionIntro_Syndicate_01_Incomplete,@complete_available_prompt_DEFAULT,@FactionIntro_Syndicate_01_Completed,,,,,,,,,
FactionIntro_Syndicate_02,SkillProgression,,19,,,,,FactionIntro_Syndicate_02_Container,9807_Aventus_01,,FactionIntro_Syndicate_02,FactionIntro_Syndicate_01,,17,FactionIntro_Syndicate_02_Success,,,,,,,,,false,@FactionIntro_Syndicate_02_Title,@FactionIntro_Syndicate_02_Description,@FactionIntro_Syndicate_02_StartPrompt,@FactionIntro_Syndicate_02_Proposal,@FactionIntro_Syndicate_02_Incomplete,@complete_available_prompt_DEFAULT,@FactionIntro_Syndicate_02_Completed,,,,,,,,,
FactionIntro_Syndicate_Vector,SkillProgression,,17,,,,,FactionIntro_Syndicate_Vector_Container,9808_Cleo_00,,FactionIntro_Syndicate_Vector,FactionIntro_Syndicate_02,,17,FactionIntro_Syndicate_Vector_Success,,,,,,,,,false,@FactionIntro_Syndicate_Vector_Title,@FactionIntro_Syndicate_Vector_Description,@FactionIntro_Syndicate_Vector_StartPrompt,@FactionIntro_Syndicate_Vector_Proposal,@FactionIntro_Syndicate_Vector_Incomplete,@complete_available_prompt_DEFAULT,@FactionIntro_Syndicate_Vector_Completed,,,,,,,,,
FactionIntro_Syndicate_03,SkillProgression,,21,,,,,FactionIntro_Syndicate_03_Container,9808_Cleo_00,,FactionIntro_Syndicate_03,FactionIntro_Syndicate_Vector,,17,FactionIntro_Syndicate_03_Success,,,,,,,,,false,@FactionIntro_Syndicate_03_Title,@FactionIntro_Syndicate_03_Description,@FactionIntro_Syndicate_03_StartPrompt,@FactionIntro_Syndicate_03_Proposal,@FactionIntro_Syndicate_03_Incomplete,@complete_available_prompt_DEFAULT,@FactionIntro_Syndicate_03_Completed,,,,,,,,,
FactionIntro_Syndicate_Recruitment,SkillProgression,,17,,,,,FactionIntro_Syndicate_Recruitment_Container,,,FactionIntro_Syndicate_Recruitment,FactionIntro_Syndicate_03,,17,FactionIntro_Syndicate_Recruitment_Success,,,,9806_S_0001_RankUp,,,true,true,true,@FactionRecruitment_Syndicate_Title,@FactionRecruitment_Syndicate_Description,@FactionRecruitment_Syndicate_StartPrompt,@FactionRecruitment_Syndicate_Proposal,@FactionRecruitment_Syndicate_Incomplete,@complete_available_prompt_DEFAULT,@FactionRecruitment_Syndicate_Completed,,,true,,,,,,true
