Name,Default,Player,Flesh,FleshHead,Armor,ArmorHead,Damned,Dryad,Ghost,Turkey,Skeleton,AncientGuardian,GhostCharred,Play_Imp_Ghost_Frozen,GhostShipwrecked,GhostHanged,GhostPlagued,BearElemental,Bear,Regurgitator,SprigganForest,CorruptedEntity,BlightFiend,FrostWolf,EarthWolf,Lost,Withered,Dynasty,DunePhantom,AnubianGuardianBrute,AENaga,AnubianLocustScarab,Sun,MageArcaneShield,RockNPC,Upyr
PlaybackFunction,PlayImpactSoundCharacter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default,Play_Beep5_2D,Play_Beep5_2D,Play_Beep5_2D,Play_Beep5_2D,Play_Beep5_2D,Play_Beep5_2D,Play_Beep5_2D,Play_Beep5_2D,Play_Beep5_2D,Play_Beep5_2D,Play_Beep5_2D,Play_Beep5_2D,Play_Beep5_2D,Play_Beep5_2D,Play_Beep5_2D,Play_Beep5_2D,Play_Beep5_2D,Play_Beep5_2D,Play_Beep5_2D,Play_Beep5_2D,Play_Beep5_2D,Play_Beep5_2D,Play_Beep5_2D,Play_Beep5_2D,Play_Beep5_2D,Play_Beep5_2D,Play_Beep5_2D,Play_Beep5_2D,Play_Beep5_2D,Play_Beep5_2D,Play_Beep5_2D,Play_Beep5_2D,Play_Beep5_2D,Play_Beep5_2D,Play_Beep5_2D,
Unarmed,Play_Imp_PunchUnarmed_Flesh,Play_Imp_PunchUnarmed_Flesh,Play_Imp_PunchUnarmed_Flesh,Play_Imp_PunchUnarmed_Flesh,Play_Imp_PunchUnarmed_Armor,Play_Imp_PunchUnarmed_Armor,Play_Imp_PunchUnarmed_Flesh,Play_Imp_PunchUnarmed_Dryad,Play_Imp_PunchUnarmed_Ghost,Play_Imp_PunchUnarmed_Flesh,Play_Imp_PunchUnarmed_Skeleton,Play_Imp_PunchUnarmed_Skeleton,Play_Imp_PunchUnarmed_Ghost,Play_Imp_PunchUnarmed_Ghost,Play_Imp_PunchUnarmed_Ghost,Play_Imp_PunchUnarmed_Ghost,Play_Imp_PunchUnarmed_Ghost,Play_Imp_PunchUnarmed_Flesh,Play_Imp_PunchUnarmed_Flesh,Play_Imp_PunchUnarmed_Flesh,Play_Imp_PunchUnarmed_Wood,Play_Imp_PunchUnarmed_Flesh,Play_Imp_PunchUnarmed_Flesh,Play_Imp_PunchUnarmed_Flesh,Play_Imp_PunchUnarmed_Flesh,Play_Imp_PunchUnarmed_Flesh,Play_Imp_PunchUnarmed_Cloth,Play_Imp_PunchUnarmed_Armor,Play_Imp_PunchUnarmed_Cloth,Play_Imp_PunchUnarmed_Cloth,Play_Imp_PunchUnarmed_Dryad,Play_Imp_PunchUnarmed_Dryad,Play_Imp_PunchUnarmed_Flesh,Play_Imp_Proj_HolyShield,Play_Imp_PunchUnarmed_Dryad,
Unarmed+Crit,Play_Imp_PunchUnarmed_Flesh,Play_Imp_PunchUnarmed_Flesh,Play_Imp_PunchUnarmed_Flesh,Play_Imp_PunchUnarmed_Flesh,Play_Imp_PunchUnarmed_Armor,Play_Imp_PunchUnarmed_Armor,Play_Imp_PunchUnarmed_Flesh,Play_Imp_PunchUnarmed_Dryad,Play_Imp_PunchUnarmed_Ghost,Play_Imp_PunchUnarmed_Flesh,Play_Imp_PunchUnarmed_Skeleton,Play_Imp_PunchUnarmed_Skeleton,Play_Imp_PunchUnarmed_Ghost,Play_Imp_PunchUnarmed_Ghost,Play_Imp_PunchUnarmed_Ghost,Play_Imp_PunchUnarmed_Ghost,Play_Imp_PunchUnarmed_Ghost,Play_Imp_PunchUnarmed_Flesh,Play_Imp_PunchUnarmed_Flesh,Play_Imp_PunchUnarmed_Flesh,Play_Imp_PunchUnarmed_Wood,Play_Imp_PunchUnarmed_Flesh,Play_Imp_PunchUnarmed_Flesh,Play_Imp_PunchUnarmed_Flesh,Play_Imp_PunchUnarmed_Flesh,Play_Imp_PunchUnarmed_Flesh,Play_Imp_PunchUnarmed_Cloth,Play_Imp_PunchUnarmed_Armor,Play_Imp_PunchUnarmed_Cloth,Play_Imp_PunchUnarmed_Cloth,Play_Imp_PunchUnarmed_Dryad,Play_Imp_PunchUnarmed_Dryad,Play_Imp_PunchUnarmed_Flesh,Play_Imp_Proj_HolyShield,Play_Imp_PunchUnarmed_Dryad,
Unarmed+Resist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,Play_Imp_Proj_HolyShield,UnarmedResist,
Sword,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Armor,Play_Imp_SwordMetal_Armor,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Dryad,Play_Imp_SwordMetal_Ghost,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Skeleton,Play_Imp_SwordMetal_Skeleton,Play_Imp_SwordMetal_Ghost,Play_Imp_SwordMetal_Ghost,Play_Imp_SwordMetal_Ghost,Play_Imp_SwordMetal_Ghost,Play_Imp_SwordMetal_Ghost,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordWood_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_AnubianGuardian_Brute,Play_Imp_SwordMetal_Dryad,Play_Imp_SwordMetal_Anubian_Lotus_Scarab,Play_Imp_SwordMetal_Flesh,Play_Imp_Proj_HolyShield,Play_Imp_SwordMetal_Dryad,
Sword_Fleche,Play_Imp_Rapier_Fleche,Play_Imp_Rapier_Fleche,Play_Imp_Rapier_Fleche,Play_Imp_Rapier_Fleche,Play_Imp_Rapier_Fleche,Play_Imp_Rapier_Fleche,Play_Imp_Rapier_Fleche,Play_Imp_Rapier_Fleche,Play_Imp_Rapier_Fleche,Play_Imp_Rapier_Fleche,Play_Imp_Rapier_Fleche,Play_Imp_Rapier_Fleche,Play_Imp_Rapier_Fleche,Play_Imp_Rapier_Fleche,Play_Imp_Rapier_Fleche,Play_Imp_Rapier_Fleche,Play_Imp_Rapier_Fleche,Play_Imp_Rapier_Fleche,Play_Imp_Rapier_Fleche,Play_Imp_Rapier_Fleche,Play_Imp_Rapier_Fleche,Play_Imp_Rapier_Fleche,Play_Imp_Rapier_Fleche,Play_Imp_Rapier_Fleche,Play_Imp_Rapier_Fleche,Play_Imp_Rapier_Fleche,Play_Imp_Rapier_Fleche,Play_Imp_Rapier_Fleche,Play_Imp_Rapier_Fleche,Play_Imp_Rapier_Fleche,Play_Imp_Rapier_Fleche,Play_Imp_Rapier_Fleche,Play_Imp_Rapier_Fleche,Play_Imp_Proj_HolyShield,Play_Imp_Rapier_Fleche,
Sword+Resist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordDamnedResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,Play_Imp_Proj_HolyShield,SwordResist,
Sword+Fire+Resist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordDamnedResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,SwordResist,Play_Imp_Proj_HolyShield,SwordResist,
Sword+Fire,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_Proj_HolyShield,Play_Imp_SwordMetal_Flesh,
