ConversationStateId,ConversationType,IsInitialState,DefaultDialogue,ForceConversationOpen,RequiredFaction,RequiredProgression,RequiredLevel,RequiredAchievement,RequiredActiveObjectiveId,RequiredActiveTaskId,LinearObjectiveId1,LinearObjectiveId2,LinearObjectiveId3,LinearObjectiveId4,LinearObjectiveId5,LinearObjectiveId6,LinearObjectiveId7,LinearObjectiveId8,LinearObjectiveId9,LinearObjectiveId10,TopicId1,TopicId2,TopicId3,TopicId4,TopicId5,TopicId6,TopicId7,TopicId8,TopicId9,TopicId10,ConversationService1,ConversationService2,ConversationService3
1502_00_Magistrate,Linear_Objective,true,@NPC_Default_Dialogue_1502_00_Magistrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502_01_Magistrate,Linear_Objective,false,@NPC_Default_Dialogue_1502_01_Magistrate,,,,39,,,,1502_1501_Sieged,,,,,,,,,,,,,,,,,,,,,,
1502_02_Magistrate,Linear_Objective,false,@NPC_Default_Dialogue_1502_02_Magistrate,,,,,15_Quest_01,,,1502_1502_Stolen,,,,,,,,,,,,,,,,,,,,,,
1502_03_Magistrate,Linear_Objective,false,@NPC_Default_Dialogue_1502_03_Magistrate,,,,,15_Quest_02,,,,,,,,,,,,,,,,,,,,,,,,,
1502_04_Magistrate,Linear_Objective,false,@NPC_Default_Dialogue_1502_04_Magistrate,,,,43,15_Quest_02,,,1502_1511_UltimateEnemy,,,,,,,,,,,,,,,,,,,,,,
1502_05_Magistrate,Linear_Objective,false,@NPC_Default_Dialogue_1502_05_Magistrate,,,,,15_Quest_11,,,,,,,,,,,,,,,,,,,,,,,,,
1503_00_Survivalist,Linear_Objective,true,@NPC_Default_Dialogue_1503_00_Survivalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503_01_Survivalist,Linear_Objective,false,@NPC_Default_Dialogue_1503_01_Survivalist,,,,40,,,,1503_1504_Lupine,,,,,,,,,,,,,,,,,,,,,,
1503_02_Survivalist,Linear_Objective,false,@NPC_Default_Dialogue_1503_02_Survivalist,,,,,15_Quest_04,,,1503_1505_Hoppy,,,,,,,,,,,,,,,,,,,,,,
1503_03_Survivalist,Linear_Objective,false,@NPC_Default_Dialogue_1503_03_Survivalist,,,,43,15_Quest_05,,,1503_1506_Boars,,,,,,,,,,,,,,,,,,,,,,
1503_04_Survivalist,Linear_Objective,false,@NPC_Default_Dialogue_1503_04_Survivalist,,,,,15_Quest_06,,,,,,,,,,,,,,,,,,,,,,,,,
1504_00_Overseer,Linear_Objective,true,@NPC_Default_Dialogue_1504_00_Overseer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504_01_Overseer,Linear_Objective,false,@NPC_Default_Dialogue_1504_01_Overseer,,,,39,,,,1504_1503_Fury,,,,,,,,,,,,,,,,,,,,,,
1504_02_Overseer,Linear_Objective,false,@NPC_Default_Dialogue_1504_02_Overseer,,,,,15_Quest_03,,,,,,,,,,,,,,,,,,,,,,,,,
1504_03_Overseer,Linear_Objective,false,@NPC_Default_Dialogue_1504_03_Overseer,,,,,15_Quest_10,,,1510_1507_Scouting,,,,,,,,,,,,,,,,,,,,,,
1504_04_Overseer,Linear_Objective,false,@NPC_Default_Dialogue_1504_04_Overseer,,,,,15_Quest_07,,,1510_1508_Damnation,,,,,,,,,,,,,,,,,,,,,,
1504_05_Overseer,Linear_Objective,false,@NPC_Default_Dialogue_1504_05_Overseer,,,,,15_Quest_08,,,,,,,,,,,,,,,,,,,,,,,,,
1505_00_Artificer,Linear_Objective,true,@NPC_Default_Dialogue_1505_00_Artificer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505_01_Artificer,Linear_Objective,false,@NPC_Default_Dialogue_1505_01_Artificer,,,,,15_Quest_02,,,1505_1509_Menacing,,,,,,,,,,,,,,,,,,,,,,
1505_02_Artificer,Linear_Objective,false,@NPC_Default_Dialogue_1505_02_Artificer,,,,,15_Quest_09,,,1505_1510_Slaying,,,,,,,,,,,,,,,,,,,,,,
1505_03_Artificer,Linear_Objective,false,@NPC_Default_Dialogue_1505_03_Artificer,,,,,15_Quest_10,,,,,,,,,,,,,,,,,,,,,,,,,
1510_00_Barkeep,Linear_Objective,true,@NPC_Default_Dialogue_1510_00_Barkeep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1510_01_Barkeep,Linear_Objective,false,@NPC_Default_Dialogue_1510_01_Barkeep,,,,43,15_Quest_08,,,1510_1512_PayingRespects,,,,,,,,,,,,,,,,,,,,,,
1510_02_Barkeep,Linear_Objective,false,@NPC_Default_Dialogue_1510_02_Barkeep,,,,,15_Quest_12,,,,,,,,,,,,,,,,,,,,,,,,,
1507_00_Commander,Linear_Objective,true,@NPC_Default_Dialogue_1507_00_Commander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1507_01pre_Commander,Linear_Objective,false,@NPC_Default_Dialogue_1507_01pre_Commander,,Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1507_01_Commander,Linear_Objective,false,@NPC_Default_Dialogue_1507_01_Commander,,Marauder,,39,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
1507_02_Commander,Linear_Objective,false,@NPC_Default_Dialogue_1507_02_Commander,,Syndicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1507_03_Commander,Linear_Objective,false,@NPC_Default_Dialogue_1507_03_Commander,,Covenant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508_00_Alchemist,Linear_Objective,true,@NPC_Default_Dialogue_1508_00_Alchemist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508_01pre_Alchemist,Linear_Objective,false,@NPC_Default_Dialogue_1508_01pre_Alchemist,,Syndicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508_01_Alchemist,Linear_Objective,false,@NPC_Default_Dialogue_1508_01_Alchemist,,Syndicate,,39,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
1508_02_Alchemist,Linear_Objective,false,@NPC_Default_Dialogue_1508_02_Alchemist,,Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508_03_Alchemist,Linear_Objective,false,@NPC_Default_Dialogue_1508_03_Alchemist,,Covenant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509_00_Adjudicator,Linear_Objective,true,@NPC_Default_Dialogue_1509_00_Adjudicator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509_01pre_Adjudicator,Linear_Objective,false,@NPC_Default_Dialogue_1509_01pre_Adjudicator,,Covenant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509_01_Adjudicator,Linear_Objective,false,@NPC_Default_Dialogue_1509_01_Adjudicator,,Covenant,,39,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
1509_02_Adjudicator,Linear_Objective,false,@NPC_Default_Dialogue_1509_02_Adjudicator,,Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509_03_Adjudicator,Linear_Objective,false,@NPC_Default_Dialogue_1509_03_Adjudicator,,Syndicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1522_00_Innkeep,Linear_Objective,true,@NPC_Default_Dialogue_1522_00_Innkeep,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inn,,
1523_00_Fisher,Linear_Objective,true,@NPC_Default_Dialogue_1523_00_Fisher,,,,,,,,,,,,,,,,,,1523_Fisher_ExplainHotspots,,,,,,,,,,,,
1523_01_Fisher,Linear_Objective,false,@NPC_Default_Dialogue_1523_01_Fisher,,,,,FishingQuest_08,,,1523_0101_FQ09,,,,,,,,,,1523_Fisher_ExplainHotspots,,,,,,,,,,,,
1523_02_Fisher,Linear_Objective,false,@NPC_Default_Dialogue_1523_02_Fisher,,,,,FishingQuest_09,,,,,,,,,,,,,1523_Fisher_ExplainHotspots,,,,,,,,,,,,
1599_00_Nekumanesh,Linear_Objective,true,@NPC_Default_Dialogue_1599_00_Nekumanesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599_01_Nekumanesh,Linear_Objective,false,@NPC_Default_Dialogue_1599_01_Nekumanesh,,,,43,,,,1599_1513_Nekumanesh,,,,,,,,,,,,,,,,,,,,,,
1524_00_Boatswain,Linear_Objective,true,@NPC_Default_Dialogue_1524_00_Boatswain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1524_01_Boatswain,Linear_Objective,false,@NPC_Default_Dialogue_1524_01_Boatswain,,,,42,,,,1524_1514_FirstThing,,,,,,,,,,1524_Boatswain01_talk,,,,,,,,,,,,
1524_01a_Boatswain,Linear_Objective,false,@NPC_Default_Dialogue_1524_01a_Boatswain,,,,42,,1524_1514_FirstThing,1524_1514_d_03_TalkToSantiago,,,,,,,,,,,1524_Boatswain01_talk,,,,,,,,,,,,
1524_02_Boatswain,Linear_Objective,false,@NPC_Default_Dialogue_1524_02_Boatswain,,,,,15_Quest_14,,,1524_1515_FootstepsBeach,,,,,,,,,,,,,,,,,,,,,,
1524_03_Boatswain,Linear_Objective,false,@NPC_Default_Dialogue_1524_03_Boatswain,,,,,15_Quest_15,,,1524_1516_TrueTerror,,,,,,,,,,,,,,,,,,,,,,
1524_04_Boatswain,Linear_Objective,false,@NPC_Default_Dialogue_1524_04_Boatswain,,,,,15_Quest_16,,,1524_1517_PiratesLife,,,,,,,,,,,,,,,,,,,,,,
1525_00_AngryEarth,Linear_Objective,true,@NPC_Default_Dialogue_1525_00_AngryEarth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1525_01_AngryEarth,Linear_Objective,false,@NPC_Default_Dialogue_1525_01_AngryEarth,,,,46,,,,1525_1518_Communication,,,,,,,,,,,,,,,,,,,,,,
1525_02_AngryEarth,Linear_Objective,false,@NPC_Default_Dialogue_1525_02_AngryEarth,,,,,15_Quest_18,,,1525_1519_Ammunition,,,,,,,,,,,,,,,,,,,,,,
