TrackedStatID,StatType,IsPermanent,TargetID,Categories
UnlockSpringtideBoomStorylineAchievement,Achievement,true,SpringtideBloom_Quest2,
UnlockBrimstoneGlyphAchievement,Achievement,true,"Lore_unlock_Tales_of_Brimstone_Sands_Title_13_01,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_02,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_03,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_04,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_05,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_06,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_07,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_08,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_09,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_10,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_11,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_12,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_13,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_14,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_15,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_16,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_17,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_18,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_19,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_20,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_21,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_22,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_23,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_24,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_25,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_26",
UnlockMounts,Achievement,true,"MountType_Unlock_Horse,MountType_Unlock_DireWolf,MountType_Unlock_Sabretooth",
DiscoverForellac,Achievement,true,firstlight4_9083_charted,
DiscoverScalefang,Achievement,true,firstlight10_9089_charted,
DiscoverElafry,Achievement,true,firstlight8_9087_charted,
DiscoverAllPOIFirstLight,Achievement,true,"abandoned_village_40043_charted,abandoned_village_40044_charted,shipwreck_40045_charted,ancient_lighthouse_40046_charted,haunted_village_40047_charted,corrupted_camp_40048_charted,corrupted_mine_40049_charted,abandoned_village_40050_charted,pirate_town_40051_charted,pirate_fort_40052_charted,ancient_bridge_40053_charted,ancient_ruins_40054_charted,drowned_cave_40055_charted,abandoned_fishing_village_40057_charted,abandoned_village_40058_charted,boar_infestation_1_40059_charted,abandoned_village_40060_charted,abandoned_village_40061_charted,beastlands_40064_charted,elite_island_40065_charted,mammothtrial_40069_charted,medusatrial_40070_charted,crystleclaw_caverns_40071_charted,40063_charted",
DiscoverEdengroveSettlement,Achievement,true,"ancientcrater9_9099_charted,crater_spite_50326_discovered",
DiscoverAllPOIGreatCleave,Achievement,true,"abandoned_farm_village_40303_charted,graveyard_40320_charted,abandoned_village_40308_charted,greatcleavesouthwall_40301_charted,yeti_40347_charted,ancient_shrine_40311_charted,ancient_ruins_40330_charted,cave_40331_charted,cave_40332_charted,ancient_shrine_40313_charted,mine_40305_charted,ancient_bridge_40329_charted,corrupted_fort_40316_charted,cave_40334_charted,corrupted_fort_40318_charted,corrupted_camp_40302_charted,corrupted_fort_40319_charted,cave_40433_charted,military_camp_40405_charted,corrupted_fort_40317_charted,abandoned_village_40307_charted,corrupted_fort_40315_charted,cave_40432_charted,cave_40333_charted,yeti_40426_charted,abandoned_village_40309_charted,corrupted_ritual_40343_charted,beastencounter_30301_charted,corrupted_ritual_40304_charted,ancient_shrine_40312_charted,dungeon_forge_40351_charted,dungeon_tarn_40360_charted",
RaiseTrialBanners,Achievement,true,"Season_05_Journey_Trial_Entrance_Gathered_01_Runeforge,Season_05_Journey_Trial_Entrance_Gathered_02_Hatchery,Season_05_Journey_Trial_Entrance_Gathered_03_Sandworm,Season_05_Journey_Trial_Entrance_Gathered_04_Myrkgard,Season_05_Journey_Trial_Entrance_Gathered_05_EternalPool,Season_05_Journey_Trial_Entrance_Gathered_06_Zygoramet",
DiscoverAllPOICutlassKeys,Achievement,true,"wolfden2_30009_charted,cave_30004_charted,fishingvillage_30049_charted,fishingvillage_30063_charted,wolfden1_30006_charted,bear_den_30005_charted,corrupted_camp_30010_charted,piratespass_30070_charted,cave2_30008_charted,fishingvillage_30062_charted,ancient_ruins_30012_charted,sableprison_30071_charted,ancient_bridge_30013_charted,ancient_tower_30014_charted,40042_charted,raid_port_30082_charted,shipwreck_30001_charted,pirate_village_30022_charted,fishing_village_30015_charted,lost_beach_30081_charted,pirate_fort_30016_charted,hauntedwoods_30068_charted,fortunes_folly_30083_charted,undeadclearing_30069_charted,corrupted_fort_30020_charted,proving_grounds_30034_charted,corrupted_fort_30033_charted,ghost_forest_30055_charted,pirate_fort_30017_charted,fishing_village_30021_charted,fishing_village_30018_charted,brute_island_30024_charted,shanty_30061_charted,ghost_island_30025_charted,bridge_30073_charted,checkpoint_30059_charted,lost_beach_30057_charted,bridge_30078_charted,bridge_30079_charted,ancient_beach_30058_charted,checkpoint_30080_charted,pirate_fort_30056_charted,yeti_40041_charted",
