TrackedStatID,StatType,TargetID,VitalsCategories,Level,RequireGroup,WeaponMasteryIds,OpenWorldOnly,POITags,GameMode,LootTags,IsKillingBlow
KillLevel60VarangianKnights,Kill,,Varangian,60,,,,,,,
KillWolves,Kill,,Wolf,,,,,,,,
KillPlayer,Kill,,Player,,,,,,,,
KillFlamePoweredVarangians,Kill,,"Varangian,Forged",,,,,,,,
KillPlayerInOpenWorld,Kill,,Player,,,,true,,,,
KillLost,Kill,,Lost,,,,,,,,
KillAngryEarth,Kill,,AngryEarth,,,,,,,,
KillAncient,Kill,,Ancient,,,,,,,,
KillCorrupted,Kill,,Corrupted,,,,,,,,
KillBeast,Kill,,Beast,,,,,,,,
KillNamedVarangianKnight,Kill,,Varangian,,,,,,,"Varangian,Named",
KillWispyWasps,Kill,,Wispy_Wasp_Swarm,,,,,,,,
KillZygormat,Kill,Spriggan_Forest,,,,,,,,,
KillTheSirenQueen,Kill,Undead_Siren,,,,,,,,,
KillAvarice,Kill,Swamp_Dryad_Beast_Named_ELITE_05WC10,,,,,,,,,
KillSirOlga,Kill,Evil_Knight_Heavy_Named_14AC13,,,,,,,,,
KillCorruptedRabbit,Kill,,Rabbit,,,,,,,,
KillWithOneHanded,Kill,,,,,"HatchetAbilityTable,SwordAbilityTable,RapierAbilityTable,FlailAbilityTable",,,,,
KillWithTwoHanded,Kill,,,,,"WarHammerAbilityTable,GreatAxeAbilityTable,SpearAbilityTable,GreatSwordAbilityTable",,,,,
KillWithRanged,Kill,,,,,"BowAbilityTable,MusketAbilityTable,BlunderbussAbilityTable",,,,,
KillWithMagic,Kill,,,,,"FireMagicAbilityTable,LifeMagicAbilityTable,IceMagicAbilityTable,VoidGauntletAbilityTable",,,,,
KillingBlowInOutpostRush,Kill,,Player,,,,,,OutpostRush,,true
KillRafflebones,Kill,,,,,,,,,Goblin,
KillingBlowPlayer,Kill,,Player,,,,,,,,true
KillAnubianGuardian,Kill,,AnubianIdol,,,,,,,,
KillDunewalker,Kill,,Dunewalker,,,,,,,,
KillNamedDunewalker,Kill,,Dunewalker,,,,,,,Named,
KillSulfurElemental,Kill,,Sulfur,,,,,,,,
DefeatRisenStormTefkhonsunut,Kill,AnubianGuardian_Horus_Elite_Named_00,,,,,,,,,
KillPOIMyrkgard,Kill,,,60,,,,"myrkgardwest,myrkgardsouth,myrkgardeast,myrkgardnorth,myrkgardchurch",,,
KillPOIImperialPalace,Kill,,,60,,,,empressfortress_20201,,,
KillPOIMalevolence,Kill,,,60,,,,crater_malevolence_50325,,,
KillPOIEternalPool,Kill,,,60,,,,AE_Elite_50119,,,
KillPOIBedsOfTaBitJet,Kill,,,60,,,,scorpionnest_30305,,,
KillNamed,Kill,,,,,,,,,Named,
KillElite,Kill,,,,,,,,,Elite,
KillKhepri,Kill,Anubian_Scarab_67_Named_ELITE_00,,,,,,,,,
KillNamedBrimstone,Kill,,,,,,,"brimstonesands1,brimstonesands2,brimstonesands3,brimstonesands4,brimstonesands5,brimstonesands6,brimstonesands7,brimstonesands8,brimstonesands9,brimstonesands10",,Named,
KillHeka,Kill,AnubianGuardian_Panther_Named_00,,,,,,,,,
KillStubbles,Kill,Goat_Mountain_Named_00,,,,,,,,,
KillScorpions,Kill,,Scorpion,,,,,,,,
KillFirstLight,Kill,,,,,,,"firstlight1,firstlight2,firstlight3,firstlight4,firstlight5,firstlight6,firstlight7,firstlight8,firstlight9,firstlight10,firstlight11,firstlight12",,,
KillNamedFirstLight,Kill,,,,,,,"firstlight1,firstlight2,firstlight3,firstlight4,firstlight5,firstlight6,firstlight7,firstlight8,firstlight9,firstlight10,firstlight11,firstlight12",,Named,
KillPlayerFirstLight,Kill,,Player,,,,,"firstlight1,firstlight2,firstlight3,firstlight4,firstlight5,firstlight6,firstlight7,firstlight8,firstlight9,firstlight10,firstlight11,firstlight12",,,
KillFlail,Kill,,,65,,FlailAbilityTable,,,,,
