TrackedStatID,StatType,GameMode,Level,MutationLevel,RequireGroup,Score,MutatorRank,IsFlawless
CompleteLevel60Expedition,CompleteExpedition,,60,,,,,
CompleteMutatedExpedition,CompleteExpedition,,,1,,,,
CompleteM10Expedition,CompleteExpedition,,,10,,,,
CompleteM10Expedition75000Score_TheEmpyreanForge,CompleteExpedition,DungeonGreatCleave01,,10,,75000,,
CompleteExpedition_TheEmpyreanForge,CompleteExpedition,DungeonGreatCleave01,,,,,,
CompleteM1Expedition_TheEmpyreanForge,CompleteExpedition,DungeonGreatCleave01,,1,,,,
CompleteM5Expedition_TheEmpyreanForge,CompleteExpedition,DungeonGreatCleave01,,5,,,,
CompleteM10Expedition_TheEmpyreanForge,CompleteExpedition,DungeonGreatCleave01,,10,,,,
CompleteExpedition,CompleteExpedition,,,,,,,
CompleteM10ExpeditionWithGoldRank,CompleteExpedition,,,10,,,SILVER,
CompleteMutatedExpeditionFlawlessly,CompleteExpedition,,,1,,,,true
CompleteExpedition_TheEnnead,CompleteExpedition,DungeonBrimstoneSands00,,,,,,
CompleteM1Expedition_TheEnnead,CompleteExpedition,DungeonBrimstoneSands00,,1,,,,
CompleteM10Expedition_TheEnnead,CompleteExpedition,DungeonBrimstoneSands00,,10,,,,
CompleteM10ExpeditionFlawlessly,CompleteExpedition,,,10,,,,true
CompleteExpedition_FirstLight,CompleteExpedition,DungeonFirstLight01,,,,,,
CompleteExpeditionM1_FirstLight,CompleteExpedition,DungeonFirstLight01,,1,,,,
CompleteExpeditionM2_FirstLight,CompleteExpedition,DungeonFirstLight01,,2,,,,
CompleteExpeditionM3_FirstLight,CompleteExpedition,DungeonFirstLight01,,3,,,,
CompleteExpeditionM3_FirstLightFlawlessly,CompleteExpedition,DungeonFirstLight01,,3,,,,true
CompleteHatchery,CompleteExpedition,TrialSeason01,,,,,,
CompleteM3Expedition,CompleteExpedition,,,3,,,,
CompleteExpedition_GlacialTarn,CompleteExpedition,DungeonGreatCleave00,,,,,,
CompleteExpeditionM1_GlacialTarn,CompleteExpedition,DungeonGreatCleave00,,1,,,,
CompleteExpeditionM2_GlacialTarn,CompleteExpedition,DungeonGreatCleave00,,2,,,,
CompleteExpeditionM3_GlacialTarn,CompleteExpedition,DungeonGreatCleave00,,3,,,,
CompleteExpedition_GlacialTarn_Flawless,CompleteExpedition,DungeonGreatCleave00,,,,,,true
