VariantID,StartMesh,StartMat,GatherableEntryID,GatheringRadius,InteractionRadius,DetectableRadius,AudioPreload_Depletion,Depleted_SFX,Collision_Play_SFX,Collision_Stop_SFX,DepletedVFX,DepletedMesh,DepletedMat,StartMeshLOD,EndMeshLOD,AmbientType,MarkerRadius,AllowGatheringInGameModes,InteractionMarker_Offset_X,InteractionMarker_Offset_Y,InteractionMarker_Offset_Z
Bush_Briar_a,Objects/Nature/Veg_Bramble/Bramble_Forest/Briar/jav_fst_briar_a.cgf,Objects/Nature/Veg_Bramble/Bramble_Forest/Briar/JAV_Fst_Briar_mat.mtl,BriarLarge,0.5,1.85,1,gath_bush_leaves_big,Play_Gather_Bush_Lrg,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable_Bush.Demolish.Briar_Summer_A,Objects/Nature/Veg_Bramble/Bramble_Forest/Briar/jav_fst_briar_pick_a.cgf,Objects/Nature/Veg_Bramble/Bramble_Forest/Briar/JAV_Fst_Briar_mat.mtl,120,120,Bush,3.35,,,,
Bush_Briar_b,Objects/Nature/Veg_Bramble/Bramble_Forest/Briar/jav_fst_briar_b.cgf,Objects/Nature/Veg_Bramble/Bramble_Forest/Briar/JAV_Fst_Briar_mat.mtl,BriarLarge,0.5,1.85,1,gath_bush_leaves_big,Play_Gather_Bush_Lrg,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable_Bush.Demolish.Briar_Summer_B,Objects/Nature/Veg_Bramble/Bramble_Forest/Briar/jav_fst_briar_pick_b.cgf,Objects/Nature/Veg_Bramble/Bramble_Forest/Briar/JAV_Fst_Briar_mat.mtl,90,90,Bush,3.35,,,,
Bush_Briar_c,Objects/Nature/Veg_Bramble/Bramble_Forest/Briar/jav_fst_briar_c.cgf,Objects/Nature/Veg_Bramble/Bramble_Forest/Briar/JAV_Fst_Briar_mat.mtl,BriarLarge,0.5,1.85,1,gath_bush_leaves_big,Play_Gather_Bush_Lrg,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable_Bush.Demolish.Briar_Summer_C,Objects/Nature/Veg_Bramble/Bramble_Forest/Briar/jav_fst_briar_pick_c.cgf,Objects/Nature/Veg_Bramble/Bramble_Forest/Briar/JAV_Fst_Briar_mat.mtl,65,65,Bush,3.35,,,,
Bush_Burkwood_a,Objects/Nature/Veg_Bushes/Bushes_Forest/Burkwood/jav_fst_burkwoodbush_a.cgf,Objects/Nature/Veg_Bushes/Bushes_Forest/Burkwood/jav_fst_burkwoodbush_mat.mtl,BushLarge,0.65,3,1.75,gath_bush_leaves_big,Play_Gather_Bush_Lrg,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable_Bush.Demolish.Burkwood_Summer_A,Objects/Nature/Veg_Bushes/Bushes_Forest/Burkwood/jav_fst_burkwoodbush_pick_a.cgf,Objects/Nature/Veg_Bushes/Bushes_Forest/Burkwood/jav_fst_burkwoodbush_mat.mtl,120,120,Bush,4.5,,,,
Bush_Burkwood_b,Objects/Nature/Veg_Bushes/Bushes_Forest/Burkwood/jav_fst_burkwoodbush_b.cgf,Objects/Nature/Veg_Bushes/Bushes_Forest/Burkwood/jav_fst_burkwoodbush_mat.mtl,BushMedium,0.5,2.25,1.5,gath_bush_leaves_med,Play_Gather_Bush_Med,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable_Bush.Demolish.Burkwood_Summer_B,Objects/Nature/Veg_Bushes/Bushes_Forest/Burkwood/jav_fst_burkwoodbush_pick_b.cgf,Objects/Nature/Veg_Bushes/Bushes_Forest/Burkwood/jav_fst_burkwoodbush_mat.mtl,90,90,Bush,3.75,,,,
Bush_Burkwood_c,Objects/Nature/Veg_Bushes/Bushes_Forest/Burkwood/jav_fst_burkwoodbush_c.cgf,Objects/Nature/Veg_Bushes/Bushes_Forest/Burkwood/jav_fst_burkwoodbush_mat.mtl,BushSmall,0.25,1.85,1,gath_bush_leaves_small,Play_Gather_Bush_Sml,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable_Bush.Demolish.Burkwood_Summer_C,Objects/Nature/Veg_Bushes/Bushes_Forest/Burkwood/jav_fst_burkwoodbush_pick_c.cgf,Objects/Nature/Veg_Bushes/Bushes_Forest/Burkwood/jav_fst_burkwoodbush_mat.mtl,65,65,Bush,3.35,,,,
Bush_DeadBush_a,Objects/Nature/Veg_Bramble/Bramble_Forest/DeadScrub/jav_fst_deadbush_a.cgf,Objects/Nature/Veg_Bramble/Bramble_Forest/DeadScrub/JAV_Fst_DeadScrub_A_mat.mtl,BushWithered,0.15,1.85,0.95,gath_bush_leaves_med,Play_Gather_Bush_Med,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable_Bush.Demolish.Dead_Break_A,Objects/Nature/Veg_Bramble/Bramble_Forest/DeadScrub/jav_fst_deadbush_pick_a.cgf,Objects/Nature/Veg_Bramble/Bramble_Forest/DeadScrub/JAV_Fst_DeadScrub_A_mat.mtl,100,100,Bush,3.35,,,,
Bush_DeadBush_b,Objects/Nature/Veg_Bramble/Bramble_Forest/DeadScrub/jav_fst_deadbush_b.cgf,Objects/Nature/Veg_Bramble/Bramble_Forest/DeadScrub/JAV_Fst_DeadScrub_A_mat.mtl,BushWithered,0.1,1.85,0.75,gath_bush_leaves_small,Play_Gather_Bush_Sml,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable_Bush.Demolish.Dead_Break_B,Objects/Nature/Veg_Bramble/Bramble_Forest/DeadScrub/jav_fst_deadbush_pick_b.cgf,Objects/Nature/Veg_Bramble/Bramble_Forest/DeadScrub/JAV_Fst_DeadScrub_A_mat.mtl,75,75,Bush,3.35,,,,
Bush_DeadBush_c,Objects/Nature/Veg_Bramble/Bramble_Forest/DeadScrub/jav_fst_deadbush_c.cgf,Objects/Nature/Veg_Bramble/Bramble_Forest/DeadScrub/JAV_Fst_DeadScrub_A_mat.mtl,BushWithered,0.05,1.85,0.5,gath_bush_leaves_small,Play_Gather_Bush_Sml,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable_Bush.Demolish.Dead_Break_C,Objects/Nature/Veg_Bramble/Bramble_Forest/DeadScrub/jav_fst_deadbush_pick_c.cgf,Objects/Nature/Veg_Bramble/Bramble_Forest/DeadScrub/JAV_Fst_DeadScrub_A_mat.mtl,50,50,Bush,3.35,,,,
Bush_DeadBush_a_dst,Objects/Nature/Veg_Bramble/Bramble_Forest/DeadScrub/jav_fst_deadbush_a.cgf,Objects/Nature/Veg_Bramble/Bramble_Forest/DeadScrub/JAV_Fst_DeadScrub_b_mat.mtl,BushWithered,0.15,1.85,0.95,gath_bush_leaves_med,Play_Gather_Bush_Med,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable_Bush.Demolish.Dead_Break_A,Objects/Nature/Veg_Bramble/Bramble_Forest/DeadScrub/jav_fst_deadbush_pick_a.cgf,Objects/Nature/Veg_Bramble/Bramble_Forest/DeadScrub/JAV_Fst_DeadScrub_b_mat.mtl,100,100,Bush,3.35,,,,
