VariantID,NPCId,Name,CharacterDefinition,CharacterDefinitionEditor,ByeTimeline,GreetTimeline,IdleTimeline,InteractTimeline,PlaceholderMesh,AttachedMesh,AttachmentPositionX,AttachmentPositionY,AttachmentPositionZ,AttachmentRotationX,AttachmentRotationY,AttachmentRotationZ,InteractOverride_X,InteractOverride_Y,MarkerOffset_Z,WalkawayTimeline,AE.0_RequiredAchievementConditional,AE.9_RequiredAchievementConditional,AE.0_EventDelayDuration,AE.9_EventDelayDuration,AE.1_EventDelayDuration,AE.1_OE.0_OpacityTransitionDuration,AE.2_EventDelayDuration,WalkInTimeline,AE.3_RequiredAchievementConditional,SwapAchievementId,AE.10_RequiredAchievementConditional,AE.3_EventDelayDuration,AE.10_EventDelayDuration,AE.4_EventDelayDuration,AE.4_OE.0_OpacityTransitionDuration,AE.5_EventDelayDuration,AE.6_EventDelayDuration
VariantDefault_DoNotDelete,01_ReeseMB_01,@01_Reese,Objects\Characters\npc\Settlements\0401_watcher.cdf,Objects\Characters\npc\Settlements\0401_watcher.cdf,Libs\Timeline\Npc\NPC_PlayByeAnim.timeline,Libs\Timeline\Npc\NPC_PlayGreetAnim.timeline,Libs\Timeline\Npc\NPC_PlayIdleLoop.timeline,Libs\Timeline\Npc\NPC_PlayInteractLoop.timeline,,,,,,,,,,,,Libs\Timeline\Npc\npc_01_reeseww_walkaway_left.timeline,!SwapActive_01_ReeseWW_A,0,0,0.05,4,2,6,Libs\Timeline\Npc\npc_01_reeseww_walkaway_left.timeline,SwapActive_01_ReeseWW_A,SwapActive_01_ReeseWW_A,3,0,0.05,0.05,2,0,2
01_ReeseMB_01,01_ReeseMB_01,@01_Reese,Objects\Characters\npc\Settlements\0401_watcher.cdf,Objects\Characters\npc\Settlements\0401_watcher.cdf,Libs\Timeline\Npc\NPC_PlayByeAnim.timeline,Libs\Timeline\Npc\NPC_PlayGreetAnim.timeline,Libs\Timeline\Npc\NPC_PlayIdleLoop.timeline,Libs\Timeline\Npc\NPC_PlayInteractLoop.timeline,,,,,,,,,,,,Libs\Timeline\Npc\npc_01_reeseww_walkaway_left.timeline,SwapActive_01_ReeseMB_A,0,0,0.05,22,0,22,Timelines\EmptyTimeline.timeline,!SwapActive_01_ReeseMB_A,!SwapActive_01_ReeseMB_A,,0,0.05,0.05,0,0,0.1
01_ReeseMB_02,01_ReeseMB_02,@01_Reese,Objects\Characters\npc\Settlements\0401_watcher.cdf,Objects\Characters\npc\Settlements\0401_watcher.cdf,Libs\Timeline\Npc\NPC_PlayByeAnim.timeline,Libs\Timeline\Npc\NPC_PlayGreetAnim.timeline,Libs\Timeline\Npc\NPC_PlayIdleLoop.timeline,Libs\Timeline\Npc\NPC_PlayInteractLoop.timeline,,,,,,,,,,,,Libs\Timeline\Npc\NPC_PlayByeAnim.timeline,!SwapActive_01_ReeseMB_B,0,0,0.05,0,1,1,Timelines\EmptyTimeline.timeline,SwapActive_01_ReeseMB_B,SwapActive_01_ReeseMB_B,,0,0.05,0.05,0,0,0.1
01_ReeseMB_02a,01_ReeseMB_02,@01_Reese,Objects\Characters\npc\Settlements\0401_watcher.cdf,Objects\Characters\npc\Settlements\0401_watcher.cdf,Libs\Timeline\Npc\NPC_PlayByeAnim.timeline,Libs\Timeline\Npc\NPC_PlayGreetAnim.timeline,Libs\Timeline\Npc\NPC_PlayIdleLoop.timeline,Libs\Timeline\Npc\NPC_PlayInteractLoop.timeline,,,,,,,,,,,,Libs\Timeline\Npc\npc_01_reesemb_02_walkaway.timeline,!SwapActive_01_ReeseMB_B_Walkaway,0,0,0.05,9,1,10,Timelines\EmptyTimeline.timeline,SwapActive_01_ReeseMB_B_Walkaway,SwapActive_01_ReeseMB_B_Walkaway,,0,0.05,0.05,0,0,0.1
01_ReeseMB_03,01_ReeseMB_03,@01_Reese,Objects\Characters\npc\Settlements\0401_watcher.cdf,Objects\Characters\npc\Settlements\0401_watcher.cdf,Libs\Timeline\Npc\settle_ranger_outro_01.timeline,Libs\Timeline\Npc\settle_ranger_intro_01.timeline,Libs\Timeline\Npc\settle_ranger_ambient_01.timeline,Libs\Timeline\Npc\settle_ranger_interact_01.timeline,,,,,,,,,,,,Libs\Timeline\Npc\npc_01_reesemb_03_walkaway.timeline,!SwapActive_01_ReeseMB_C,0,0,0.05,9,1,10,Timelines\EmptyTimeline.timeline,SwapActive_01_ReeseMB_C,SwapActive_01_ReeseMB_C,,0,0.05,0.05,1,0,1.1
01_GraceMB_01,01_GraceMB_01,@01_Grace,Objects\Characters\npc\natural\GraceOMalley\GraceOMalley.cdf,Objects\Characters\npc\natural\GraceOMalley\GraceOMalley.cdf,Libs\Timeline\Npc\settle_warden_exit_01.timeline,Libs\Timeline\Npc\settle_warden_intro_01.timeline,Libs\Timeline\Npc\settle_warden_ambient_01.timeline,Libs\Timeline\Npc\settle_warden_interact_01.timeline,,,,,,,,,,,,Libs\Timeline\Npc\npc_01_gracemb_walkaway.timeline,!SwapActive_01_GraceMB_A,0,0,0.05,9,1,10,Timelines\EmptyTimeline.timeline,SwapActive_01_GraceMB_A,SwapActive_01_GraceMB_A,,0,0.05,0.05,0,0,0.1
01_GraceMB_02,01_GraceMB_02,@01_Grace,Objects\Characters\npc\natural\GraceOMalley\GraceOMalley.cdf,Objects\Characters\npc\natural\GraceOMalley\GraceOMalley.cdf,Libs\Timeline\Npc\settle_warden_exit_01.timeline,Libs\Timeline\Npc\settle_warden_intro_01.timeline,Libs\Timeline\Npc\settle_warden_ambient_01.timeline,Libs\Timeline\Npc\settle_warden_interact_01.timeline,,,,,,,,,,,,Libs\Timeline\Npc\npc_01_gracemb_02_walkaway.timeline,!SwapActive_01_GraceMB_B,0,0,0.05,9,1,10,Timelines\EmptyTimeline.timeline,SwapActive_01_GraceMB_B,SwapActive_01_GraceMB_B,,0,0.05,0.05,1,0,1.1
01_GraceMB_03,01_GraceMB_03,@01_Grace,Objects\Characters\npc\natural\GraceOMalley\GraceOMalley.cdf,Objects\Characters\npc\natural\GraceOMalley\GraceOMalley.cdf,Libs\Timeline\Npc\settle_warden_exit_01.timeline,Libs\Timeline\Npc\settle_warden_intro_01.timeline,Libs\Timeline\Npc\settle_warden_ambient_01.timeline,Libs\Timeline\Npc\settle_warden_interact_01.timeline,,,,,,,,,,,,Libs\Timeline\Npc\npc_01_graceww_03_walkaway.timeline,!SwapActive_01_GraceMB_C,0,0,0.05,9,1,10,Timelines\EmptyTimeline.timeline,SwapActive_01_GraceMB_C,SwapActive_01_GraceMB_C,,0,0.05,0.05,1,0,1.1
01_ReeseWW_01,01_ReeseWW_01,@01_Reese,Objects\Characters\npc\Settlements\0401_watcher.cdf,Objects\Characters\npc\Settlements\0401_watcher.cdf,Libs\Timeline\Npc\NPC_PlayByeAnim.timeline,Libs\Timeline\Npc\NPC_PlayGreetAnim.timeline,Libs\Timeline\Npc\NPC_PlayIdleLoop.timeline,Libs\Timeline\Npc\NPC_PlayInteractLoop.timeline,,,,,,,,,,,,Libs\Timeline\Npc\npc_01_reeseww_walkaway.timeline,SwapActive_01_ReeseWW_A,0,0,0.05,25,0,25,Timelines\EmptyTimeline.timeline,!SwapActive_01_ReeseWW_A,!SwapActive_01_ReeseWW_A,,0,0.05,0.05,0,0,0.1
01_ReeseWW_02,01_ReeseWW_02,@01_Reese,Objects\Characters\npc\Settlements\0401_watcher.cdf,Objects\Characters\npc\Settlements\0401_watcher.cdf,Libs\Timeline\Npc\NPC_PlayByeAnim.timeline,Libs\Timeline\Npc\NPC_PlayGreetAnim.timeline,Libs\Timeline\Npc\NPC_PlayIdleLoop.timeline,Libs\Timeline\Npc\NPC_PlayInteractLoop.timeline,,,,,,,,,,,,Libs\Timeline\Npc\NPC_PlayByeAnim.timeline,!SwapActive_01_ReeseWW_B,0,0,0.05,0,1,1,Timelines\EmptyTimeline.timeline,SwapActive_01_ReeseWW_B,SwapActive_01_ReeseWW_B,,0,0.05,0.05,0,0,0.1
01_ReeseWW_02a,01_ReeseWW_02,@01_Reese,Objects\Characters\npc\Settlements\0401_watcher.cdf,Objects\Characters\npc\Settlements\0401_watcher.cdf,Libs\Timeline\Npc\NPC_PlayByeAnim.timeline,Libs\Timeline\Npc\NPC_PlayGreetAnim.timeline,Libs\Timeline\Npc\NPC_PlayIdleLoop.timeline,Libs\Timeline\Npc\NPC_PlayInteractLoop.timeline,,,,,,,,,,,,Libs\Timeline\Npc\npc_02_reeseww_walkaway.timeline,!SwapActive_01_ReeseWW_B_Walkaway,0,0,0.05,9,1,10,Timelines\EmptyTimeline.timeline,SwapActive_01_ReeseWW_B_Walkaway,SwapActive_01_ReeseWW_B_Walkaway,,0,0.05,0.05,0,0,0.1
01_ReeseWW_03,01_ReeseWW_03,@01_Reese,Objects\Characters\npc\Settlements\0401_watcher.cdf,Objects\Characters\npc\Settlements\0401_watcher.cdf,Libs\Timeline\Npc\settle_ranger_outro_01.timeline,Libs\Timeline\Npc\settle_ranger_intro_01.timeline,Libs\Timeline\Npc\settle_ranger_ambient_01.timeline,Libs\Timeline\Npc\settle_ranger_interact_01.timeline,,,,,,,,,,,,Libs\Timeline\Npc\npc_03_reeseww_walkaway.timeline,!SwapActive_01_ReeseWW_C,0,0,0.05,9,1,10,Timelines\EmptyTimeline.timeline,SwapActive_01_ReeseWW_C,SwapActive_01_ReeseWW_C,,0,0.05,0.05,1,0,1.1
01_GraceWW_01,01_GraceWW_01,@01_Grace,Objects\Characters\npc\natural\GraceOMalley\GraceOMalley.cdf,Objects\Characters\npc\natural\GraceOMalley\GraceOMalley.cdf,Libs\Timeline\Npc\settle_warden_exit_01.timeline,Libs\Timeline\Npc\settle_warden_intro_01.timeline,Libs\Timeline\Npc\settle_warden_ambient_01.timeline,Libs\Timeline\Npc\settle_warden_interact_01.timeline,,,,,,,,,,,,Libs\Timeline\Npc\npc_01_graceww_01_walkaway.timeline,!SwapActive_01_GraceWW_A,0,0,0.05,9,1,10,Timelines\EmptyTimeline.timeline,SwapActive_01_GraceWW_A,SwapActive_01_GraceWW_A,,0,0.05,0.05,0,0,0.1
01_GraceWW_02,01_GraceWW_02,@01_Grace,Objects\Characters\npc\natural\GraceOMalley\GraceOMalley.cdf,Objects\Characters\npc\natural\GraceOMalley\GraceOMalley.cdf,Libs\Timeline\Npc\settle_warden_exit_01.timeline,Libs\Timeline\Npc\settle_warden_intro_01.timeline,Libs\Timeline\Npc\settle_warden_ambient_01.timeline,Libs\Timeline\Npc\settle_warden_interact_01.timeline,,,,,,,,,,,,Libs\Timeline\Npc\npc_01_gracemb_02_walkaway.timeline,!SwapActive_01_GraceWW_B,0,0,0.05,9,1,10,Timelines\EmptyTimeline.timeline,SwapActive_01_GraceWW_B,SwapActive_01_GraceWW_B,,0,0.05,0.05,1,0,1.1
01_GraceWW_03,01_GraceWW_03,@01_Grace,Objects\Characters\npc\natural\GraceOMalley\GraceOMalley.cdf,Objects\Characters\npc\natural\GraceOMalley\GraceOMalley.cdf,Libs\Timeline\Npc\settle_warden_exit_01.timeline,Libs\Timeline\Npc\settle_warden_intro_01.timeline,Libs\Timeline\Npc\settle_warden_ambient_01.timeline,Libs\Timeline\Npc\settle_warden_interact_01.timeline,,,,,,,,,,,,Libs\Timeline\Npc\npc_01_graceww_03_walkaway.timeline,!SwapActive_01_GraceWW_C,0,0,0.05,9,1,10,Timelines\EmptyTimeline.timeline,SwapActive_01_GraceWW_C,SwapActive_01_GraceWW_C,,0,0.05,0.05,1,0,1.1
0425_herbalistWW,0425_HerbalistWW,@0425_Herbalist,Objects\Characters\npc\Settlements\0425_herbalist.cdf,Objects\Characters\npc\Settlements\0425_herbalist.cdf,Libs\Timeline\Npc\settle_ranger_outro_01.timeline,Libs\Timeline\Npc\settle_ranger_intro_01.timeline,Libs\Timeline\Npc\settle_ranger_ambient_01.timeline,Libs\Timeline\Npc\settle_ranger_interact_01.timeline,,,,,,,,,,,,Libs\Timeline\Npc\npc_01_howe_mb_walkaway.timeline,!SwapActive_0425_HerbalistPath_ww,0,0,0.05,9,1,10,Timelines\EmptyTimeline.timeline,SwapActive_0425_HerbalistPath_ww,SwapActive_0425_HerbalistPath_ww,,0,0.05,0.05,1,0,1.1
0425_herbalistMB,0425_HerbalistMB,@0425_Herbalist,Objects\Characters\npc\Settlements\0425_herbalist.cdf,Objects\Characters\npc\Settlements\0425_herbalist.cdf,Libs\Timeline\Npc\settle_ranger_outro_01.timeline,Libs\Timeline\Npc\settle_ranger_intro_01.timeline,Libs\Timeline\Npc\settle_ranger_ambient_01.timeline,Libs\Timeline\Npc\settle_ranger_interact_01.timeline,,,,,,,,,,,,Libs\Timeline\Npc\npc_01_howe_mb_walkaway.timeline,!SwapActive_0425_HerbalistPath_mb,0,0,0.05,9,1,10,Timelines\EmptyTimeline.timeline,SwapActive_0425_HerbalistPath_mb,SwapActive_0425_HerbalistPath_mb,,0,0.05,0.05,1,0,1.1
01_GraceWW_00,01_GraceWW_00,@01_Grace,Objects\Characters\npc\natural\GraceOMalley\GraceOMalley.cdf,Objects\Characters\npc\natural\GraceOMalley\GraceOMalley.cdf,Libs\Timeline\Npc\settle_warden_exit_01.timeline,Libs\Timeline\Npc\settle_warden_intro_01.timeline,Libs\Timeline\Npc\settle_warden_ambient_01.timeline,Libs\Timeline\Npc\settle_warden_interact_01.timeline,,,,,,,,,,,,Libs\Timeline\Npc\npc_01_graceww_00_walkaway.timeline,!SwapActive_01_GraceWW_00,0,0,0.05,25,0,25,Libs\Timeline\Npc\npc_01_graceww_00_walkin.timeline,SwapActive_01_GraceWW_00,SwapActive_01_GraceWW_00,3,0,0.05,0.55,0,0.5,0.6
01_GraceMB_00,01_GraceMB_00,@01_Grace,Objects\Characters\npc\natural\GraceOMalley\GraceOMalley.cdf,Objects\Characters\npc\natural\GraceOMalley\GraceOMalley.cdf,Libs\Timeline\Npc\settle_warden_exit_01.timeline,Libs\Timeline\Npc\settle_warden_intro_01.timeline,Libs\Timeline\Npc\settle_warden_ambient_01.timeline,Libs\Timeline\Npc\settle_warden_interact_01.timeline,,,,,,,,,,,,Libs\Timeline\Npc\npc_01_gracemb_00_walkaway.timeline,!SwapActive_01_GraceMB_00,0,0,0.05,25,0,25,Libs\Timeline\Npc\npc_01_graceww_00_walkin.timeline,SwapActive_01_GraceMB_00,SwapActive_01_GraceMB_00,3,0,0.05,0.55,0,0.5,0.6
06_LijsbetDeVries_01,06_LijsbetDeVries01,@06_LijsbetDeVries,Objects\Characters\npc\Settlements\06_LijsbetDeVries.cdf,Objects\Characters\npc\Settlements\06_LijsbetDeVries.cdf,Libs\Timeline\Npc\settle_ranger_exit_01.timeline,Libs\Timeline\Npc\settle_ranger_intro_01.timeline,Libs\Timeline\Npc\settle_ranger_ambient_01.timeline,Libs\Timeline\Npc\settle_ranger_interact_01.timeline,,,,,,,,,,,,Libs\Timeline\Npc\Walkaways\unique_down_stairs_walkaway.timeline,SwapActive_06_LijsbetDeVries_A,0,0,0.05,6,1,7,Timelines\EmptyTimeline.timeline,!SwapActive_06_LijsbetDeVries_A,!SwapActive_06_LijsbetDeVries_A,,0,0.05,0.05,1,0,1.1
06_MichaelLewis_01,06_MichaelLewis01,@06_MichaelLewis,Objects\Characters\npc\Settlements\06_MichaelLewis.cdf,Objects\Characters\npc\Settlements\06_MichaelLewis.cdf,Libs\Timeline\Npc\settle_ranger_exit_01.timeline,Libs\Timeline\Npc\settle_ranger_intro_01.timeline,Libs\Timeline\Npc\settle_ranger_ambient_01.timeline,Libs\Timeline\Npc\settle_ranger_interact_01.timeline,,,,,,,,,,,,Libs\Timeline\Npc\Walkaways\turn_25_left_walkaway.timeline,SwapActive_06_MichaelLewis_A,0,0,0.05,9,1,10,Timelines\EmptyTimeline.timeline,!SwapActive_06_MichaelLewis_A,!SwapActive_06_MichaelLewis_A,,0,0.05,0.05,1,0,1.1
06_NessaHarrower_01,06_NessaHarrower01,@06_NessaHarrower,Objects\Characters\npc\Settlements\06_NessaHarrower.cdf,Objects\Characters\npc\Settlements\06_NessaHarrower.cdf,Libs\Timeline\Npc\Interactions\Stand\Generic\settle_generic_stand_exit.timeline,Libs\Timeline\Npc\Interactions\Stand\Generic\settle_generic_stand_greet.timeline,Libs\Timeline\Npc\Interactions\Stand\Generic\settle_generic_stand_ambient.timeline,Libs\Timeline\Npc\Interactions\Stand\Generic\settle_generic_stand_interact.timeline,,,,,,,,,,,,Libs\Timeline\Npc\Walkaways\turn_25_left_walkaway.timeline,SwapActive_06_Nessa_A,0,0,0.05,11,1,12,Timelines\EmptyTimeline.timeline,!SwapActive_06_Nessa_A,!SwapActive_06_Nessa_A,,0,0.05,0.05,1,0,1.1
