VariantID,Visual_Healthy,Visual_Depleted,Visual_NotOnRequiredQuest,Visual_Basemesh,GatherableEntryID,GatheringRadius,InteractionRadius,DetectableRadius,MarkerRadius,AudioPreload_depleted,SFX_depleted,SFX_Idle,VFX_Idle,IdleVFX_Offset_Z,DepletedVFX,depletedVFX_Offset_Z,GatheringFX,gatheringVFX_Offzet_Z,interactionMarker_Offset_Z,InteractionEvent,InteractTag,InteractOnlyOnQuest,AchievementID,AchievementServerState,IsStateControlledBySlayerScript
0402_GruelBarrel,,,,slices/InteractObjects/Gruel/WorldEvent_Object_0402_GruelBarrel_01.dynamicslice,0402_GruelBarrel,1,3.25,2.5,5,,,,cFX_Loot.Loot_Quest_Small,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_0402_GruelBarrel,true,,,
0403_GruelBarrel,,,,slices/Gatherables/Quest/Shopbarrel_Gruel_Look.dynamicslice,0402_GruelBarrel,1,3.25,2.5,5,,,,,,,,,,,slices/WorldEvents/Everfall/Gruel/Enc_WorldEvent_Gruel.dynamicslice,IO_0403_GruelBarrel,true,,,
0424_0108_YetiRune,slices/WorldEvents/Shared/WorldEvent_Object_Onboarding_WolfDenEvents_Alphalure_Visual.dynamicslice,,,,0424_0108_YetiRune,1,3.25,2.5,5,,,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_0424_0108_YetiRune,true,,,
0403_0201_AlphaLure,slices/WorldEvents/Shared/WorldEvent_Object_Onboarding_WolfDenEvents_Alphalure_Visual.dynamicslice,,,,0403_0201_AlphaLure,1,3.25,2.5,5,,,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_0403_0201_AlphaLure,true,,,
0603_0201_AlphaLure,slices/WorldEvents/Shared/WorldEvent_Object_Onboarding_WolfDenEvents_Alphalure_Visual.dynamicslice,,,,0603_0201_AlphaLure,1,3.25,2.5,5,,,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_0603_0201_AlphaLure,true,,,
0903_0201_AlphaLure,slices/WorldEvents/Shared/WorldEvent_Object_Onboarding_WolfDenEvents_Alphalure_Visual.dynamicslice,,,,0903_0201_AlphaLure,1,3.25,2.5,5,,,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_0903_0201_AlphaLure,true,,,
1203_0201_AlphaLure,slices/WorldEvents/Shared/WorldEvent_Object_Onboarding_WolfDenEvents_Alphalure_Visual.dynamicslice,,,,1203_0201_AlphaLure,1,3.25,2.5,5,,,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_1203_0201_AlphaLure,true,,,
Default,,,,slices/Gatherables/Quest/Shopbarrel_Gruel_Look.dynamicslice,GateMalTemple1,1,3.25,2.5,5,,,,,,,,,,,,,,,,
06_Grave,,,,slices/POIs/Assembly/Crafting/Props/Decor/Graveyard/Gravestones/GraveStone_A.dynamicslice,06_Grave,1,3.25,2.5,5,,,,,,,,,,,slices/WorldEvents/Windsward/Grenville/Enc_WorldEvent_06_Grave_00.dynamicslice,,,,,
06_SpectralShrine,,slices/WorldEvents/Windsward/SpectralShrine/Art/WorldEvent_Art_06_SpectralShrine_01.dynamicslice,,slices/WorldEvents/Windsward/SpectralShrine/Art/WorldEvent_Art_06_SpectralShrine_00.dynamicslice,06_SpectralShrine,1,3.25,2.5,5,,Play_Alchemy_Fire_Plant,,,,Gatherable_Alchemy_Plant.Ambience.Plant_Fire_Deplete01,,,,,slices\WorldEvents\Windsward\SpectralShrine\Enc_WorldEvent_06_SpectralShrine_00.dynamicslice,,,,,
0201_DirtPile,slices\WorldEvents\Brightwood\Interact\DirtPile\WorldEvent_Object_0201_DirtPile_00.dynamicslice,slices\WorldEvents\Brightwood\Interact\DirtPile\WorldEvent_Object_0201_DirtPile_01.dynamicslice,,,0201_DirtPile,0.5,1.85,2.5,5,,,,cFX_Loot.Loot_Quest_Small,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_0201_DirtPile,true,,,
0202_BoneDirtPile,slices\WorldEvents\Brightwood\Interact\BoneDirtPile\WorldEvent_Object_0202_BoneDirtPile_00.dynamicslice,slices\WorldEvents\Brightwood\Interact\BoneDirtPile\WorldEvent_Object_0202_BoneDirtPile_01.dynamicslice,,,0202_BoneDirtPile,0.5,1.85,2.5,5,,,,cFX_Loot.Loot_Quest_Small,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_0202_BoneDirtPile,true,,,
0203_MossPuffball,slices\WorldEvents\Brightwood\Interact\MossPuffball\WorldEvent_Object_0203_MossPuffball_00.dynamicslice,slices\WorldEvents\Brightwood\Interact\MossPuffball\WorldEvent_Object_0203_MossPuffball_01.dynamicslice,,,0203_MossPuffball,0.5,1.85,2.5,5,,,,cFX_Loot.Loot_Quest_Small,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_0203_MossPuffball,true,,,
0231_WolcottsEaselA,,slices\WorldEvents\Brightwood\Interact\WolcottsEasel\WorldEvent_Object_0231_WolcottsEasel_00.dynamicslice,,,0231_WolcottsEaselA,0.3,3.25,2.5,5,,,,cFX_Loot.Loot_Quest_Medium,1,cFX_LifeStaff.MassRez_Spawn,,,,,,IO_0231_WolcottsEaselA,true,,,
0231_WolcottsEaselB,,slices\WorldEvents\Brightwood\Interact\WolcottsEasel\WorldEvent_Object_0231_WolcottsEasel_00.dynamicslice,,,0231_WolcottsEaselB,0.3,3.25,2.5,5,,,,cFX_Loot.Loot_Quest_Medium,1,cFX_LifeStaff.MassRez_Spawn,,,,,,IO_0231_WolcottsEaselB,true,,,
0231_WolcottsEaselC,,slices\WorldEvents\Brightwood\Interact\WolcottsEasel\WorldEvent_Object_0231_WolcottsEasel_00.dynamicslice,,,0231_WolcottsEaselC,0.3,3.25,2.5,5,,,,cFX_Loot.Loot_Quest_Medium,1,cFX_LifeStaff.MassRez_Spawn,,,,,,IO_0231_WolcottsEaselC,true,,,
0231_WolcottsEaselD,,slices\WorldEvents\Brightwood\Interact\WolcottsEasel\WorldEvent_Object_0231_WolcottsEasel_00.dynamicslice,,,0231_WolcottsEaselD,0.3,3.25,2.5,5,,,,cFX_Loot.Loot_Quest_Medium,1,cFX_LifeStaff.MassRez_Spawn,,,,,,IO_0231_WolcottsEaselD,true,,,
0231_WolcottsEaselE,,slices\WorldEvents\Brightwood\Interact\WolcottsEasel\WorldEvent_Object_0231_WolcottsEasel_00.dynamicslice,,,0231_WolcottsEaselE,0.3,3.25,2.5,5,,,,cFX_Loot.Loot_Quest_Medium,1,cFX_LifeStaff.MassRez_Spawn,,,,,,IO_0231_WolcottsEaselE,true,,,
0231_WolcottsEaselF,,slices\WorldEvents\Brightwood\Interact\WolcottsEasel\WorldEvent_Object_0231_WolcottsEasel_00.dynamicslice,,,0231_WolcottsEaselF,0.3,3.25,2.5,5,,,,cFX_Loot.Loot_Quest_Medium,1,cFX_LifeStaff.MassRez_Spawn,,,,,,IO_0231_WolcottsEaselF,true,,,
0231_WolcottsEaselG,,slices\WorldEvents\Brightwood\Interact\WolcottsEasel\WorldEvent_Object_0231_WolcottsEasel_00.dynamicslice,,,0231_WolcottsEaselG,0.3,3.25,2.5,5,,,,cFX_Loot.Loot_Quest_Medium,1,cFX_LifeStaff.MassRez_Spawn,,,,,,IO_0231_WolcottsEaselG,true,,,
0231_WolcottsEaselH,,slices\WorldEvents\Brightwood\Interact\WolcottsEasel\WorldEvent_Object_0231_WolcottsEasel_00.dynamicslice,,,0231_WolcottsEaselH,0.3,3.25,2.5,5,,,,cFX_Loot.Loot_Quest_Medium,1,cFX_LifeStaff.MassRez_Spawn,,,,,,IO_0231_WolcottsEaselH,true,,,
0231_WolcottsEaselI,,slices\WorldEvents\Brightwood\Interact\WolcottsEasel\WorldEvent_Object_0231_WolcottsEasel_00.dynamicslice,,,0231_WolcottsEaselI,0.3,3.25,2.5,5,,,,cFX_Loot.Loot_Quest_Medium,1,cFX_LifeStaff.MassRez_Spawn,,,,,,IO_0231_WolcottsEaselI,true,,,
9801_PKTraceAbsorberA,slices\WorldEvents\Missions\Interact\PKTraceAbsorber\WorldEvent_Object_9801_PKTraceAbsorberA_00.dynamicslice,slices\WorldEvents\Missions\Interact\PKTraceAbsorber\WorldEvent_Object_9801_PKTraceAbsorberA_01.dynamicslice,,,9801_PKTraceAbsorberA,0.5,1.85,2.5,5,,,,cFX_Loot.Loot_Quest_Small,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_9801_PKTraceAbsorberA,true,,,
9801_PKTraceAbsorberA_01,slices\WorldEvents\Missions\Interact\PKTraceAbsorber\WorldEvent_Object_9801_PKTraceAbsorberA_00.dynamicslice,slices\WorldEvents\Missions\Interact\PKTraceAbsorber\WorldEvent_Object_9801_PKTraceAbsorberA_01.dynamicslice,,,9801_PKTraceAbsorberA_01,0.5,1.85,2.5,5,,,,cFX_Loot.Loot_Quest_Small,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_9801_PKTraceAbsorberA_01,true,,,
9801_PKTraceAbsorberA_02,slices\WorldEvents\Missions\Interact\PKTraceAbsorber\WorldEvent_Object_9801_PKTraceAbsorberA_00.dynamicslice,slices\WorldEvents\Missions\Interact\PKTraceAbsorber\WorldEvent_Object_9801_PKTraceAbsorberA_01.dynamicslice,,,9801_PKTraceAbsorberA_02,0.5,1.85,2.5,5,,,,cFX_Loot.Loot_Quest_Small,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_9801_PKTraceAbsorberA_02,true,,,
9801_PKTraceAbsorberA_03,slices\WorldEvents\Missions\Interact\PKTraceAbsorber\WorldEvent_Object_9801_PKTraceAbsorberA_00.dynamicslice,slices\WorldEvents\Missions\Interact\PKTraceAbsorber\WorldEvent_Object_9801_PKTraceAbsorberA_01.dynamicslice,,,9801_PKTraceAbsorberA_03,0.5,1.85,2.5,5,,,,cFX_Loot.Loot_Quest_Small,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_9801_PKTraceAbsorberA_03,true,,,
9801_PKTraceAbsorberA_04,slices\WorldEvents\Missions\Interact\PKTraceAbsorber\WorldEvent_Object_9801_PKTraceAbsorberA_00.dynamicslice,slices\WorldEvents\Missions\Interact\PKTraceAbsorber\WorldEvent_Object_9801_PKTraceAbsorberA_01.dynamicslice,,,9801_PKTraceAbsorberA_04,0.5,1.85,2.5,5,,,,cFX_Loot.Loot_Quest_Small,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_9801_PKTraceAbsorberA_04,true,,,
9801_PKTraceAbsorberA_05,slices\WorldEvents\Missions\Interact\PKTraceAbsorber\WorldEvent_Object_9801_PKTraceAbsorberA_00.dynamicslice,slices\WorldEvents\Missions\Interact\PKTraceAbsorber\WorldEvent_Object_9801_PKTraceAbsorberA_01.dynamicslice,,,9801_PKTraceAbsorberA_05,0.5,1.85,2.5,5,,,,cFX_Loot.Loot_Quest_Small,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_9801_PKTraceAbsorberA_05,true,,,
