VariantID,Visual_Healthy,Visual_Depleted,Visual_NotOnRequiredQuest,Visual_Basemesh,GatherableEntryID,InteractPromptRadius,DetectableRadius,MarkerRadius,AudioPreload_depleted,SFX_depleted,AudioPreload_idle,SFX_Idle,VFX_Idle,IdleVFX_Offset_Z,DepletedVFX,depletedVFX_Offset_Z,DepletedVFX_Quest,DepletedVFX_Quest_Offset_Z,GatheringFX,gatheringVFX_Offzet_Z,interactionMarker_Offset_Z,InteractionEvent,InteractTag,InteractOnlyOnQuest,AchievementID,AchievementServerState,CollisionAssetOverride,ShouldHaveStaticCollision,Collision_Offset_Z,VisualHealthy_Offset_Z,IsStateControlledBySlayerScript,Collision_Scale_X,Collision_Scale_Y,Collision_Scale_Z,Force_Display_Health_Bar,Marker_Creature_Type_Override,Marker_Vertical_Offset
0404_CorruptedNoduleA,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Healthy.dynamicslice,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Depleted.dynamicslice,,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Base.dynamicslice,0404_CorruptedNoduleA,3,5,10,Gath_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Corruption_Beam_A,Play_Corruption_Beam_A,env_darkness.Core.Core_minor_monolith_idle01,1.5,env_darkness.Core.Core_death01,1.5,cFX_Loot.Loot_Quest_Small_Depleted,,env_darkness.Core.Core_minor_monolith_gather01,1.5,,,IO_0404_CorruptedNoduleA,true,,,Objects\Crafting\BaseMaterials\BaseSphere.cgf,,1.5,,,,,,,,
0404_CorruptedNoduleB,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Healthy.dynamicslice,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Depleted.dynamicslice,,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Base.dynamicslice,0404_CorruptedNoduleB,3,5,10,Gath_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Corruption_Beam_A,Play_Corruption_Beam_A,env_darkness.Core.Core_minor_monolith_idle01,1.5,env_darkness.Core.Core_death01,1.5,cFX_Loot.Loot_Quest_Small_Depleted,,env_darkness.Core.Core_minor_monolith_gather01,1.5,,,IO_0404_CorruptedNoduleB,true,,,Objects\Crafting\BaseMaterials\BaseSphere.cgf,,1.5,,,,,,,,
0404_CorruptedNoduleC,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Healthy.dynamicslice,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Depleted.dynamicslice,,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Base.dynamicslice,0404_CorruptedNoduleC,3,5,10,Gath_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Corruption_Beam_A,Play_Corruption_Beam_A,env_darkness.Core.Core_minor_monolith_idle01,1.5,env_darkness.Core.Core_death01,1.5,cFX_Loot.Loot_Quest_Small_Depleted,,env_darkness.Core.Core_minor_monolith_gather01,1.5,,,IO_0404_CorruptedNoduleC,true,,,Objects\Crafting\BaseMaterials\BaseSphere.cgf,,1.5,,,,,,,,
0404_CorruptedNoduleD,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Healthy.dynamicslice,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Depleted.dynamicslice,,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Base.dynamicslice,0404_CorruptedNoduleD,3,5,10,Gath_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Corruption_Beam_A,Play_Corruption_Beam_A,env_darkness.Core.Core_minor_monolith_idle01,1.5,env_darkness.Core.Core_death01,1.5,cFX_Loot.Loot_Quest_Small_Depleted,,env_darkness.Core.Core_minor_monolith_gather01,1.5,,,IO_0404_CorruptedNoduleD,true,,,Objects\Crafting\BaseMaterials\BaseSphere.cgf,,1.5,,,,,,,,
0511_PowderkegA,slices\WorldEvents\Reekwater\Interact\PowderkegA\WorldEvent_Object_0511_PowderkegA_Ghost_00.dynamicslice,slices\WorldEvents\Reekwater\Interact\PowderkegA\WorldEvent_Object_0511_Powderkeg_00.dynamicslice,,,0511_PowderkegA,4.5,2.5,10,,,,,cFX_Loot.Loot_Quest_Medium,1,cFX_Loot.Loot_Quest_Medium_Depleted,,,,,,,slices/WorldEvents/Reekwater/Interact/PowderkegA/Enc_WorldEvent_05WC06_PirateWave_00.dynamicslice,IO_0511_PowderkegA,true,,,Objects\Landmarks\Corruption_Core\jav_lm_corruption_core_b.cgf,,,,,,,,,,
0604_CorruptedNoduleA,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Healthy.dynamicslice,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Depleted.dynamicslice,,,0604_CorruptedNoduleA,3,5,10,Gath_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Corruption_Beam_A,Play_Corruption_Beam_A,env_darkness.Core.Core_minor_monolith_idle01,1.5,env_darkness.Core.Core_death01,1.5,cFX_Loot.Loot_Quest_Small_Depleted,,env_darkness.Core.Core_minor_monolith_gather01,1.5,,,IO_0604_CorruptedNoduleA,true,,,Objects\Crafting\BaseMaterials\BaseSphere.cgf,,1.5,,,,,,,,
0604_CorruptedNoduleB,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Healthy.dynamicslice,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Depleted.dynamicslice,,,0604_CorruptedNoduleB,3,5,10,Gath_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Corruption_Beam_A,Play_Corruption_Beam_A,env_darkness.Core.Core_minor_monolith_idle01,1.5,env_darkness.Core.Core_death01,1.5,cFX_Loot.Loot_Quest_Small_Depleted,,env_darkness.Core.Core_minor_monolith_gather01,1.5,,,IO_0604_CorruptedNoduleB,true,,,Objects\Crafting\BaseMaterials\BaseSphere.cgf,,1.5,,,,,,,,
0604_CorruptedNoduleC,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Healthy.dynamicslice,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Depleted.dynamicslice,,,0604_CorruptedNoduleC,3,5,10,Gath_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Corruption_Beam_A,Play_Corruption_Beam_A,env_darkness.Core.Core_minor_monolith_idle01,1.5,env_darkness.Core.Core_death01,1.5,cFX_Loot.Loot_Quest_Small_Depleted,,env_darkness.Core.Core_minor_monolith_gather01,1.5,,,IO_0604_CorruptedNoduleC,true,,,Objects\Crafting\BaseMaterials\BaseSphere.cgf,,1.5,,,,,,,,
0604_CorruptedNoduleD,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Healthy.dynamicslice,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Depleted.dynamicslice,,,0604_CorruptedNoduleD,3,5,10,Gath_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Corruption_Beam_A,Play_Corruption_Beam_A,env_darkness.Core.Core_minor_monolith_idle01,1.5,env_darkness.Core.Core_death01,1.5,cFX_Loot.Loot_Quest_Small_Depleted,,env_darkness.Core.Core_minor_monolith_gather01,1.5,,,IO_0604_CorruptedNoduleD,true,,,Objects\Crafting\BaseMaterials\BaseSphere.cgf,,1.5,,,,,,,,
0804_CorruptedNodule,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Healthy.dynamicslice,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Depleted.dynamicslice,,,0804_CorruptedNodule,3,5,10,,,,,cFX_Loot.Loot_Quest_Small,,env_darkness.Core.Core_death01,,,,,,,,IO_0804_CorruptedNodule,true,,,Objects\Crafting\BaseMaterials\BaseSphere.cgf,,,,,,,,,,
0901_Barley,slices\WorldEvents\FirstLight\Interact\Barley\WorldEvent_Object_0901_Barley_00.dynamicslice,slices\WorldEvents\FirstLight\Interact\Barley\WorldEvent_Object_0901_BarleyPicked_00.dynamicslice,slices\WorldEvents\FirstLight\Interact\Barley\WorldEvent_Object_0901_Barley_00.dynamicslice,,0901_Barley,2.2,2,10,gath_bush_leaves_small,Play_Gather_Bush_Sml,gath_bush_leaves_small,,cFX_Loot.Loot_Quest_Small,1,Gatherable.Edible_Flora.Demolish.Grain_A,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_0901_Barley,true,,,Objects\Landmarks\Corruption_Core\jav_lm_corruption_core_b.cgf,,,,,,,,,,
0904_CorruptedNoduleA,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Healthy.dynamicslice,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Depleted.dynamicslice,,,0904_CorruptedNoduleA,3,5,10,Gath_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Corruption_Beam_A,Play_Corruption_Beam_A,env_darkness.Core.Core_minor_monolith_idle01,1.5,env_darkness.Core.Core_death01,1.5,cFX_Loot.Loot_Quest_Small_Depleted,,env_darkness.Core.Core_minor_monolith_gather01,1.5,,,IO_0904_CorruptedNoduleA,true,,,Objects\Crafting\BaseMaterials\BaseSphere.cgf,,1.5,,,,,,,,
0904_CorruptedNoduleB,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Healthy.dynamicslice,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Depleted.dynamicslice,,,0904_CorruptedNoduleB,3,5,10,Gath_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Corruption_Beam_A,Play_Corruption_Beam_A,env_darkness.Core.Core_minor_monolith_idle01,1.5,env_darkness.Core.Core_death01,1.5,cFX_Loot.Loot_Quest_Small_Depleted,,env_darkness.Core.Core_minor_monolith_gather01,1.5,,,IO_0904_CorruptedNoduleB,true,,,Objects\Crafting\BaseMaterials\BaseSphere.cgf,,1.5,,,,,,,,
