VariantID,Visual_Chest,Visual_Loot,GatherableEntryID,LootTableComponent,GatheringRadius,InteractionRadius,DetectableRadius,DepletedPreload,DepletedSFX,DepletedFX,Idle_VFX,MarkerRadius,Name,LoS_Override,MarkerOffset_Z,InteractTag,DepletedFXOffset_Y,DepletedFXOffset_Z,IdleFXOffset_Y,IdleFXOffset_Z,LootLockSlice
Abandoned_T1_L,slices/POIs/LootContainers/Abandoned_T1_L_chest.dynamicslice,slices/POIs/LootContainers/Abandoned_T1_L_loot.dynamicslice,LootLargeT1,ContainerLootLarge,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration01,Loot.Chest_big_open01,4,@LootContainer_SuppliesLarge_DisplayName,,,,,,,,
Abandoned_T1_M,slices/POIs/LootContainers/Abandoned_T1_M_chest.dynamicslice,slices/POIs/LootContainers/Abandoned_T1_M_loot.dynamicslice,LootMediumT1,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Medium_Celebration01,Loot.Crate_small01,4,@LootContainer_SuppliesMedium_DisplayName,,,,,,,,
Abandoned_T1_S,slices/POIs/LootContainers/Abandoned_T1_S_chest.dynamicslice,slices/POIs/LootContainers/Abandoned_T1_S_loot.dynamicslice,LootMediumT1,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Small_Celebration01,Loot.Crate_xsmall01,4,@LootContainer_SuppliesSmall_DisplayName,,,,,,,,
Abandoned_T2_L,slices/POIs/LootContainers/Abandoned_T2_L_chest.dynamicslice,slices/POIs/LootContainers/Abandoned_T2_L_loot.dynamicslice,LootLargeT2,ContainerLootLarge,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration01,Loot.Chest_big_open01,4,@LootContainer_SuppliesLarge_DisplayName,,,,,,,,
Abandoned_T2_M,slices/POIs/LootContainers/Abandoned_T2_M_chest.dynamicslice,slices/POIs/LootContainers/Abandoned_T2_M_loot.dynamicslice,LootMediumT2,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Medium_Celebration01,Loot.Crate_small01,4,@LootContainer_SuppliesMedium_DisplayName,,,,,,,,
Abandoned_T2_S,slices/POIs/LootContainers/Abandoned_T2_S_chest.dynamicslice,slices/POIs/LootContainers/Abandoned_T2_S_loot.dynamicslice,LootMediumT2,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Small_Celebration01,Loot.Crate_xsmall01,4,@LootContainer_SuppliesSmall_DisplayName,,,,,,,,
Abandoned_T3_L,slices/POIs/LootContainers/Abandoned_T3_L_chest.dynamicslice,slices/POIs/LootContainers/Abandoned_T3_L_loot.dynamicslice,LootLargeT3,ContainerLootLarge,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration01,Loot.Chest_big_open01,4,@LootContainer_SuppliesLarge_DisplayName,,,,,,,,
Abandoned_T3_M,slices/POIs/LootContainers/Abandoned_T3_M_chest.dynamicslice,slices/POIs/LootContainers/Abandoned_T3_M_loot.dynamicslice,LootMediumT3,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Medium_Celebration01,Loot.Crate_small01,4,@LootContainer_SuppliesMedium_DisplayName,,,,,,,,
Abandoned_T3_S,slices/POIs/LootContainers/Abandoned_T3_S_chest.dynamicslice,slices/POIs/LootContainers/Abandoned_T3_S_loot.dynamicslice,LootMediumT3,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Small_Celebration01,Loot.Crate_xsmall01,4,@LootContainer_SuppliesSmall_DisplayName,,,,,,,,
Alchemy_T1_L,slices/POIs/LootContainers/Alchemy_T1_L_chest.dynamicslice,slices/POIs/LootContainers/Alchemy_T1_L_loot.dynamicslice,LootLargeT1,ContainerLootAlchemyLarge,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Big_Celebration02,Loot.Crate_tall01,4,@LootContainer_AlchemyLarge_DisplayName,,,,,,,,
Alchemy_T1_M,slices/POIs/LootContainers/Alchemy_T1_M_chest.dynamicslice,slices/POIs/LootContainers/Alchemy_T1_M_loot.dynamicslice,LootMediumT1,ContainerLootAlchemySmall,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Medium_Celebration01,Loot.Crate_small01,4,@LootContainer_AlchemyMedium_DisplayName,,,,,,,,
Alchemy_T2_L,slices/POIs/LootContainers/Alchemy_T2_L_chest.dynamicslice,slices/POIs/LootContainers/Alchemy_T2_L_loot.dynamicslice,LootLargeT2,ContainerLootAlchemyLarge,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration01,Loot.Chest_big_open01,4,@LootContainer_AlchemyLarge_DisplayName,,,,,,,,
Alchemy_T2_M,slices/POIs/LootContainers/Alchemy_T2_M_chest.dynamicslice,slices/POIs/LootContainers/Alchemy_T2_M_loot.dynamicslice,LootMediumT2,ContainerLootAlchemySmall,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Medium_Celebration01,Loot.Crate_small01,4,@LootContainer_AlchemyMedium_DisplayName,,,,,,,,
Alchemy_T3_L,slices/POIs/LootContainers/Alchemy_T3_L_chest.dynamicslice,slices/POIs/LootContainers/Alchemy_T3_L_loot.dynamicslice,LootLargeT3,ContainerLootAlchemyLarge,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration01,Loot.Chest_big_open01,4,@LootContainer_AlchemyLarge_DisplayName,,,,,,,,
Alchemy_T3_M,slices/POIs/LootContainers/Alchemy_T3_M_chest.dynamicslice,slices/POIs/LootContainers/Alchemy_T3_M_loot.dynamicslice,LootMediumT3,ContainerLootAlchemySmall,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Medium_Celebration01,Loot.Crate_small01,4,@LootContainer_AlchemyMedium_DisplayName,,,,,,,,
