HouseItemID,ExcludeFromGame,PrefabPath,DEV-FurnitureSet,UIHousingCategory,HousingTag1 Placed,HousingTag2,HousingTag3,HousingTag5 Buffs,HousingTags,IsEntitlement,HowToOptain (Primarily),ItemRarity,ForceRarity,RankingPointsDuplicateLimit,RankingPointsNegativeLimit,PointModifier,RankingPoints,MaxPotentialPoints,HousingStatusEffect,StorageBonus,InteractionAnimationID,Name,Description,IconPath,HiResIconPath,Weight,TradingCategory,TradingFamily,TradingGroup,IconCaptureGroup,ItemType,UiItemClass,Tier,IsSalvageable,SalvageResources,IsRepairable,BindOnPickup,CraftingRecipe,RepairRecipe,SalvageRecipe,SalvageGameEventID,RepairDustModifier,ConfirmBeforeUse,ConsumeOnUse,MaxStackSize,DeathDropPercentage,Nonremovable,AudioPickup,AudioPlace,AudioUse,AudioCreated,AudioDestroyed,Notes
DEFAULTS,1,Housing/Items/HousingItemVariant,0-TEST_ONLY-0,,,,,,,,,,0,1,2,0,0.02,0.02,,,,@DEFAULTS_MasterName,@DEFAULTS_Description,,,10,,,,,HousingItem,UI_Furniture,1,true,true,false,true,,,,,0,false,false,1,0,false,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,REQUIRED AT TOP OF DATATABLE
House_HousingItem_Entitlement_Chair_Pirate_LargeTreasurePile,0,Housing/Items/Themes/Pirate/Entitlements/House_Chair_Pirate_LargeTreasurePile,MTX-Pack-01-Pirate,Chairs,OnFloor,+IsChairOther,,,OnFloor+IsChairOther,1,Shop/Gift,Rare,2,1,2,0,0.12,0.12,,,HousingItemSitOnChair,@House_HousingItem_Entitlement_Chair_Pirate_LargeTreasurePile_MasterName,@House_HousingItem_Entitlement_Chair_Pirate_LargeTreasurePile_Description,lyshineui/images/icons/items/HousingItem/House_HousingItem_Entitlement_Chair_Pirate_LargeTreasurePile.png,lyshineui/images/icons/items_hires/House_HousingItem_Entitlement_Chair_Pirate_LargeTreasurePile.png,10,,,,,HousingItem,UI_Furniture,3,false,false,false,true,,,,,0,false,false,1,0,false,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,
House_HousingItem_Entitlement_Lighting_Pirate_BoneChandelier,0,Housing/Items/Themes/Pirate/Entitlements/House_Lighting_Pirate_BoneChandelier,MTX-Pack-01-Pirate,Lighting,OnCeiling,+IsLighting,,,OnCeiling+IsLighting,1,Shop/Gift,Rare,2,2,3,0,0.12,0.24,,,,@House_HousingItem_Entitlement_Lighting_Pirate_BoneChandelier_MasterName,@House_HousingItem_Entitlement_Lighting_Pirate_BoneChandelier_Description,lyshineui/images/icons/items/HousingItem/House_HousingItem_Entitlement_Lighting_Pirate_BoneChandelier.png,lyshineui/images/icons/items_hires/House_HousingItem_Entitlement_Lighting_Pirate_BoneChandelier.png,9,,,,,HousingItem,UI_Furniture,3,false,false,false,true,,,,,0,false,false,2,0,false,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,
House_HousingItem_Entitlement_Lighting_Pirate_SkullTower01,0,Housing/Items/Themes/Pirate/Entitlements/House_Pirate_SkullTower01,MTX-Pack-01-Pirate,Lighting,OnWall,+IsLighting,,,OnWall+IsLighting,1,Shop/Gift,Rare,2,2,3,0,0.12,0.24,,,,@House_HousingItem_Entitlement_Lighting_Pirate_SkullTower01_MasterName,@House_HousingItem_Entitlement_Lighting_Pirate_SkullTower01_Description,lyshineui/images/icons/items/HousingItem/House_HousingItem_Entitlement_Lighting_Pirate_SkullTower01.png,lyshineui/images/icons/items_hires/House_HousingItem_Entitlement_Lighting_Pirate_SkullTower01.png,9,,,,,HousingItem,UI_Furniture,3,false,false,false,true,,,,,0,false,false,2,0,false,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,
House_HousingItem_Entitlement_Lighting_Pirate_SkullTower02,0,Housing/Items/Themes/Pirate/Entitlements/House_Pirate_SkullTower02,MTX-Pack-01-Pirate,Lighting,OnWall,+IsLighting,,,OnWall+IsLighting,1,Shop/Gift,Rare,2,2,3,0,0.12,0.24,,,,@House_HousingItem_Entitlement_Lighting_Pirate_SkullTower02_MasterName,@House_HousingItem_Entitlement_Lighting_Pirate_SkullTower02_Description,lyshineui/images/icons/items/HousingItem/House_HousingItem_Entitlement_Lighting_Pirate_SkullTower02.png,lyshineui/images/icons/items_hires/House_HousingItem_Entitlement_Lighting_Pirate_SkullTower02.png,9,,,,,HousingItem,UI_Furniture,3,false,false,false,true,,,,,0,false,false,2,0,false,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,
House_HousingItem_Entitlement_Pet_Pirate_Bird,0,Housing/Items/Themes/Pirate/Entitlements/House_Pet_Pirate_Bird,MTX-Pack-01-Pirate,Pets,OnFloor,+IsAnimal,+IsAnimated,+NoStacking,OnFloor+IsAnimal+IsAnimated+NoStacking,1,Shop/Gift,Rare,2,1,2,0,0.12,0.12,,,HousingItemFeedBird,@House_HousingItem_Entitlement_Pet_Pirate_Bird_MasterName,@House_HousingItem_Entitlement_Pet_Pirate_Bird_Description,lyshineui/images/icons/items/HousingItem/House_HousingItem_Entitlement_Pet_Pirate_Bird.png,lyshineui/images/icons/items_hires/House_HousingItem_Entitlement_Pet_Pirate_Bird.png,10,,,,,HousingItem,UI_Furniture,3,false,false,false,true,,,,,0,false,false,1,0,false,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,
House_HousingItem_Entitlement_Pirate_Cannon,0,Housing/Items/Themes/Pirate/Entitlements/House_Pirate_Cannon,MTX-Pack-01-Pirate,Misc,OnFloor,+IsLargeDecor,,,OnFloor+IsLargeDecor,1,Shop/Gift,Rare,2,1,2,0,0.12,0.12,,,HousingItemStandingInteract,@House_HousingItem_Entitlement_Pirate_Cannon_MasterName,@House_HousingItem_Entitlement_Pirate_Cannon_Description,lyshineui/images/icons/items/HousingItem/House_HousingItem_Entitlement_Pirate_Cannon.png,lyshineui/images/icons/items_hires/House_HousingItem_Entitlement_Pirate_Cannon.png,10,,,,,HousingItem,UI_Furniture,3,false,false,false,true,,,,,0,false,false,1,0,false,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,
House_HousingItem_Entitlement_Pirate_Deluxe_TreasureMap,0,Housing/Items/Themes/Pirate/Entitlements/House_Pirate_Deluxe_TreasureMap,MTX-Pack-01-Pirate,Decorations,OnFurniture,+IsMediumDecor,,,OnFurniture+IsMediumDecor,1,Shop/Gift,Rare,2,1,2,0,0.12,0.12,,,,@House_HousingItem_Entitlement_Pirate_Deluxe_TreasureMap_MasterName,@House_HousingItem_Entitlement_Pirate_Deluxe_TreasureMap_Description,lyshineui/images/icons/items/HousingItem/House_HousingItem_Entitlement_Pirate_Deluxe_TreasureMap.png,lyshineui/images/icons/items_hires/House_HousingItem_Entitlement_Pirate_Deluxe_TreasureMap.png,10,,,,,HousingItem,UI_Furniture,3,false,false,false,true,,,,,0,false,false,1,0,false,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,
House_HousingItem_Entitlement_Pirate_FancyVase,0,Housing/Items/Themes/Pirate/Entitlements/House_Pirate_FancyVase,MTX-Pack-01-Pirate,Decorations,OnFloor,+IsMediumDecor,,,OnFloor+IsMediumDecor,1,Shop/Gift,Rare,2,4,5,0,0.11,0.44,,,,@House_HousingItem_Entitlement_Pirate_FancyVase_MasterName,@House_HousingItem_Entitlement_Pirate_FancyVase_Description,lyshineui/images/icons/items/HousingItem/House_HousingItem_Entitlement_Pirate_FancyVase.png,lyshineui/images/icons/items_hires/House_HousingItem_Entitlement_Pirate_FancyVase.png,7,,,,,HousingItem,UI_Furniture,3,false,false,false,true,,,,,0,false,false,4,0,false,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,
House_HousingItem_Entitlement_Pirate_Mermaid_Painting,0,Housing/Items/Themes/Pirate/Entitlements/House_Pirate_MermaidPainting,MTX-Pack-01-Pirate,Decorations,OnWall,+IsPainting,,,OnWall+IsPainting,1,Shop/Gift,Rare,2,1,2,0,0.12,0.12,,,,@House_HousingItem_Entitlement_Pirate_Mermaid_Painting_MasterName,@House_HousingItem_Entitlement_Pirate_Mermaid_Painting_Description,lyshineui/images/icons/items/HousingItem/House_HousingItem_Entitlement_Pirate_Mermaid_Painting.png,lyshineui/images/icons/items_hires/House_HousingItem_Entitlement_Pirate_Mermaid_Painting.png,10,,,,,HousingItem,UI_Furniture,3,false,false,false,true,,,,,0,false,false,1,0,false,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,
House_HousingItem_Entitlement_Pirate_SmallTreasurePile,0,Housing/Items/Themes/Pirate/Entitlements/House_Pirate_Tabletop_Treasure,MTX-Pack-01-Pirate,Decorations,OnFurniture,+IsSmallDecor,,,OnFurniture+IsSmallDecor,1,Shop/Gift,Rare,2,1,2,0,0.12,0.12,,,,@House_HousingItem_Entitlement_Pirate_SmallTreasurePile_MasterName,@House_HousingItem_Entitlement_Pirate_SmallTreasurePile_Description,lyshineui/images/icons/items/HousingItem/House_HousingItem_Entitlement_Pirate_SmallTreasurePile.png,lyshineui/images/icons/items_hires/House_HousingItem_Entitlement_Pirate_SmallTreasurePile.png,10,,,,,HousingItem,UI_Furniture,3,false,false,false,true,,,,,0,false,false,1,0,false,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,
House_HousingItem_Entitlement_Pirate_SteeringWheel,0,Housing/Items/Themes/Pirate/Entitlements/House_Pirate_Golden_Ship_Wheel,MTX-Pack-01-Pirate,Misc,OnFloor,+IsLargeDecor,,,OnFloor+IsLargeDecor,1,Shop/Gift,Rare,2,1,2,0,0.12,0.12,,,,@House_HousingItem_Entitlement_Pirate_SteeringWheel_MasterName,@House_HousingItem_Entitlement_Pirate_SteeringWheel_Description,lyshineui/images/icons/items/HousingItem/House_HousingItem_Entitlement_Pirate_SteeringWheel.png,lyshineui/images/icons/items_hires/House_HousingItem_Entitlement_Pirate_SteeringWheel.png,10,,,,,HousingItem,UI_Furniture,3,false,false,false,true,,,,,0,false,false,1,0,false,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,
