UniqueTagID,FragmentName,DisplayName,DisplayDescription,DisplayGroup,ChatBoxText,SlashCommand,SecondarySlashCommand,IsEntitlement,IsPremiumEmote,IsEnabled,HasCooldown,DisplayPriority,UiImage,UiImageHiRes
Emote_Sit,Emote_Sit,ui_emote_sit,ui_emote_sit_description,Default,@emote_sit,sit,,0,0,1,0,1,emote_Sit,
Emote_Flex1,Emote_Flex1,ui_emote_flex,ui_emote_flex_description,Default,@emote_flex1,,,0,0,0,0,1,emote_Flex,
Emote_Flex2,Emote_Flex2,ui_emote_flex2,ui_emote_flex2_description,Default,@emote_flex2,flex,,0,0,1,0,1,emote_Flex2,
Emote_LoudPoint,Emote_LoudPoint,ui_emote_go,ui_emote_go_description,Default,@emote_loudpoint,go,point,0,0,1,0,1,emote_Go,
Emote_OverHere,Emote_OverHere,ui_emote_here,ui_emote_here_description,Default,@emote_overhere,here,come,0,0,1,0,1,emote_Here,
Emote_Wave,Emote_Wave,ui_emote_wave,ui_emote_wave_description,Default,@emote_wave,wave,,0,0,1,0,1,emote_Wave,
Emote_NoDeal,Emote_NoDeal,ui_emote_nono,ui_emote_nono_description,Default,@emote_nodeal,no,notlikethis,0,0,1,0,1,emote_No,
Emote_Cheer,Emote_Cheer,ui_emote_cheer,ui_emote_cheer_description,Default,@emote_cheer,cheer,,0,0,1,0,1,emote_Cheer,
Emote_DiceRoll,Emote_DiceRoll,ui_emote_Dice,ui_emote_Dice_description,Default,@emote_diceroll,dice,roll,0,0,1,0,1,emote_DiceRoll,
Emote_2ThumbsUp,Emote_2ThumbsUp,ui_emote_thumbs,ui_emote_thumbs_description,Default,@emote_2thumbsup,thumbs,gg,0,0,1,0,1,emote_Thumbs,
Emote_IrishDance,Emote_IrishDance,ui_emote_dance1,ui_emote_dance1_description,Default,@emote_dance1,dance,,0,0,1,0,1,emote_Dance01,
Emote_ThroatSlit,Emote_ThroatSlit,ui_emote_kill,ui_emote_kill_description,Default,@emote_throatslit,kill,threaten,1,0,1,0,2,emote_ThroatSlit,
Emote_Bow,Emote_Bow,ui_emote_Bow,ui_emote_Bow_description,Friendly,@emote_bow,bow,,1,0,1,0,1,emote_Bow,
Emote_EyesOnYou,Emote_EyesOnYou,ui_emote_Watching,ui_emote_Watching_description,Taunt,@emote_eyesonyou,watching,,1,0,1,0,1,emote_EyesOnYou,
Emote_FingerWag,Emote_FingerWag,ui_emote_FingerWag,ui_emote_FingerWag_description,Answer,@emote_fingerwag,nope,stop,1,0,1,0,1,emote_FingerWag,
Emote_RockPaperScissors,Emote_RockPaperScissors,ui_emote_RockPaperScissors,ui_emote_RockPaperScissors_description,Other,@emote_rockpaperscissors,rockpaperscissors,,1,0,1,0,1,emote_Scissors,
Emote_FistBump,Emote_FistBump,ui_emote_FistBump,ui_emote_FistBump_description,Default,@emote_fistbump,fistbump,,1,0,1,0,2,emote_FistBump,
Emote_Whistle,Emote_Whistle,ui_emote_Whistle,ui_emote_Whistle_description,Friendly,@emote_whistle,whistle,,1,0,1,0,1,,
Emote_ThumbsSide,Emote_ThumbsSide,ui_emote_Thumbs_Sideways,ui_emote_Thumbs_Sideways_description,Decisions,@emote_thumbsside,undecided,,1,0,1,0,1,emote_ThumbsSide,
Emote_ThumbsUp,Emote_ThumbsUp,ui_emote_Thumbs_Up,ui_emote_Thumbs_Up_description,Decisions,@emote_thumbsup,thumbsup,,1,0,1,0,1,emote_ThumbsUp,
Emote_ThumbsDown,Emote_ThumbsDown,ui_emote_Thumbs_Down,ui_emote_Thumbs_Down_description,Decisions,@emote_thumbsdown,thumbsdown,,1,0,1,0,1,emote_ThumbsDown,
Emote_Impatient,Emote_Impatient,ui_emote_Impatient,ui_emote_Impatient_description,Direction,@emote_impatient,waiting,wait,1,0,1,0,1,emote_Impatient,
Emote_CoinToss,Emote_CoinToss,ui_emote_Coin_Toss,ui_emote_Coin_Toss_description,Decisions,@emote_cointoss,cointoss,coinflip,1,0,1,0,1,emote_CoinToss,
Emote_Flex3,Emote_Flex3,ui_emote_Flex_3,ui_emote_Flex_3_description,Other,@emote_flex3,armflex,,1,0,1,0,1,emote_Flex3,
Emote_GolfClap,Emote_GolfClap,ui_emote_Golf_Clap,ui_emote_Golf_Clap_description,Friendly,@emote_golfclap,golfclap,,1,0,1,0,1,emote_GolfClap,
Emote_BlowKiss,Emote_BlowKiss,ui_emote_BlowKiss,ui_emote_BlowKiss_description,Friendly,@emote_blowkiss,kiss,,1,0,1,0,1,emote_BlowKiss,
Emote_PiratePose,Emote_PiratePose,ui_emote_PiratePose,ui_emote_PiratePose_description,Friendly,@emote_ahoy,ahoy,,1,0,1,0,1,emote_PiratePose,
