TaskID,Type,FailOnCondition,ResetOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,ShouldCheckPoints,LootTag,PauseAndClearLootOnTaskComplete,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,OverrideLocation,IsHidden,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
M_task_transport_item_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M_task_transport_item_container_first,M_ReturnToGiver,,,
M_task_transport_item_container_first,SimpleTaskContainer,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,M_task_give_transport_item,M_task_have_transport_item,M_task_courier_timer_Xs,,
M_task_have_transport_item,TaskHaveAndReturnItems,,,1,1,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,1,,@objective_mission_task_transport_item,,,,,,,,,,,,
M_task_give_transport_item,TaskGiveAndTakeItem,,,1,1,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,
M_task_courier_timer_Xs,TaskTimer,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,@ui_wartime_remaining,,1,,,,,,,,,,
M_task_kill_X_enemies_container_location,ConsecutiveTaskContainer,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M_task_kill_X_enemies_at_mission_location,M_ReturnToGiver,,,
M_task_kill_X_enemies_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M_task_kill_X_enemies,M_ReturnToGiver,,,
M_task_kill_X_enemies_container_first,SimpleTaskContainer,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
M_task_kill_X_enemies,TaskKillContribution,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_kill_X_enemies,,,,,,,,,,,,
M_task_acquire_X_items_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M_task_have_X_items,M_ReturnToGiver,,,
M_task_acquire_X_items_container_first,SimpleTaskContainer,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
M_task_have_X_items,TaskHaveAndReturnItems,,,1,1,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,1,,@objective_mission_task_have_X_items,,,,,,,,,,,,
M_task_craft_workorder_items_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M_task_give_workorder_item,M_task_have_crafted_workorder_item,M_ReturnToGiver,,
M_task_craft_workorder_items_container_first,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
M_task_give_workorder_item,TaskGiveItem,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
M_task_have_crafted_workorder_item,TaskHaveAndReturnItems,,,1,1,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,1,,@objective_mission_task_craft_workorder_item,,,,,,,,,,,,
M_task_community_goal_prototype,TaskGameEvent,,,,10,,,,,,,,,,,,,,,,,,,Mission_Success_Procurer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
darkness_task_major_corrupted_portal_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,darkness_task_major_corrupted_portal_container_first,,,,
darkness_task_major_corrupted_portal_container_first,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_darkness_task_major_corrupted_portal_container_desc,,,,,,,,darkness_task_complete_waves,darkness_task_kill_enemies,darkness_task_kill_enemies,darkness_task_kill_enemies,
darkness_task_complete_waves,TaskDarknessWaves,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_darkness_task_complete_waves_desc,,,,,,,,,,,,
darkness_task_kill_enemies,TaskDarknessKill,,,,10,,,,,,,,,,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,@objective_darkness_task_kill_enemies_desc,,,,,,,,,,,,
M_task_die,TaskDie,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_task_survive,,1,,,,,,,,,,
M_task_die_reset,TaskDie,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_task_survive,,1,,,,,,,,,,
M_task_acquire_X_items_POITag_container,ConsecutiveTaskContainer,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_story_task_search_containers,,,,,,,,M_task_acquire_X_items_at_mission_location,M_ReturnToGiver,,,
M_task_acquire_X_items_POITag_container_first,SimpleTaskContainer,,,1,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_story_task_search_containers,,,,,,,,,,,,
M_task_acquire_X_items_POITag_territory_container,ConsecutiveTaskContainer,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_have_X_items_goto_territoryID_POITag,,,,,,,,M_task_goto_territoryID_POITag,M_task_acquire_X_items_at_mission_location,M_ReturnToGiver,,
M_task_acquire_X_items_POITag_territory_container_first,SimpleTaskContainer,,,1,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_have_X_items_goto_territoryID_POITag,,,,,,,,,,,,
M_task_acquire_X_items_territory_container,ConsecutiveTaskContainer,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_have_X_items_goto_territoryID,,,,,,,,M_task_goto_territoryID,M_task_acquire_X_items_at_mission_location,M_ReturnToGiver,,
M_task_acquire_X_items_territory_container_first,SimpleTaskContainer,,,1,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_have_X_items_goto_territoryID,,,,,,,,,,,,
M_task_aquire_X_items_kill_X_enemies_container,ConsecutiveTaskContainer,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_kill_X_enemies_have_X_items,,,,,,,,M_task_kill_acquire_X_items_at_mission_location,M_ReturnToGiver,,,
M_task_aquire_X_items_kill_X_enemies_container_first,SimpleTaskContainer,,,1,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_kill_X_enemies_have_X_items,,,,,,,,,,,,
