TerritoryID,NameLocalizationKey,BaseStructureLimit,MaxStructureLimit,TerritoryScore,IsPOI,MapIcon,CompassIcon,DiscoveryRadius,IsDiscoverable,IsChartable,DefaultAchievement,OutpostId,Debug,LootTags,DiscoveredAchievement,ChartedAchievement,POITag,AudioGroup,AudioState,AudioBank,CanPlaceCamp,DevName,VitalsCategory,LevelRange,Containers,TooltipBackground,GameMode,UnchartedIcon,EventId,RecommendedLevel,GroupSize
40001,@ui_poi_abandoned_village_40001,,,,true,,,150,true,true,,,,,abandoned_village_40001_discovered,abandoned_village_40001_charted,abandoned_village_40001,POI_State,farm,farm,false,Campbell's Rest,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_farm.png,,,,,
40002,@ui_poi_abandoned_village_40002,,,,true,,,150,true,true,,,,,abandoned_village_40002_discovered,abandoned_village_40002_charted,abandoned_village_40002,POI_State,farm,farm,false,Dayspring Mills,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_windmill.png,,,,,
40003,@ui_poi_shipwreck_40003,,,,true,,,150,true,true,,,,,shipwreck_40003_discovered,shipwreck_40003_charted,shipwreck_40003,POI_State,shipwreck,shipwreck,false,Standing Shallows,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_shipwreck.png,,,,,
40004,@ui_poi_shipwreck_40004,,,,true,,,150,true,true,,,,,shipwreck_40004_discovered,shipwreck_40004_charted,shipwreck_40004,POI_State,shipwreck,shipwreck,false,Sal's Schooner,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_territory9.png,,,,,
40005,@ui_poi_shipwreck_40005,,,,true,,,150,true,true,,,,,shipwreck_40005_discovered,shipwreck_40005_charted,shipwreck_40005,POI_State,shipwreck,shipwreck,false,Kain's Knot,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_territory9.png,,,,,
40006,@ui_poi_shipwreck_40006,,,,true,,,150,true,true,,,,,shipwreck_40006_discovered,shipwreck_40006_charted,shipwreck_40006,POI_State,shipwreck,shipwreck,false,Blithe's Blunder,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_territory9.png,,,,,
40007,@ui_poi_shipwreck_40007,,,,true,,,150,true,true,,,,,shipwreck_40007_discovered,shipwreck_40007_charted,shipwreck_40007,POI_State,shipwreck,shipwreck,false,Ducan's Docket,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_territory9.png,,,,,
40008,@ui_poi_ancient_lighthouse_40008,,,,true,,,360,true,true,,,,,ancient_lighthouse_40008_discovered,ancient_lighthouse_40008_charted,ancient_lighthouse_40008,POI_State,ancient_lighthouse,ancient_lighthouse,false,Elafry Pyrgo,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,
40009,@ui_poi_ancient_lookout_40009,,,,true,,,150,true,true,,,,,ancient_lookout_40009_discovered,ancient_lookout_40009_charted,ancient_lookout_40009,POI_State,lookout,lookout,false,Pyrgos Nao,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,
40010,@ui_poi_wolf_den_40010,,,,true,,,100,true,true,,,,,wolf_den_40010_discovered,wolf_den_40010_charted,wolf_den_40010,POI_State,wolf_den,wolf_den,false,Howling Falls,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_wolfDen.png,,,,,
40011,@ui_poi_wolf_den_40011,,,,true,,,150,true,true,,,,,wolf_den_40011_discovered,wolf_den_40011_charted,wolf_den_40011,POI_State,wolf_den,wolf_den,false,Greymane Burrow,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_wolfDen.png,,,,,
40012,@ui_poi_haunted_village_40012,,,,true,,,150,true,true,,,,,haunted_village_40012_discovered,haunted_village_40012_charted,haunted_village_40012,POI_State,haunted_village,haunted_village,false,Sleepy Tallow,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_poi_graveyard.png,,,,,
40013,@ui_poi_corrupted_camp_40013,,,,true,,,150,true,true,,,,,corrupted_camp_40013_discovered,corrupted_camp_40013_charted,corrupted_camp_40013,POI_State,corrupted_camp,,false,Hilltop Encampment,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_station_cooking.png,,,,,
40014,@ui_poi_corrupted_mine_40014,,,,true,,,150,true,true,,,,,corrupted_mine_40014_discovered,corrupted_mine_40014_charted,corrupted_mine_40014,POI_State,mine,,false,Letum's Pick,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_mine.png,,,,,
40015,@ui_poi_abandoned_village_40015,,,,true,,,150,true,true,,,,,abandoned_village_40015_discovered,abandoned_village_40015_charted,abandoned_village_40015,POI_State,fishing_village,,false,Hatchburg Fishery,,,,/LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_1.png,,,,,
40016,@ui_poi_pirate_town_40016,,,,true,,,150,true,true,,,,,pirate_town_40016_discovered,pirate_town_40016_charted,pirate_town_40016,POI_State,pirate_fort,,false,Nyhart's Anchorage,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_shipwreck.png,,,,,
40017,@ui_poi_pirate_fort_40017,,,,true,,,150,true,true,,,,,pirate_fort_40017_discovered,pirate_fort_40017_charted,pirate_fort_40017,POI_State,pirate_fort,,false,Coffman's Redoubt,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_shipwreck.png,,,,,
40018,@ui_poi_shipwreck_40018,,,,true,,,150,true,true,,,,,shipwreck_40018_discovered,shipwreck_40018_charted,shipwreck_40018,POI_State,shipwreck,Shipwreck,false,Renovatio,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_shipwreck.png,,,,,
40019,@ui_poi_ancient_bridge_40019,,,,true,,,150,true,true,,,,,ancient_bridge_40019_discovered,ancient_bridge_40019_charted,ancient_bridge_40019,POI_State,ancient_ruins,,false,Saircor Bridge,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,
40020,@ui_poi_ancient_ruins_40020,,,,true,,,150,true,true,,,,,ancient_ruins_40020_discovered,ancient_ruins_40020_charted,ancient_ruins_40020,POI_State,ancient_ruins,,false,Saircor,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,
40021,@ui_poi_drowned_cave_40021,,,,true,,,150,true,true,,,,,drowned_cave_40021_discovered,drowned_cave_40021_charted,drowned_cave_40021,POI_State,cave,TropicalCave,false,Mutineer's Grotto,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_shipwreck.png,,,,,
40022,@ui_poi_drowned_cave_40022,,,,true,,,150,true,true,,,,,drowned_cave_40022_discovered,drowned_cave_40022_charted,drowned_cave_40022,POI_State,cave,TropicalCave,false,Tideswallow,,,,LyShineUI/Images/Map/tooltipImages/POI/mapTooltip_darkness_minor_hive.png,,,,,
40023,@ui_poi_wolf_den_40023,,,,true,,,150,true,true,,,,,wolf_den_40023_discovered,wolf_den_40023_charted,wolf_den_40023,POI_State,wolf_den,,false,Fullmoon Den,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_wolfDen.png,,,,,
40024,@ui_poi_abandoned_fishing_village_40024,,,,true,,,150,true,true,,,,,abandoned_fishing_village_40024_discovered,abandoned_fishing_village_40024_charted,abandoned_fishing_village_40024,POI_State,fishing_village,,false,Forellac,,,,/LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_1.png,,,,,
