TerritoryID,NameLocalizationKey,BaseStructureLimit,MaxStructureLimit,TerritoryScore,IsPOI,MapIcon,CompassIcon,DiscoveryRadius,IsDiscoverable,IsChartable,DefaultAchievement,OutpostId,Debug,LootTags,DiscoveredAchievement,ChartedAchievement,POITag,AudioGroup,AudioState,AudioBank,CanPlaceCamp,DevName,VitalsCategory,LevelRange,Containers,TooltipBackground,GameMode,UnchartedIcon,GroupSize,RecommendedLevel,EventId
20301,@ui_poi_front_lines_20301,,,,true,LyShineUI\Images\Map\Icon\POIs\brimstone\brimstone_legion_hq.png,,275,true,true,,,,Frontlines,front_lines_20301_discovered,front_lines_20301_charted,front_lines_20301,POI_State,corrupted_fort,,false,The Frontlines,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_legionfort.png,,,,,
20302,@ui_poi_legion_siege_camp_20302,,,,true,LyShineUI\Images\Map\Icon\POIs\brimstone\brimstone_legion_hq.png,,275,true,true,,,,Pontem,legion_siege_camp_20302_discovered,legion_siege_camp_20302_charted,legion_siege_camp_20302,POI_State,corrupted_fort,,false,Castrum Pontem,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_legionfort.png,,,,,
20303,@ui_poi_legion_hq_20303,,,,true,LyShineUI\Images\Map\Icon\POIs\damnedcapitalcity_elite.png,,275,true,true,,,,"LegionHQ,Corrupted",legion_hq_20303_discovered,legion_hq_20303_charted,"legion_hq_20303,elite",POI_State,corrupted_fort,,false,Castrum Principium,,,,LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_Elite_CastrumPrincipium.png,,,3,66,
20304,@ui_poi_legion_barracks_20304,,,,true,LyShineUI\Images\Map\Icon\POIs\brimstone\brimstone_legion_hq.png,,275,true,true,,,,Kerberos,legion_barracks_20304_discovered,legion_barracks_20304_charted,legion_barracks_20304,POI_State,corrupted_fort,,false,Castrum Strigae,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_legionfort.png,,,,,
20305,@ui_poi_legion_supply_train_20305,,,,true,LyShineUI\Images\Map\Icon\POIs\brimstone\brimstone_legion_hq.png,,275,true,true,,,,Victualis,legion_supply_train_20305_discovered,legion_supply_train_20305_charted,legion_supply_train_20305,POI_State,corrupted_fort,,false,Castrum Victualis,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_legionfort.png,,,,,
20306,@ui_poi_questgiver_20306,,,,true,LyShineUI\Images\Map\Icon\POIs\brimstone\brimstone_roman_temple.png,,60,true,true,,,,,questgiver_20306_discovered,questgiver_20306_charted,questgiver_20306,POI_State,camp,,false,,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_station_cooking.png,,,,,
20307,@ui_poi_sulfurpool_20307,,,,true,LyShineUI\Images\Map\Icon\POIs\sulfer_pools.png,,275,true,true,,,,,sulfurpool_20307_discovered,sulfurpool_20307_charted,sulfurpool_20307,POI_State,camp,,false,Brimstone Pools,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_sulfurpools.png,,,,,
20308,@ui_poi_legion_fort_20308,,,,true,LyShineUI\Images\Map\Icon\POIs\brimstone\brimstone_legion_hq.png,,275,true,true,,,,Inferos,legion_fort_20308_discovered,legion_fort_20308_charted,legion_fort_20308,POI_State,corrupted_fort,,false,Castrum Inferos,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_legionfort.png,,,,,
20310,@ui_poi_alligator_lagoon_20310,,,,true,LyShineUI\Images\Map\Icon\POIs\desert_oasis.png,,275,true,true,,,,Wadi,alligator_lagoon_20310_discovered,alligator_lagoon_20310_charted,alligator_lagoon_20310,POI_State,wolf_den,,false,Wadi el Sobek,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_oasis.png,,,,,
20311,@ui_poi_beast_den_20311,,,,true,LyShineUI\Images\Map\Icon\POIs\wolf_den.png,,120,true,true,,,,,beast_den_20311_discovered,beast_den_20311_charted,beast_den_20311,POI_State,wolf_den,,false,Jackal Den,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_desert_generic.png,,,,,
20312,@ui_poi_spiritshrine_20312,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,,150,false,true,1,,,,,spiritshrine_20312_charted,spiritshrine_20312,POI_State,watchtower,,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/POI/brimstone_sands/mapTooltip_spiritshrine_desert.png,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,,,
20313,@ui_poi_fish_hotspot_broad,,,,true,LyShineUI/Images/Map/Icon/POIs/fish_hotspot1.png,,60,false,true,,,,,,fish_hotspot_20313_charted,FishingHotspot,POI_State,camp,,false,Fishing Hotspot,,,,/LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_1.png,,,,,
20314,@ui_poi_fish_hotspot_secret,,,,true,LyShineUI/Images/Map/Icon/POIs/fish_hotspot3.png,,60,false,true,,,,,,fish_hotspot_20314_charted,FishingHotspot,POI_State,camp,,false,Fishing Hotspot,,,,/LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_3.png,,,,,
20315,@ui_poi_sulfurpool_20315,,,,true,LyShineUI\Images\Map\Icon\POIs\sulfer_pools.png,,275,true,true,,,,,sulfurpool_20315_discovered,sulfurpool_20315_charted,sulfurpool_20315,POI_State,camp,,false,Sulfur Pools,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_sulfurpools.png,,,,,
20316,@ui_poi_legion_warcamp_20316,,,,true,LyShineUI\Images\Map\Icon\POIs\military_camp.png,,275,true,true,,,,,legion_warcamp_20316_discovered,legion_warcamp_20316_charted,legion_warcamp_20316,POI_State,corrupted_fort,,false,Drusilla's Warcamp,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_legionfort.png,,,,,
