TerritoryID,NameLocalizationKey,BaseStructureLimit,MaxStructureLimit,TerritoryScore,IsPOI,MapIcon,CompassIcon,DiscoveryRadius,IsDiscoverable,IsChartable,DefaultAchievement,OutpostId,Debug,LootTags,DiscoveredAchievement,ChartedAchievement,POITag,AudioGroup,AudioState,CanPlaceCamp,DevName,VitalsCategory,LevelRange,Containers,TooltipBackground,GameMode,GroupSize,RecommendedLevel,UnchartedIcon,EventId
40401,@ui_poi_corrupted_fort_weaving_01_40401,,,,true,LyShineUI/Images/Map/Icon/POIs/Fort.png,,200,true,true,,,,,corrupted_fort_weaving_01_40401_discovered,corrupted_fort_weaving_01_40401_charted,corrupted_fort_weaving_01_40401,Music_POI,corrupted_fort,false,Iratus,Corrupted,31-55,8,LyShineUI/Images/Map/tooltipImages/mapTooltip_fortress11.png,,,,,
40402,@ui_poi_corrupted_fort_tannery_01_40402,,,,true,LyShineUI/Images/Map/Icon/POIs/Fort.png,,200,true,true,,,,,corrupted_fort_tannery_01_40402_discovered,corrupted_fort_tannery_01_40402_charted,corrupted_fort_tannery_01_40402,Music_POI,corrupted_fort,false,Odium,Corrupted,31-55,8,LyShineUI/Images/Map/tooltipImages/mapTooltip_fortress8.png,,,,,
40403,@ui_poi_corrupted_fort_alchemy_01_40403,,,,true,LyShineUI/Images/Map/Icon/POIs/Fort.png,,200,true,true,,,,,corrupted_fort_alchemy_01_40403_discovered,corrupted_fort_alchemy_01_40403_charted,corrupted_fort_alchemy_01_40403,Music_POI,corrupted_fort,false,Vehemence,Corrupted,31-55,8,LyShineUI/Images/Map/tooltipImages/mapTooltip_fortress5.png,,,,,
40404,@ui_poi_corrupted_fort_provisioning_01_40404,,,,true,LyShineUI/Images/Map/Icon/POIs/Fort.png,,200,true,true,,,,,corrupted_fort_provisioning_01_40404_discovered,corrupted_fort_provisioning_01_40404_charted,corrupted_fort_provisioning_01_40404,Music_POI,corrupted_fort,false,Lapsus,Corrupted,31-55,8,LyShineUI/Images/Map/tooltipImages/mapTooltip_fortress15.png,,,,,
40405,@ui_poi_military_camp_40405,,,,true,LyShineUI/Images/Map/Icon/POIs/military_camp_elite.png,,375,true,true,,,,"LowerSvikin,Corrupted",military_camp_40405_discovered,military_camp_40405_charted,"military_camp_40405,elite",Music_POI,damned,false,Svikin's Stand,Corrupted,25-55,11,LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_Elite_SvikinsStand.png,,3,,,
40406,@ui_poi_outpost_44_1_40406,,,,true,LyShineUI/Images/Map/Icon/POIs/outpost.png,LyShineUI/Images/Map/Icon/POIs/outpost_compass.png,100,true,true,2,2bc8ba75-c322-1c74-177a-4824d5f6a62c,,,,,outpost_44_1,Music_POI,outpost,false,Mountainhome,,0,0,,,,,,
40407,@ui_poi_myrkgardwest_40407,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_shrine_elite.png,,375,true,true,,,,"MyrkgardWest,Corrupted",myrkgardwest_40407_discovered,myrkgardwest_40407_charted,"myrkgardwest,elite",Music_POI,damned,false,Greater Tribulation,Corrupted,31-65,41,LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_Elite_GreaterTribulation.png,,3,,,
40408,@ui_poi_damnedfortress_40408,,,,true,LyShineUI/Images/Map/Icon/POIs/abandonedcity_elite.png,,600,true,true,,,,"UpperSvikin,Corrupted",damnedfortress_40408_discovered,damnedfortress_40408_charted,"damnedfortress,elite",Music_POI,damned,false,Caminus,Corrupted,33-55,30,LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_Elite_Caminus.png,,3,,,
40409,@ui_poi_myrkgardsouth_40409,,,,true,LyShineUI/Images/Map/Icon/POIs/outpost_elite.png,,375,true,true,,,,"MyrkgardSouth,Corrupted",myrkgardsouth_40409_discovered,myrkgardsouth_40409_charted,"myrkgardsouth,elite",Music_POI,damned,false,The Tangle,Corrupted,,,LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_Elite_TheTangle.png,,3,,,
40410,@ui_poi_myrkgardeast_40410,,,,true,LyShineUI/Images/Map/Icon/POIs/damnedcapitalcity_elite.png,,375,true,true,,,,"MyrkgardEast,Corrupted",myrkgardeast_40410_discovered,myrkgardeast_40410_charted,"myrkgardeast,elite",Music_POI,damned,false,Opulence,Corrupted,,,LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_Elite_Opulence.png,,3,,,
