TerritoryID,NameLocalizationKey,BaseStructureLimit,MaxStructureLimit,TerritoryScore,IsPOI,MapIcon,CompassIcon,DiscoveryRadius,IsDiscoverable,IsChartable,DefaultAchievement,OutpostId,Debug,LootTags,DiscoveredAchievement,ChartedAchievement,POITag,AudioGroup,AudioState,AudioBank,CanPlaceCamp,DevName,VitalsCategory,LevelRange,Containers,TooltipBackground,GameMode,GroupSize,IsCollapsible,UnchartedIcon,EventId
30013,@ui_poi_ancient_bridge_30013,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_temple_sm.png,,275,true,true,,,,,ancient_bridge_30013_discovered,ancient_bridge_30013_charted,ancient_bridge_30013,POI_State,ancient_ruins,,false,Gefyra Bridge,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,
30011,@ui_poi_ancient_ruins_30011,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_ruins.png,,275,true,true,,,,,ancient_ruins_30011_discovered,ancient_ruins_30011_charted,ancient_ruins_30011,POI_State,ancient_ruins,,false,Spiti Ruins,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,
30012,@ui_poi_ancient_ruins_30012,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_ruins.png,,275,true,true,,,,,ancient_ruins_30012_discovered,ancient_ruins_30012_charted,ancient_ruins_30012,POI_State,ancient_ruins,,false,Yafda Steps,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,
30014,@ui_poi_ancient_tower_30014,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_watchtower.png,,275,true,true,,,,,ancient_tower_30014_discovered,ancient_tower_30014_charted,ancient_tower_30014,POI_State,ancient_tower,,false,Malocchio,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,
30005,@ui_poi_bear_den_30005,,,,true,LyShineUI/Images/Map/Icon/POIs/Cave.png,,275,true,true,,,,,bear_den_30005_discovered,bear_den_30005_charted,bear_den_30005,POI_State,bear_den,,false,Highpass Cavern,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_station_masonry.png,,,,,
30024,@ui_poi_brute_island_30024,,,,true,LyShineUI/Images/Map/Icon/POIs/hero_shipwreck.png,,275,true,true,,,,,brute_island_30024_discovered,brute_island_30024_charted,brute_island_30024,POI_State,brute_island,,false,Unbounded island,,,,LyShineUI/Images/Map/tooltipImages/POI/mapTooltip_poi_unboundedisland.png,,,,,
30004,@ui_poi_cave_30004,,,,true,LyShineUI/Images/Map/Icon/POIs/Cave.png,,275,true,true,,,,,cave_30004_discovered,cave_30004_charted,cave_30004,POI_State,cave,TropicalCave,false,Castaway's Colony,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_poi_graveyard.png,,,,,
30008,@ui_poi_cave_30008,,,,true,LyShineUI/Images/Map/Icon/POIs/Cave.png,,275,true,true,,,,,cave_30008_discovered,cave_30008_charted,cave_30008,POI_State,cave,TropicalCave,false,Rothoard Hollow,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_outpostRush_gate.png,,,,,
30010,@ui_poi_corrupted_camp_30010,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_campsite.png,,275,true,true,,,,,corrupted_camp_30010_discovered,corrupted_camp_30010_charted,corrupted_camp_30010,POI_State,corrupted_camp,,false,Highpass Mining Camp,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_station_smelting.png,,,,,
30019,@ui_poi_corrupted_camp_30019,,,,true,LyShineUI/Images/Map/Icon/POIs/military_camp.png,,275,true,true,,,,,corrupted_camp_30019_discovered,corrupted_camp_30019_charted,corrupted_camp_30019,POI_State,corrupted_camp,,false,Rusty Spoon Camp,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_station_cooking.png,,,,,
