TerritoryID,NameLocalizationKey,IsPOI,MapIcon,CompassIcon,TooltipBackground,GroupSize,POILevel,POITag,RequiredItemId,RecommendedLevel,PulseColor
8001,@ui_minor_monolith,true,LyShineUI/Images/map/Icon/POIs/damned_compass.png,LyShineUI/Images/map/Icon/POIs/damned_compass.png,LyShineUI/Images/map/tooltipImages/POI/mapTooltip_darkness_minor_monolith.png,0,0,Darkness,Darkness_AzothStaff_T1,,1 0 0
8002,@ui_minor_grove,true,LyShineUI/Images/map/Icon/POIs/damned_compass.png,LyShineUI/Images/map/Icon/POIs/damned_compass.png,LyShineUI/Images/map/tooltipImages/POI/mapTooltip_darkness_minor_grove.png,0,0,Darkness,Darkness_AzothStaff_T1,,1 0 0
8003,@ui_minor_ritual,true,LyShineUI/Images/map/Icon/POIs/damned_compass.png,LyShineUI/Images/map/Icon/POIs/damned_compass.png,LyShineUI/Images/map/tooltipImages/POI/mapTooltip_darkness_minor_monolith.png,0,0,Darkness,Darkness_AzothStaff_T1,,1 0 0
8004,@ui_minor_portal,true,LyShineUI/Images/map/Icon/POIs/damned_compass.png,LyShineUI/Images/map/Icon/POIs/damned_compass.png,LyShineUI/Images/map/tooltipImages/POI/mapTooltip_darkness_minor_portal.png,0,0,Darkness,Darkness_AzothStaff_T1,,1 0 0
8005,@ui_major_monolith,true,LyShineUI/Images/map/Icon/POIs/damned_major_compass.png,LyShineUI/Images/map/Icon/POIs/damned_major_compass.png,LyShineUI/Images/map/tooltipImages/POI/mapTooltip_darkness_major_monolith.png,3,1,Darkness,Darkness_AzothStaff_T1,,1 0 0
8006,@ui_major_portal,true,LyShineUI/Images/map/Icon/POIs/damned_major_compass.png,LyShineUI/Images/map/Icon/POIs/damned_major_compass.png,LyShineUI/Images/map/tooltipImages/POI/mapTooltip_darkness_major_portal.png,3,1,Darkness,Darkness_AzothStaff_T1,,1 0 0
8007,@ui_minor_hive,true,LyShineUI/Images/map/Icon/POIs/damned_compass.png,LyShineUI/Images/map/Icon/POIs/damned_compass.png,LyShineUI/Images/map/tooltipImages/POI/mapTooltip_darkness_minor_hive.png,0,0,Darkness,Darkness_AzothStaff_T1,,1 0 0
8008,@ui_major_monolith,true,LyShineUI/Images/map/Icon/POIs/damned_major_compass.png,LyShineUI/Images/map/Icon/POIs/damned_major_compass.png,LyShineUI/Images/map/tooltipImages/POI/mapTooltip_darkness_major_monolith.png,3,1,Darkness,Darkness_AzothStaff_T1,65,1 0 0
8009,@ui_major_portal,true,LyShineUI/Images/map/Icon/POIs/damned_major_compass.png,LyShineUI/Images/map/Icon/POIs/damned_major_compass.png,LyShineUI/Images/map/tooltipImages/POI/mapTooltip_darkness_major_portal.png,3,1,Darkness,Darkness_AzothStaff_T1,65,1 0 0
8010,@ui_summermedley_maudlinbugwaltz,true,LyShineUI/Images/Map/Icon/POIs/maudlinbug.png,LyShineUI/Images/Map/Icon/POIs/maudlinbug.png,LyShineUI/Images/Map/tooltipImages/POI/mapTooltip_summermedley_maudlinbugwaltz.png,0,,MaudlinbugWaltz,2hInstrumentGuitarT2,,0 128 255
