StatusID,DisplayName,Description,EffectCategories,PlaceholderIcon,ShowInUITray,ShowTextInDamageNumbers,FxScriptOn,FxScriptOff,ShouldRefreshFxScript,WeaponEffectType,Notification,DisableTelemetry,IsClientPredicted,PotencyPerLevel,PotencyPerGearScore,DurationScalingPerGearScore,BaseDuration,TickRate,DelayInitialTick,TickCondition,OnTickStatusEffect,KeepOnTickEffectOnEnd,StopOnHitCount,HitCondition,RequireReaction,OnStackStatusEffect,AddOnStackSize,AddOnStackSizeComparison,HealThreatMultiplier,ScaleAmountOverTime,ScaleAmountOverTimeMin,ScaleAmountOverTimeMax,DamageSkipsDeathsDoor,Health,HealthMin,HealthModifierPercent,HealthModifierDamageBased,UseHealScalingValue,HealScalingValueMultiplier,StaminaDamageModifier,ManaModifierDamageBased,DamageType,CritChanceModifier,CritDamageModifier,OnEndStatusEffect,DontApplyOnEndEffectOnRemove,CastSpell,DisableCastSpellDurability,TargetOwnsSpell,UseSourceWeaponForSpell,FromAlchemy,FromSpell,NoHealthRegen,HealMod,MaxHealthMod,HealthRate,CoreTempMod,TempMod,Stamina,StaminaRate,Mana,ManaRate,Food,FoodBurn,Drink,DrinkBurn,Encumbrance,ItemClassWeightMods,XPIncreases,AzothMod,FactionReputationMod,FactionTokensMod,EXPLogging,EXPMining,EXPHarvesting,EXPSkinning,EXPSmelting,EXPWoodworking,EXPLeatherworking,EXPWeaving,EXPStonecutting,GrantSanctuary,NoSprint,NoRun,NoDodge,NoNav,Silenced,Stunned,RemoveOnDeath,RemoveOnDeathsDoor,RemoveOnRespawn,RemoveOnGameModeExit,IgnoreDiminishingReturns,OnlyChangeOwnedStatusEffects,Afflictions,OnHitAffixes,EquipAbility,UseSourceWeaponForAbilityEffect,SlotToFillWeaponDamageInfo,IsNegative,RespecTradeskills,RespecAttributes,EffectDurationMods,EffectPotencyMods,RemoveStatusEffects,RemoveStatusEffectCategories,GlobalRollMod,FishingLineStrength,FishSizeRollModifier,MODConstitution,MODFocus,MODStrength,MODDexterity,MODIntelligence,MGSArcana,MGSWeaponsmithing,MGSJewelcrafting,MGSEngineering,MGSArmoring,MaxGSArcana,MaxGSWeaponsmithing,MaxGSJewelcrafting,MaxGSEngineering,MaxGSArmoring,ROLCooking,ROLWeaving,ROLStonecutting,ROLSmelting,ROLLeatherworking,ROLWoodworking,ROLLogging,ROLMining,ROLSkinning,ROLHarvesting,ROLFishing,MULTLogging,MULTMining,MULTSkinning,MULTHarvesting,MULTFishing,EFFLogging,EFFMining,EFFSkinning,EFFHarvesting,INSLogging,INSMining,INSSkinning,INSHarvesting,PhysicalArmor,ElementalArmor,ABSStandard,ABSSiege,ABSStrike,ABSSlash,ABSThrust,ABSArcane,ABSFire,ABSIce,ABSNature,ABSLightning,ABSCorruption,ABSVitalsCategory,RESPoison,RESDisease,RESBleed,RESFrostbite,RESCurse,RESBlight,BLAStandard,BLASiege,BLAStrike,BLASlash,BLAThrust,BLAArcane,BLAFire,BLAIce,BLALightning,BLACorruption,ABAPoison,ABADisease,ABABleed,ABAFrostbite,ABACurse,ABABlight,WKNStandard,WKNSiege,WKNStrike,WKNSlash,WKNThrust,WKNArcane,WKNFire,WKNIce,WKNNature,WKNLightning,WKNCorruption,DMGStandard,DMGSiege,DMGStrike,DMGSlash,DMGThrust,DMGArcane,DMGFire,DMGIce,DMGNature,DMGLightning,DMGCorruption,DMGVitalsCategory,AFAPoison,AFADisease,AFABleed,AFAFrostbite,AFACurse,AFABlight,StackDuration,DurationMax,InheritDuration,InheritTotalDuration,RefreshDuration,StackMax,InitialStackSize,RemoveUnappliedStacks,PotencyMax,DontReplaceStack,MoveSpeedMod,SprintSpeedMod,FastTravelEncumbranceMod,GameEventId,HealRewardGameEventId,HealRewardThreshold,WeaponMasteryCategoryId,UIPriority,UiNameplatePriority,ShowInNameplates,ShowTextInNameplates,OverrideOtherNameplateText,HidesOtherStatusEffectIcons,DynamicModelScaleFactor,DynamicModelScaleRampTimeSecs,SpawnSlice,DisableSupportContributionRewards,BlockMultipleEffectsFromSameSource,AllowSelfOnlyAsSourceForAbilities,IgnoreInvulnerable,NotCombatAction
Rune_BileBomb,@Status_Disease,@Status_Rune_BileBomb_Desc,Debuff+Disease+Debilitate+DoT,lyshineui/images/status/SE_DiseaseT3.png,true,true,StatFX_Disease_ON,StatFX_Disease_OFF,,,,,,,,,8,1,,,,,,,,,,,,,,,,,,,-1,,,,,Nature,,,,,,,,,,,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,HEART_GEM_SLOT,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,1,,false,,,,,,,,,,1,1,true,,,,,,,,,,,
Rune_BileBomb_Major,@Status_Slow,@Status_Rune_BileBomb_Major_Desc,Debuff+Slow+CC,lyshineui/images/status/SE_SlowT2.png,true,true,StatFX_Slow_ON,StatFX_Slow_OFF,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,HEART_GEM_SLOT,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,1,,false,,,-0.2,-0.2,,,,,,3,3,true,,,,,,,,,,,
Rune_BileBomb_Greater,@Status_Disease,@Status_Rune_BileBomb_Greater_Desc,Debuff+Disease+Debilitate+DoT+Exhaust,lyshineui/images/status/SE_DiseaseT3.png,true,true,StatFX_Disease_ON,StatFX_Disease_OFF,,,,,,,,,8,1,,,,,,,,,,,,,,,,,,,-1,,,,,Nature,,,,,,,,,,,,-0.3,,,,,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,HEART_GEM_SLOT,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,1,,false,,,,,,,,,,1,1,true,,,,,,,,,,,
Rune_BileBomb_Survivor,@Status_Disease,@Status_Rune_BileBomb_Survivor_Desc,Debuff+Disease+Debilitate,lyshineui/images/status/SE_DiseaseT1.png,true,true,StatFX_Disease_ON,StatFX_Disease_OFF,,,,,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,Heartgem_Rune_BileBomb_Survivor_HealAttacker,true,HEART_GEM_SLOT,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,1,,false,,,,,,,,,,1,1,true,,,,,,,,,,,
Rune_BileBomb_Survivor_Heal,,,Heal,,false,false,POTION_Heal,EssenceRupture_Heal,,,,,,,,,0.1,1,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,HEART_GEM_SLOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,1,,true,,,,,,,,,,3,3,false,,,,,,,,,,,
Rune_BileBomb_Dominator,@Status_Disease,@Status_Rune_BileBomb_Dominator_Desc,Debuff+Disease+Debilitate+DoT,lyshineui/images/status/SE_DiseaseT5.png,true,true,StatFX_Disease_ON,StatFX_Disease_OFF,,,,,,,,,8,1,,,,,,,,,,,,,,,,,,,-1.5,,,,,Nature,,,,,,,,,,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,HEART_GEM_SLOT,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,1,,false,,,,,,,,,,1,1,true,,,,,,,,,,,
Rune_CannonBlast_Burn,@Status_Burn,@Status_Rune_CannonBlast_Major_Desc,Debuff+Burn+DoT,lyshineui/images/status/SE_BurnT1.png,true,true,StatFX_Burn_ON,StatFX_Burn_OFF,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,,-0.1,,,,,Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,HEART_GEM_SLOT,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,1,,true,,,,,,,,,,1,1,true,,,,,,,,,,,
Rune_Detonate,@Status_Rune_Detonate,@Status_Rune_Detonate_Desc,,lyshineui/images/status/SE_Detonate.png,true,false,Rune_Detonate_Charge_On,Rune_Detonate_Charge_Off,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Rune_Detonate_CastAoE,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,HEART_GEM_SLOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,true,,,,,,,,,,2,2,false,,,,,,,,,,,
Rune_Detonate_CastAoE,,,,,false,false,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rune_Detonate_AoE,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,HEART_GEM_SLOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,true,,,,,,,,,,2,2,false,,,,,,,,,,,
Rune_Detonate_Major,@Status_Rune_Detonate,@Status_Rune_Detonate_Major_Desc,Haste,lyshineui/images/status/SE_Detonate.png,true,false,Rune_Detonate_Charge_On,Rune_Detonate_Charge_Off,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Rune_Detonate_CastAoE,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,HEART_GEM_SLOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,true,,,0.3,0.3,,,,,,2,2,false,,,,,,,,,,,
