MissionID,MissionTier,ObjectiveID,IsCustomObjective,CategoricalProgressionId,IsPvpMission,AvailableTerritoryId,RequiredFaction,RequiredFortControlStatus,ReturnToGiverOverride,IsSettlementValidDestination,IsOutpostValidDestination,TaskKillContributionOverride,TaskKillContributionQtyOverride,TerritoryIDOverride,POITagOverride,TaskGiveAndTakeItemOverride,TaskHaveAndReturnItemsOverride,TaskHaveAndReturnItemsQtyOverride,TaskHaveAndReturnItemsDropProbabilityOverride,TaskHaveAndReturnChestDropProbabilityOverride,TaskHaveAndReturnItemsItemsDropVCOverride,LootTagOverride,PauseAndClearLootOnTaskCompleteOverride,TurninDistance,TaskTimerOverride,SuccessGameEventIdOverride,FailureGameEventIdOverride,TitleOverride,DescriptionOverride,ImagePath,MissionGoalType,ProviderDistanceLimit,MinLevel,MaxLevel,RequiredTradeskill,TradeskillLevel,Enabled,DevName,VCLevelRange,RecommendedGroupSize,PatrolDuration,PatrolPoi1,PatrolPoi2,PatrolPoi3,PatrolPoi4,GrantRewardsToOriginTerritory,ReleaseVersionOverride,ORMReleaseEventTagsOverride,OverrideLocation
Kill_3_Withered_devworld_farm,1,M_killx_location,,,,74,,,true,false,false,Withered,3,,devworld_farm,,,,,,,,,,,FactionMission_Success_R1_Md,FactionMission_Failure,@M_killx_location_title,@M_killx_location_desc,LyShineUI\Images\MissionImages\missionImage_withered1.png,Kill,990,0,60,,,false,DevWorld_Farm,1-60,,,,,,,,,,
Kill_3_Wolf_devworld_cave,1,M_killx_location,,,,75,,,true,false,false,Wolf,3,,devworld_cave,,,,,,,,,,,FactionMission_Success_R1_Md,FactionMission_Failure,@M_killx_location_title,@M_killx_location_desc,LyShineUI\Images\MissionImages\missionImage_wolf.png,Kill,990,0,60,,,false,DevWorld_Cave,1-60,,,,,,,,,,
PVP_Patrol_DevWorld_Farm,1,PVP_patrol_mission,,,true,74,,,true,false,false,,,,,,,,,,,,,,,PVPMission_Success_R2_Lg,PVPMission_Failure,@objective_mission_task_patrol_windsward,,LyShineUI\Images\MissionImages\missionType_kill.png,Explore,1500,,,,,false,DevWorld_PVP_Patrol,,,15,DevWorld_Farm,,,,,,,
PVP_Retrieve_DevWorld_Farm,1,PVP_fetch_location,,,true,74,,,true,false,false,,,,devworld_farm,,PVP_TimberBundle_1,1,,100,,,true,,,PVPMission_Success_R2_Md,PVPMission_Failure,@M_fetch_title,@M_fetch_desc,LyShineUI\Images\MissionImages\missionType_kill.png,Explore,1500,,,,,false,DevWorld_PVP_Fetch,,,,,,,,,,,
PVP_delivery_DevWorld_Blue,1,PVP_delivery,,,true,74,,,false,true,false,,,,,PVP_TimberBundle_1,PVP_TimberBundle_1,1,,,,,,,7200,PVPMission_Success_R4_Lg,PVPMission_Failure,@owg_title_merchantt1,@owg_desc_merchantt1,LyShineUI\Images\MissionImages\missionType_creative.png,Courier,,,,,,false,,,,,,,,,true,,,
PVP_Patrol_DevWorld_Cave,1,PVP_patrol_mission,,,true,75,,,true,false,false,,,,,,,,,,,,,,,PVPMission_Success_R2_Lg,PVPMission_Failure,@objective_mission_task_patrol_windsward,,LyShineUI\Images\MissionImages\missionType_kill.png,Explore,1500,,,,,false,DevWorld_PVP_Patrol,,,15,DevWorld_Cave,,,,,,,
PVP_Retrieve_DevWorld_Cave,1,PVP_fetch_location,,,true,75,,,true,false,false,,,,devworld_cave,,PVP_TimberBundle_1,1,,100,,,true,,,PVPMission_Success_R2_Md,PVPMission_Failure,@M_fetch_title,@M_fetch_desc,LyShineUI\Images\MissionImages\missionType_kill.png,Explore,1500,,,,,false,DevWorld_PVP_Fetch,,,,,,,,,,,
PVP_delivery_DevWorld_Red,1,PVP_delivery,,,true,75,,,false,true,false,,,,,PVP_TimberBundle_1,PVP_TimberBundle_1,1,,,,,,,7200,PVPMission_Success_R4_Lg,PVPMission_Failure,@owg_title_merchantt1,@owg_desc_merchantt1,LyShineUI\Images\MissionImages\missionType_creative.png,Courier,,,,,,false,,,,,,,,,true,,,
Multiobjective_Test_Devworld_1,1,74_Basic_Mission_1,true,,,74,,,true,,,,,,devworld_farm,,,,,,,,true,,,FactionMission_Success_R1_Sm,FactionMission_Failure,This Is The Title,This Is The Description,LyShineUI\Images\MissionImages\missionType_kill.png,Explore,1500,0,60,,,false,,1-60,,,,,,,,,,
FM_Raid_0201,1,FM_killx_location,,,,2,Marauder,,true,false,false,Haunted,5,,abandoned_village_40254,,,,,,,,true,,,FactionV2_27,FactionMission_Failure,@FactionMission_RAID_title,@FactionMission_RAID_desc,LyShineUI\Images\MissionImages\missionImage_wraith1.png,Raid,,24,31,,,true,,27,,,,,,,,,,
FM_Raid_0202,1,FM_killx_location,,,,2,Marauder,,true,false,false,Haunted,6,,abandoned_village_40328,,,,,,,,true,,,FactionV2_28,FactionMission_Failure,@FactionMission_RAID_title,@FactionMission_RAID_desc,LyShineUI\Images\MissionImages\missionImage_wraith1.png,Raid,,25,32,,,true,,28,,,,,,,,,,
