ItemID,HairChop,HideHair,HideFacialHair,HideLegs,HideHead,MaskRColor,MaskROverride,MaskR,MaskRDyeOverride,MaskRDye,MaskGColor,MaskGOverride,MaskG,MaskGDyeOverride,MaskGDye,MaskBColor,MaskBOverride,MaskB,MaskBDyeOverride,MaskBDye,MaskASpecColor,MaskASpec,MaskASpecDye,MaskAGlossShift,MaskAGloss,EmissiveColor,EmissiveIntensity,Skin1,Material1,IsSkin1,Mask1,Skin2,Material2,IsSkin2,Mask2,Left/On,Right/Off,ForceShortsleeves,ShortsleeveChestSkin,ForceHideForearms,HandsNoForearmsSkin,AttachmentOffsets,LeftHandOnlySkin,RightHandOnlySkin,LeftSleeveOnlyChestSkin,RightSleeveOnlyChestSkin,AppearanceCDF,RDyeSlotDisabled,GDyeSlotDisabled,BDyeSlotDisabled,ADyeSlotDisabled,IconPath,HiResIconPath,IconCaptureGroup
Conquistador_Helm_T1,HELMBACK,1,0,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,Objects/Characters/player/male/conquistadorT1/male_conquistadorT1_helmet.skin,Objects/Characters/player/male/conquistadorT1/male_conquistadorT1_helmet_matGroup.mtl,0,,,,,,,,0,,,,,,,,,,0,1,1,0,lyshineui/images/icons/items/Armor/HeavyHeadAT2.png,lyshineui/images/icons/items_hires/HeavyHeadAT2.png,Head
Conquistador_Chest_T1,NONE,0,0,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,objects/characters/player/male/conquistadort1/male_conquistadort1_forearms_hands.skin,Objects/Characters/player/male/conquistadorT1/male_conquistadorT1_chest_matGroup.mtl,0,,,,1,,FLY_MetalLight_Arm_L,FLY_MetalLight_Arm_R,0,objects/characters/player/male/conquistadort1/male_conquistadort1_chest.skin,,,,,,objects/characters/player/male/conquistadort1/male_conquistadort1_forearms_left.skin,objects/characters/player/male/conquistadort1/male_conquistadort1_forearms_right.skin,,0,0,0,0,lyshineui/images/icons/items/Armor/Chest_SoldierT2.png,lyshineui/images/icons/items_hires/Chest_SoldierT2.png,Chest
Conquistador_Chest_Alt_T1,NONE,0,0,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,objects/characters/player/male/conquistadorpufft1/male_conquistadorpufft1_forearms_hands.skin,Objects/Characters/player/male/conquistadorPuffT1/male_conquistadorPuffT1_chest_matGroup.mtl,0,,,,1,,FLY_MetalLight_Arm_L,FLY_MetalLight_Arm_R,0,objects/characters/player/male/conquistadorpufft1/male_conquistadorpufft1_chest.skin,,,,,,objects/characters/player/male/conquistadorpufft1/male_conquistadorpufft1_forearms_left.skin,objects/characters/player/male/conquistadorpufft1/male_conquistadorpufft1_forearms_right.skin,,0,0,0,0,,,
Conquistador_Gloves_T1,NONE,0,0,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,Objects/Characters/player/male/conquistadorT1/male_conquistadorT1_forearms.skin,Objects/Characters/player/male/conquistadorT1/male_conquistadorT1_forearms_matGroup.mtl,0,,,,,,,,1,,,,,Objects/Characters/player/male/conquistadorT1/male_conquistadorT1_left_forearm.skin,Objects/Characters/player/male/conquistadorT1/male_conquistadorT1_right_forearm.skin,,,,0,0,1,0,lyshineui/images/icons/items/Armor/HeavyHandsAT2.png,lyshineui/images/icons/items_hires/HeavyHandsAT2.png,Arms
Conquistador_Pants_T1,NONE,0,0,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,Objects/Characters/player/male/conquistadorT1/male_conquistadorT1_thighs.skin,Objects/Characters/player/male/conquistadorT1/male_conquistadorT1_thighs_matGroup.mtl,0,,,,,,FLY_ClothLight_Leg_L,FLY_ClothLight_Leg_R,0,,,,,,,,,,0,0,0,0,lyshineui/images/icons/items/Armor/Legs_SoldierT2.png,lyshineui/images/icons/items_hires/Legs_SoldierT2.png,Legs
Conquistador_Boots_T1,NONE,0,0,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,Objects/Characters/player/male/conquistadorT1/male_conquistadorT1_calves.skin,Objects/Characters/player/male/conquistadorT1/male_conquistadorT1_calves_matGroup.mtl,0,,,,,,,,0,,,,,,,,,,0,0,0,0,lyshineui/images/icons/items/Armor/HeavyFeetAT2.png,lyshineui/images/icons/items_hires/HeavyFeetAT2.png,Feet
F_Conquistador_Helm_T1,HELMBACK,1,0,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,Objects/Characters/player/female/conquistadorT1/female_conquistadorT1_helmet.skin,Objects/Characters/player/male/conquistadorT1/male_conquistadorT1_helmet_matGroup.mtl,0,,,,,,,,0,,,,,,,,,,0,1,1,0,lyshineui/images/icons/items/Armor/HeavyHeadAT2.png,lyshineui/images/icons/items_hires/HeavyHeadAT2.png,Head
F_Conquistador_Chest_T1,NONE,0,0,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,objects/characters/player/female/conquistadort1/female_conquistadort1_forearms_hands.skin,Objects/Characters/player/male/conquistadorT1/male_conquistadorT1_chest_matGroup.mtl,0,,,,1,,FLY_MetalLight_Arm_L,FLY_MetalLight_Arm_R,0,objects/characters/player/female/conquistadort1/female_conquistadort1_chest.skin,,,,,,objects/characters/player/female/conquistadort1/female_conquistadort1_forearms_left.skin,objects/characters/player/female/conquistadort1/female_conquistadort1_forearms_right.skin,,0,0,0,0,lyshineui/images/icons/items/Armor/Chest_SoldierT2.png,lyshineui/images/icons/items_hires/Chest_SoldierT2.png,Chest
F_Conquistador_Chest_Alt_T1,NONE,0,0,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,objects/characters/player/female/conquistadorpufft1/female_conquistadorpufft1_forearms_hands.skin,Objects/Characters/player/male/conquistadorPuffT1/male_conquistadorPuffT1_chest_matGroup.mtl,0,,,,1,,FLY_MetalLight_Arm_L,FLY_MetalLight_Arm_R,0,objects/characters/player/female/conquistadorpufft1/female_conquistadorpufft1_chest.skin,,,,,,objects/characters/player/female/conquistadorpufft1/female_conquistadorpufft1_forearms_left.skin,objects/characters/player/female/conquistadorpufft1/female_conquistadorpufft1_forearms_right.skin,,0,0,0,0,,,
F_Conquistador_Gloves_T1,NONE,0,0,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,Objects/Characters/player/female/conquistadorT1/female_conquistadorT1_forearms.skin,Objects/Characters/player/male/conquistadorT1/male_conquistadorT1_forearms_matGroup.mtl,0,,,,1,,,,1,objects/characters/player/female/conquistadorPufft1/female_conquistadorpufft1_forearms_hands.skin,,,,Objects/Characters/player/female/conquistadorT1/female_conquistadorT1_left_forearm.skin,Objects/Characters/player/female/conquistadorT1/female_conquistadorT1_right_forearm.skin,,,,0,0,1,0,lyshineui/images/icons/items/Armor/HeavyHandsAT2.png,lyshineui/images/icons/items_hires/HeavyHandsAT2.png,Arms
