VitalsCategoryID,DisplayName,Icon,LocationHint,LocStringGenerationHelper,GroupVitalsCategoryId,IsNamed,IsDynamicPoiTarget,MtlOverride,FemaleMtlOverride
Alcazarian,@VC_Alcazarian,,,"<string key=""VC_Alcazarian"">Alcazarian</string>",BASE,,,,
Alchemical,@VC_Alchemical,,,"<string key=""VC_Alchemical"">Alchemical</string>",BASE,,,,
Aligator_Black_13WF07,@VC_Aligator_Black_13WF07,,,"<string key=""VC_Aligator_Black_13WF07"">Aligator_Black_13WF07</string>",Upper,,,,
Alligator,@VC_Alligator,,,"<string key=""VC_Alligator"">Alligator</string>",BASE,,,,
Alligator_13WF01,@VC_Alligator_13WF01,,,"<string key=""VC_Alligator_13WF01"">Alligator_13WF01</string>",,,,,
Alligator_13WF02,@VC_Alligator_13WF02,,,"<string key=""VC_Alligator_13WF02"">Alligator_13WF02</string>",,,,,
Alligator_Black_04NW11,@VC_Alligator_Black_04NW11,,,"<string key=""VC_Alligator_Black_04NW11"">Alligator_Black_04NW11</string>",Salthollow,,,,
Alligator_Black_05WC11_ELITE,@VC_Alligator_Black_05WC11_ELITE,,,"<string key=""VC_Alligator_Black_05WC11_ELITE"">Alligator_Black_05WC11_ELITE</string>",Elite_Sirensong,,,,
Alligator_Black_08QP02,@VC_Alligator_Black_08QP02,,,"<string key=""VC_Alligator_Black_08QP02"">Alligator_Black_08QP02</string>",ThunderCradle,,,Objects\Characters\npc\natural\alligator\alligator_alt5_matgroup.mtl,
Alligator_Black_11MD01,@VC_Alligator_Black_11MD01,,,"<string key=""VC_Alligator_Black_11MD01"">Alligator_Black_11MD01</string>",Flooded Plains,,,,
Alligator_Black_11MD01a,@VC_Alligator_Black_11MD01a,,,"<string key=""VC_Alligator_Black_11MD01a"">Alligator_Black_11MD01a</string>",Flooded Plains,,,,
Alligator_Black_11MD02,@VC_Alligator_Black_11MD02,,,"<string key=""VC_Alligator_Black_11MD02"">Alligator_Black_11MD02</string>",Inland Greens,,,,
Alligator_Black_12,@VC_Alligator_Black_12,,,"<string key=""VC_Alligator_Black_12"">Alligator_Black_12</string>",Generic,,,,
Alligator_Black_13WF08,@VC_Alligator_Black_13WF08,,,"<string key=""VC_Alligator_Black_13WF08"">Alligator_Black_13WF08</string>",Karburg,,,,
Alligator_Black_15EC01,@VC_Alligator_Black_15EC01,,,"<string key=""VC_Alligator_Black_15EC01"">Alligator_Black_15EC01</string>",Karburg,,,,
Alligator_Black_15EC02,@VC_Alligator_Black_15EC02,,,"<string key=""VC_Alligator_Black_15EC02"">Alligator_Black_15EC02</string>",Karburg,,,,
Alligator_Black_15EC04,@VC_Alligator_Black_15EC04,,,"<string key=""VC_Alligator_Black_15EC04"">Alligator_Black_15EC04</string>",Karburg,,,,
Alligator_Black_16,@VC_Alligator_Black_16,,,"<string key=""VC_Alligator_Black_16"">Alligator_Black_16</string>",Generic,,,,
Alligator_Black_26,@VC_Alligator_Black_26,,,"<string key=""VC_Alligator_Black_26"">Alligator_Black_26</string>",Generic,,,,
Alligator_Black_27,@VC_Alligator_Black_27,,,"<string key=""VC_Alligator_Black_27"">Alligator_Black_27</string>",Generic,,,,
Alligator_Black_28,@VC_Alligator_Black_28,,,"<string key=""VC_Alligator_Black_28"">Alligator_Black_28</string>",Generic,,,,
Alligator_Black_29,@VC_Alligator_Black_29,,,"<string key=""VC_Alligator_Black_29"">Alligator_Black_29</string>",Generic,,,,
Alligator_Black_30,@VC_Alligator_Black_30,,,"<string key=""VC_Alligator_Black_30"">Alligator_Black_30</string>",Generic,,,,
Alligator_Black_31,@VC_Alligator_Black_31,,,"<string key=""VC_Alligator_Black_31"">Alligator_Black_31</string>",Generic,,,,
Alligator_Black_32,@VC_Alligator_Black_32,,,"<string key=""VC_Alligator_Black_32"">Alligator_Black_32</string>",Generic,,,,
Alligator_Black_33,@VC_Alligator_Black_33,,,"<string key=""VC_Alligator_Black_33"">Alligator_Black_33</string>",Generic,,,,
Alligator_Black_34,@VC_Alligator_Black_34,,,"<string key=""VC_Alligator_Black_34"">Alligator_Black_34</string>",Generic,,,,
Alligator_Black_35,@VC_Alligator_Black_35,,,"<string key=""VC_Alligator_Black_35"">Alligator_Black_35</string>",Generic,,,,
Alligator_Black_36,@VC_Alligator_Black_36,,,"<string key=""VC_Alligator_Black_36"">Alligator_Black_36</string>",Generic,,,,
