EffectName,PriorityOverride
dungeon_arcaneshield.Arcane_Shield_Core,High
wFX_azothstaff.CarryFlame,High
Siege.CapturePoint.Beam_Neutral,Required
Siege.CapturePoint.Beam_Friendly,Required
Siege.CapturePoint.Beam_Enemy,Required
Siege.CapturePoint.Beam_Contested_Blue,Required
Siege.CapturePoint.Beam_Contested_Red,Required
Siege.CapturePoint.Beam_Contested_Neutral,Required
FactionControl.Neutral.Beam,Required
FactionControl.Faction1.Beam,Required
FactionControl.Faction2.Beam,Required
FactionControl.Faction3.Beam,Required
FactionControl.Neutral.Contested,Required
FactionControl.Faction1.Contested,Required
FactionControl.Faction2.Contested,Required
FactionControl.Faction3.Contested,Required
Event_Gleamite.Supernova_01,Normal
Event_Gleamite.Supernova_Trail_01,Normal
Event_Gleamite.Gleamite_Chunk_Trail01,Normal
Event_Gleamite.Gleamite_Shard_Trail01,Normal
wFX_Default_Range.Aim_Post,Required
ENV_Dungeon_Ancient_Gate.Seal_break_large,Required
wFX_rune_ability_cannon_blast.DominatorExplosion,High
wfx_rune_ability_heretic.hit,High
wfx_rune_ability_detonate.denotation_end,High
wfx_GreatSword.Onslaught.Combo.Default.Impact,High
wfx_GreatSword.Onslaught.DefenseBreak.Default.Impact_Align,High
wfx_GreatSword.Defiance.Burst.Upgrades.Pull,High
wfx_GreatSword.Defiance.Burst.Default.Neutral,High
wfx_GreatSword.Defiance.Burst.Upgrades.Push,High
wfx_GreatSword.Defiance.Counter.Default.End,High
wfx_GreatSword.Gems.Fire.Combo.Impact,High
wfx_GreatSword.Gems.Ice.Combo.impact,High
wfx_GreatSword.Gems.Void.Combo.Impact,High
wfx_GreatSword.Gems.Lightning.Combo.Impact,High
wfx_GreatSword.Gems.Magic.Combo.Impact,High
wfx_GreatSword.Gems.Nature.Combo.Impact,High
wfx_GreatSword.Gems.Lightning.DefenseBreak.Impact_Align,High
wfx_GreatSword.Gems.Ice.DefenseBreak.Impact_Align,High
wfx_GreatSword.Gems.Void.DefenseBreak.Impact_Align,High
wfx_GreatSword.Gems.Magic.DefenseBreak.Impact_Align,High
wfx_GreatSword.Gems.Nature.DefenseBreak.Impact_Align,High
wfx_GreatSword.Onslaught.DefenseBreak.Default.Impact_Align_upgrade,High
wfx_GreatSword.Gems.Fire.DefenseBreak.Impact_Align_upgrade,High
wfx_GreatSword.Gems.Ice.DefenseBreak.Impact_Align_upgrade,High
wfx_GreatSword.Gems.Lightning.DefenseBreak.Impact_Align_upgrade,High
wfx_GreatSword.Gems.Magic.DefenseBreak.Impact_Align_upgrade,High
wfx_GreatSword.Gems.Nature.DefenseBreak.Impact_Align_upgrade,High
wfx_GreatSword.Gems.Void.DefenseBreak.Impact_Align_upgrade,High
wfx_GreatSword.Gems.Fire.Counter.End,High
wfx_GreatSword.Gems.Ice.Counter.End,High
wfx_GreatSword.Gems.Lightning.Counter.End,High
wfx_GreatSword.Gems.Magic.Counter.End,High
wfx_GreatSword.Gems.Nature.Counter.End,High
wfx_GreatSword.Gems.Void.Counter.End,High
cFX_npc_AngryEarthNaga.Pool_Idle,Required
cFX_npc_FireNaga.Flame_Disk,Required
cFX_npc_FireNaga_JK.LavaPool,Required
cFX_npc_FireNaga.FlameThrower,Required
cFX_npc_FireNaga.LavaSpawn_Glyph,Required
cFX_npc_FireNaga.Linear_Tell,Required
cFX_npc_SandwormBoss.Fog_Lower,Required
cFX_npc_SandwormBoss.Glimpse,Required
cFX_npc_SandwormBoss.Shield_Layer,Required
cFX_npc_SandwormBoss.Melee_AOE_Earthy,Required
cFX_npc_SandwormBoss.Top_Of_Arena_AOE,Required
env_SandwormArena_PressurePlate.ButtonPress_Idle,Required
env_SandwormArena_PressurePlate.ButtonPress_Activate,Required
env_SandwormArena_PressurePlate.ButtonPress_Fail,Required
env_SandwormArena_PressurePlate.Pillar_Gold,Required
env_SandwormArena_PressurePlate.Pillar_Blue,Required
env_SandwormArena_PressurePlate.Pillar_Red,Required
env_SandwormArena_PressurePlate.Pillar_White,Required
Env_BrimstoneDungeon.Forge_Active_02,Required
cfx_npc_scorpion.AOE_Puddle,Required
cFX_npc_SandwormBoss.Acid_Spew_Seq,Required
cFX_npc_SandwormBoss.Chomp_AOE,Required
