AmmoID,AmmoType,DamageModifier,StaggerDamageModifier,AmmoPrefabPath,AmmoWhizByTrigger,MeshOverride
ArrowT1,Arrow,1,1,Items/Weapons/basic_arrow,Play_Arrow_WhizzBys,
ArrowT2,Arrow,1.05,1.05,Items/Weapons/basic_arrow,Play_Arrow_WhizzBys,
ArrowBT2,Arrow,1.05,1.05,Items/Weapons/basic_arrow,Play_Arrow_WhizzBys,
ArrowT3,Arrow,1.1,1.1,Items/Weapons/basic_arrow,Play_Arrow_WhizzBys,
ArrowT4,Arrow,1.15,1.15,Items/Weapons/basic_arrow,Play_Arrow_WhizzBys,
ArrowBT4,Arrow,1.15,1.15,Items/Weapons/basic_arrow,Play_Arrow_WhizzBys,
ArrowT5,Arrow,1.2,1.2,Items/Weapons/basic_arrow,Play_Arrow_WhizzBys,
ArrowBT5,Arrow,1.2,1.2,Items/Weapons/basic_arrow,Play_Arrow_WhizzBys,
ShotT2,Shot,1,1,Items/Weapons/basic_shot,Play_Bullet_WizzBys,
ShotT3,Shot,1.066,1.066,Items/Weapons/basic_shot,Play_Bullet_WizzBys,
ShotT4,Shot,1.132,1.132,Items/Weapons/basic_shot,Play_Bullet_WizzBys,
ShotT5,Shot,1.2,1.2,Items/Weapons/basic_shot,Play_Bullet_WizzBys,
1hHatchetT1,Thrown,1,1,Items/Weapons/basic_thrown,Play_Bullet_WizzBys,
1hHatchetT1c,Thrown,1,1,Items/Weapons/basic_thrown,Play_Bullet_WizzBys,
1hHatchetT1Damned,Thrown,1,1,Items/Weapons/basic_thrown,Play_Bullet_WizzBys,
1hHatchetT2,Thrown,1,1,Items/Weapons/basic_thrown,Play_Bullet_WizzBys,Objects/Weapons/Melee/Axes/1h/throwingAxeT2/wep_axe1h_throwingAxeT2_lookBase.cdf
1hHatchetBT2,Thrown,1,1,Items/Weapons/basic_thrown,Play_Bullet_WizzBys,Objects/Weapons/Melee/Axes/1h/throwingAxeAureateT2/Wep_axe1h_throwingAxeAureateT2_lookBase.cdf
1hHatchetT3,Thrown,1,1,Items/Weapons/basic_thrown,Play_Bullet_WizzBys,Objects/Weapons/Melee/Axes/1h/throwingAxeT3/wep_axe1h_throwingAxeT3_lookBase.cdf
