RecipeID,FirstCraftAchievementId,RecipeNameOverride,CraftingCategory,CraftingGroup,AdditionalFilterText,RecipeTags,DisplayIngredients,bKnownByDefault,bListedByDefault,CraftAll,IsRefining,IsProcedural,MaxPerkItemsAllowed,PerkItemsBucketPush,IsTemporary,CraftingFee,UseCraftingTax,Tradeskill,RecipeLevel,StationType1,StationType2,StationType3,StationType4,OutputQty,ItemID,SkipGrantItems,SkipGrantItemsDesc,SkipGrantItemsTitle,SkipGrantItemsBody,BaseGearScore,BaseTier,RequiredAchievementID,UnlockedAchievementID,UnlockedAchievementBlocksRecrafting,Ingredient1,Type1,Ingredient2,Type2,Ingredient3,Type3,Ingredient4,Type4,Ingredient5,Type5,Ingredient6,Type6,Ingredient7,Type7,Qty1,Qty2,Qty3,Qty4,Qty5,Qty6,Qty7,GameEventID,Game Event Validation,CooldownSeconds,CooldownQuantity,GearScoreBonus,GearScoreReduction,BonusItemChance,BonusItemChanceIncrease,BonusItemChanceDecrease,PerkCost,RequiredExpansion
Scarab_BagAT5,FC_Scarab_Procedural_BagAT5,@Procedural_BagAT5,Scarab,BagsGeneral,,DroppedBags,GoldenScarab,false,true,false,false,true,2,false,false,449,1,Armoring,200,outfitting2,,,,1,BagAT5,,,,,500,5,,,,LeatherT5,Category_Only,Cloth,Category_Only,Metal,Category_Only,HoldingRuneT5,Item,GoldenScarab,Item,,,,,45,25,10,3,1,,,Craft_ArmoringT5,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Artisan_BagAT5,FC_Crafters_BagAT5,@Artisan_BagAT5_MasterName,ArtisanCrafting,BagsGeneral,,DroppedBags,,true,true,false,false,false,,,false,449,1,Armoring,200,outfitting2,,,,1,Artisan_BagAT5,,,,,600,5,,,,LeatherT51,Item,ClothT51,Item,IngotT51,Item,HoldingRuneT5,Item,,,,,,,50,30,15,3,,,,Craft_ArmoringT5,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,,
Procedural Armoring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,
Procedural_PlateHeadT2,FC_Procedural_PlateHeadT2,@Procedural_PlateHeadT2,Armor,ArmorPlate,@CategoryData_SlotHead,PlateHead,,true,true,false,false,true,,,false,25,1,Armoring,0,blacksmith2,,,,1,HeavyHead_PlateT2,,,,,200,2,,,,MetalT2,Category_Only,Leather,Category_Only,Cloth,Category_Only,,,,,,,,,8,6,4,,,,,Craft_ArmoringT2,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_PlateHeadT3,FC_Procedural_PlateHeadT3,@Procedural_PlateHeadT3,Armor,ArmorPlate,@CategoryData_SlotHead,PlateHead,,true,true,false,false,true,,,false,75,1,Armoring,50,blacksmith2,,,,1,HeavyHead_PlateT3,,,,,300,3,,,,MetalT3,Category_Only,Leather,Category_Only,Cloth,Category_Only,,,,,,,,,8,6,4,,,,,Craft_ArmoringT3,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_PlateHeadT4,FC_Procedural_PlateHeadT4,@Procedural_PlateHeadT4,Armor,ArmorPlate,@CategoryData_SlotHead,PlateHead,,true,true,false,false,true,,,false,184,1,Armoring,100,blacksmith2,,,,1,HeavyHead_PlateT4,,,,,400,4,,,,MetalT4,Category_Only,Leather,Category_Only,Cloth,Category_Only,,,,,,,,,8,6,4,,,,,Craft_ArmoringT4,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_PlateHeadT5,FC_Procedural_PlateHeadT5,@Procedural_PlateHeadT5,Armor,ArmorPlate,@CategoryData_SlotHead,PlateHead,,true,true,false,false,true,,,false,449,1,Armoring,150,blacksmith2,,,,1,HeavyHead_PlateT5,,,,,500,5,,,,MetalT5,Category_Only,Leather,Category_Only,Cloth,Category_Only,,,,,,,,,8,6,4,,,,,Craft_ArmoringT5,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_PlateChestT2,FC_Procedural_PlateChestT2,@Procedural_PlateChestT2,Armor,ArmorPlate,@CategoryData_SlotChest,PlateChest,,true,true,false,false,true,,,false,25,1,Armoring,0,blacksmith2,,,,1,HeavyChest_PlateT2,,,,,200,2,,,,MetalT2,Category_Only,Leather,Category_Only,Cloth,Category_Only,,,,,,,,,16,12,7,,,,,Craft_ArmoringT2,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_PlateChestT3,FC_Procedural_PlateChestT3,@Procedural_PlateChestT3,Armor,ArmorPlate,@CategoryData_SlotChest,PlateChest,,true,true,false,false,true,,,false,75,1,Armoring,50,blacksmith2,,,,1,HeavyChest_PlateT3,,,,,300,3,,,,MetalT3,Category_Only,Leather,Category_Only,Cloth,Category_Only,,,,,,,,,16,12,7,,,,,Craft_ArmoringT3,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_PlateChestT4,FC_Procedural_PlateChestT4,@Procedural_PlateChestT4,Armor,ArmorPlate,@CategoryData_SlotChest,PlateChest,,true,true,false,false,true,,,false,184,1,Armoring,100,blacksmith2,,,,1,HeavyChest_PlateT4,,,,,400,4,,,,MetalT4,Category_Only,Leather,Category_Only,Cloth,Category_Only,,,,,,,,,16,12,7,,,,,Craft_ArmoringT4,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_PlateChestT5,FC_Procedural_PlateChestT5,@Procedural_PlateChestT5,Armor,ArmorPlate,@CategoryData_SlotChest,PlateChest,,true,true,false,false,true,,,false,449,1,Armoring,150,blacksmith2,,,,1,HeavyChest_PlateT5,,,,,500,5,,,,MetalT5,Category_Only,Leather,Category_Only,Cloth,Category_Only,,,,,,,,,16,12,7,,,,,Craft_ArmoringT5,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_PlateHandsT2,FC_Procedural_PlateHandsT2,@Procedural_PlateHandsT2,Armor,ArmorPlate,@CategoryData_SlotHands,PlateHands,,true,true,false,false,true,,,false,25,1,Armoring,0,blacksmith2,,,,1,HeavyHands_PlateT2,,,,,200,2,,,,MetalT2,Category_Only,Leather,Category_Only,Cloth,Category_Only,,,,,,,,,4,4,1,,,,,Craft_ArmoringT2,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_PlateHandsT3,FC_Procedural_PlateHandsT3,@Procedural_PlateHandsT3,Armor,ArmorPlate,@CategoryData_SlotHands,PlateHands,,true,true,false,false,true,,,false,75,1,Armoring,50,blacksmith2,,,,1,HeavyHands_PlateT3,,,,,300,3,,,,MetalT3,Category_Only,Leather,Category_Only,Cloth,Category_Only,,,,,,,,,4,4,1,,,,,Craft_ArmoringT3,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_PlateHandsT4,FC_Procedural_PlateHandsT4,@Procedural_PlateHandsT4,Armor,ArmorPlate,@CategoryData_SlotHands,PlateHands,,true,true,false,false,true,,,false,184,1,Armoring,100,blacksmith2,,,,1,HeavyHands_PlateT4,,,,,400,4,,,,MetalT4,Category_Only,Leather,Category_Only,Cloth,Category_Only,,,,,,,,,4,4,1,,,,,Craft_ArmoringT4,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_PlateHandsT5,FC_Procedural_PlateHandsT5,@Procedural_PlateHandsT5,Armor,ArmorPlate,@CategoryData_SlotHands,PlateHands,,true,true,false,false,true,,,false,449,1,Armoring,150,blacksmith2,,,,1,HeavyHands_PlateT5,,,,,500,5,,,,MetalT5,Category_Only,Leather,Category_Only,Cloth,Category_Only,,,,,,,,,4,4,1,,,,,Craft_ArmoringT5,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_PlateLegsT2,FC_Procedural_PlateLegsT2,@Procedural_PlateLegsT2,Armor,ArmorPlate,@CategoryData_SlotLegs,PlateLegs,,true,true,false,false,true,,,false,25,1,Armoring,0,blacksmith2,,,,1,HeavyLegs_PlateT2,,,,,200,2,,,,MetalT2,Category_Only,Leather,Category_Only,Cloth,Category_Only,,,,,,,,,10,6,2,,,,,Craft_ArmoringT2,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_PlateLegsT3,FC_Procedural_PlateLegsT3,@Procedural_PlateLegsT3,Armor,ArmorPlate,@CategoryData_SlotLegs,PlateLegs,,true,true,false,false,true,,,false,75,1,Armoring,50,blacksmith2,,,,1,HeavyLegs_PlateT3,,,,,300,3,,,,MetalT3,Category_Only,Leather,Category_Only,Cloth,Category_Only,,,,,,,,,10,6,2,,,,,Craft_ArmoringT3,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_PlateLegsT4,FC_Procedural_PlateLegsT4,@Procedural_PlateLegsT4,Armor,ArmorPlate,@CategoryData_SlotLegs,PlateLegs,,true,true,false,false,true,,,false,184,1,Armoring,100,blacksmith2,,,,1,HeavyLegs_PlateT4,,,,,400,4,,,,MetalT4,Category_Only,Leather,Category_Only,Cloth,Category_Only,,,,,,,,,10,6,2,,,,,Craft_ArmoringT4,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_PlateLegsT5,FC_Procedural_PlateLegsT5,@Procedural_PlateLegsT5,Armor,ArmorPlate,@CategoryData_SlotLegs,PlateLegs,,true,true,false,false,true,,,false,449,1,Armoring,150,blacksmith2,,,,1,HeavyLegs_PlateT5,,,,,500,5,,,,MetalT5,Category_Only,Leather,Category_Only,Cloth,Category_Only,,,,,,,,,10,6,2,,,,,Craft_ArmoringT5,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_PlateFeetT2,FC_Procedural_PlateFeetT2,@Procedural_PlateFeetT2,Armor,ArmorPlate,@CategoryData_SlotFeet,PlateFeet,,true,true,false,false,true,,,false,25,1,Armoring,0,blacksmith2,,,,1,HeavyFeet_PlateT2,,,,,200,2,,,,MetalT2,Category_Only,Leather,Category_Only,Cloth,Category_Only,,,,,,,,,5,3,1,,,,,Craft_ArmoringT2,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_PlateFeetT3,FC_Procedural_PlateFeetT3,@Procedural_PlateFeetT3,Armor,ArmorPlate,@CategoryData_SlotFeet,PlateFeet,,true,true,false,false,true,,,false,75,1,Armoring,50,blacksmith2,,,,1,HeavyFeet_PlateT3,,,,,300,3,,,,MetalT3,Category_Only,Leather,Category_Only,Cloth,Category_Only,,,,,,,,,5,3,1,,,,,Craft_ArmoringT3,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_PlateFeetT4,FC_Procedural_PlateFeetT4,@Procedural_PlateFeetT4,Armor,ArmorPlate,@CategoryData_SlotFeet,PlateFeet,,true,true,false,false,true,,,false,184,1,Armoring,100,blacksmith2,,,,1,HeavyFeet_PlateT4,,,,,400,4,,,,MetalT4,Category_Only,Leather,Category_Only,Cloth,Category_Only,,,,,,,,,5,3,1,,,,,Craft_ArmoringT4,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_PlateFeetT5,FC_Procedural_PlateFeetT5,@Procedural_PlateFeetT5,Armor,ArmorPlate,@CategoryData_SlotFeet,PlateFeet,,true,true,false,false,true,,,false,449,1,Armoring,150,blacksmith2,,,,1,HeavyFeet_PlateT5,,,,,500,5,,,,MetalT5,Category_Only,Leather,Category_Only,Cloth,Category_Only,,,,,,,,,5,3,1,,,,,Craft_ArmoringT5,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_LeatherHeadT2,FC_Procedural_LeatherHeadT2,@Procedural_LeatherHeadT2,Armor,ArmorLeather,@CategoryData_SlotHead,LeatherHead,,true,true,false,false,true,,,false,25,1,Armoring,0,outfitting2,,,,1,MediumHead_LeatherT2,,,,,200,2,,,,LeatherT2,Category_Only,Cloth,Category_Only,Metal,Category_Only,,,,,,,,,11,6,1,,,,,Craft_ArmoringT2,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_LeatherHeadT3,FC_Procedural_LeatherHeadT3,@Procedural_LeatherHeadT3,Armor,ArmorLeather,@CategoryData_SlotHead,LeatherHead,,true,true,false,false,true,,,false,75,1,Armoring,50,outfitting2,,,,1,MediumHead_LeatherT3,,,,,300,3,,,,LeatherT3,Category_Only,Cloth,Category_Only,Metal,Category_Only,,,,,,,,,11,6,1,,,,,Craft_ArmoringT3,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_LeatherHeadT4,FC_Procedural_LeatherHeadT4,@Procedural_LeatherHeadT4,Armor,ArmorLeather,@CategoryData_SlotHead,LeatherHead,,true,true,false,false,true,,,false,184,1,Armoring,100,outfitting2,,,,1,MediumHead_LeatherT4,,,,,400,4,,,,LeatherT4,Category_Only,Cloth,Category_Only,Metal,Category_Only,,,,,,,,,11,6,1,,,,,Craft_ArmoringT4,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_LeatherHeadT5,FC_Procedural_LeatherHeadT5,@Procedural_LeatherHeadT5,Armor,ArmorLeather,@CategoryData_SlotHead,LeatherHead,,true,true,false,false,true,,,false,449,1,Armoring,150,outfitting2,,,,1,MediumHead_LeatherT5,,,,,500,5,,,,LeatherT5,Category_Only,Cloth,Category_Only,Metal,Category_Only,,,,,,,,,11,6,1,,,,,Craft_ArmoringT5,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_LeatherChestT2,FC_Procedural_LeatherChestT2,@Procedural_LeatherChestT2,Armor,ArmorLeather,@CategoryData_SlotChest,LeatherChest,,true,true,false,false,true,,,false,25,1,Armoring,0,outfitting2,,,,1,MediumChest_LeatherT2,,,,,200,2,,,,LeatherT2,Category_Only,Cloth,Category_Only,Metal,Category_Only,,,,,,,,,22,12,1,,,,,Craft_ArmoringT2,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_LeatherChestT3,FC_Procedural_LeatherChestT3,@Procedural_LeatherChestT3,Armor,ArmorLeather,@CategoryData_SlotChest,LeatherChest,,true,true,false,false,true,,,false,75,1,Armoring,50,outfitting2,,,,1,MediumChest_LeatherT3,,,,,300,3,,,,LeatherT3,Category_Only,Cloth,Category_Only,Metal,Category_Only,,,,,,,,,22,12,1,,,,,Craft_ArmoringT3,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_LeatherChestT4,FC_Procedural_LeatherChestT4,@Procedural_LeatherChestT4,Armor,ArmorLeather,@CategoryData_SlotChest,LeatherChest,,true,true,false,false,true,,,false,184,1,Armoring,100,outfitting2,,,,1,MediumChest_LeatherT4,,,,,400,4,,,,LeatherT4,Category_Only,Cloth,Category_Only,Metal,Category_Only,,,,,,,,,22,12,1,,,,,Craft_ArmoringT4,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_LeatherChestT5,FC_Procedural_LeatherChestT5,@Procedural_LeatherChestT5,Armor,ArmorLeather,@CategoryData_SlotChest,LeatherChest,,true,true,false,false,true,,,false,449,1,Armoring,150,outfitting2,,,,1,MediumChest_LeatherT5,,,,,500,5,,,,LeatherT5,Category_Only,Cloth,Category_Only,Metal,Category_Only,,,,,,,,,22,12,1,,,,,Craft_ArmoringT5,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_LeatherHandsT2,FC_Procedural_LeatherHandsT2,@Procedural_LeatherHandsT2,Armor,ArmorLeather,@CategoryData_SlotHands,LeatherHands,,true,true,false,false,true,,,false,25,1,Armoring,0,outfitting2,,,,1,MediumHands_LeatherT2,,,,,200,2,,,,LeatherT2,Category_Only,Cloth,Category_Only,Metal,Category_Only,,,,,,,,,4,4,1,,,,,Craft_ArmoringT2,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_LeatherHandsT3,FC_Procedural_LeatherHandsT3,@Procedural_LeatherHandsT3,Armor,ArmorLeather,@CategoryData_SlotHands,LeatherHands,,true,true,false,false,true,,,false,75,1,Armoring,50,outfitting2,,,,1,MediumHands_LeatherT3,,,,,300,3,,,,LeatherT3,Category_Only,Cloth,Category_Only,Metal,Category_Only,,,,,,,,,4,4,1,,,,,Craft_ArmoringT3,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_LeatherHandsT4,FC_Procedural_LeatherHandsT4,@Procedural_LeatherHandsT4,Armor,ArmorLeather,@CategoryData_SlotHands,LeatherHands,,true,true,false,false,true,,,false,184,1,Armoring,100,outfitting2,,,,1,MediumHands_LeatherT4,,,,,400,4,,,,LeatherT4,Category_Only,Cloth,Category_Only,Metal,Category_Only,,,,,,,,,4,4,1,,,,,Craft_ArmoringT4,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_LeatherHandsT5,FC_Procedural_LeatherHandsT5,@Procedural_LeatherHandsT5,Armor,ArmorLeather,@CategoryData_SlotHands,LeatherHands,,true,true,false,false,true,,,false,449,1,Armoring,150,outfitting2,,,,1,MediumHands_LeatherT5,,,,,500,5,,,,LeatherT5,Category_Only,Cloth,Category_Only,Metal,Category_Only,,,,,,,,,4,4,1,,,,,Craft_ArmoringT5,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_LeatherLegsT2,FC_Procedural_LeatherLegsT2,@Procedural_LeatherLegsT2,Armor,ArmorLeather,@CategoryData_SlotLegs,LeatherLegs,,true,true,false,false,true,,,false,25,1,Armoring,0,outfitting2,,,,1,MediumLegs_LeatherT2,,,,,200,2,,,,LeatherT2,Category_Only,Cloth,Category_Only,Metal,Category_Only,,,,,,,,,10,6,2,,,,,Craft_ArmoringT2,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_LeatherLegsT3,FC_Procedural_LeatherLegsT3,@Procedural_LeatherLegsT3,Armor,ArmorLeather,@CategoryData_SlotLegs,LeatherLegs,,true,true,false,false,true,,,false,75,1,Armoring,50,outfitting2,,,,1,MediumLegs_LeatherT3,,,,,300,3,,,,LeatherT3,Category_Only,Cloth,Category_Only,Metal,Category_Only,,,,,,,,,10,6,2,,,,,Craft_ArmoringT3,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_LeatherLegsT4,FC_Procedural_LeatherLegsT4,@Procedural_LeatherLegsT4,Armor,ArmorLeather,@CategoryData_SlotLegs,LeatherLegs,,true,true,false,false,true,,,false,184,1,Armoring,100,outfitting2,,,,1,MediumLegs_LeatherT4,,,,,400,4,,,,LeatherT4,Category_Only,Cloth,Category_Only,Metal,Category_Only,,,,,,,,,10,6,2,,,,,Craft_ArmoringT4,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_LeatherLegsT5,FC_Procedural_LeatherLegsT5,@Procedural_LeatherLegsT5,Armor,ArmorLeather,@CategoryData_SlotLegs,LeatherLegs,,true,true,false,false,true,,,false,449,1,Armoring,150,outfitting2,,,,1,MediumLegs_LeatherT5,,,,,500,5,,,,LeatherT5,Category_Only,Cloth,Category_Only,Metal,Category_Only,,,,,,,,,10,6,2,,,,,Craft_ArmoringT5,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_LeatherFeetT2,FC_Procedural_LeatherFeetT2,@Procedural_LeatherFeetT2,Armor,ArmorLeather,@CategoryData_SlotFeet,LeatherFeet,,true,true,false,false,true,,,false,25,1,Armoring,0,outfitting2,,,,1,MediumFeet_LeatherT2,,,,,200,2,,,,LeatherT2,Category_Only,Cloth,Category_Only,Metal,Category_Only,,,,,,,,,5,3,1,,,,,Craft_ArmoringT2,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_LeatherFeetT3,FC_Procedural_LeatherFeetT3,@Procedural_LeatherFeetT3,Armor,ArmorLeather,@CategoryData_SlotFeet,LeatherFeet,,true,true,false,false,true,,,false,75,1,Armoring,50,outfitting2,,,,1,MediumFeet_LeatherT3,,,,,300,3,,,,LeatherT3,Category_Only,Cloth,Category_Only,Metal,Category_Only,,,,,,,,,5,3,1,,,,,Craft_ArmoringT3,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_LeatherFeetT4,FC_Procedural_LeatherFeetT4,@Procedural_LeatherFeetT4,Armor,ArmorLeather,@CategoryData_SlotFeet,LeatherFeet,,true,true,false,false,true,,,false,184,1,Armoring,100,outfitting2,,,,1,MediumFeet_LeatherT4,,,,,400,4,,,,LeatherT4,Category_Only,Cloth,Category_Only,Metal,Category_Only,,,,,,,,,5,3,1,,,,,Craft_ArmoringT4,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_LeatherFeetT5,FC_Procedural_LeatherFeetT5,@Procedural_LeatherFeetT5,Armor,ArmorLeather,@CategoryData_SlotFeet,LeatherFeet,,true,true,false,false,true,,,false,449,1,Armoring,150,outfitting2,,,,1,MediumFeet_LeatherT5,,,,,500,5,,,,LeatherT5,Category_Only,Cloth,Category_Only,Metal,Category_Only,,,,,,,,,5,3,1,,,,,Craft_ArmoringT5,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_ClothHeadT2,FC_Procedural_ClothHeadT2,@Procedural_ClothHeadT2,Armor,ArmorCloth,@CategoryData_SlotHead,ClothHead,,true,true,false,false,true,,,false,25,1,Armoring,0,outfitting2,,,,1,LightHead_ClothT2,,,,,200,2,,,,ClothT2,Category_Only,Leather,Category_Only,Metal,Category_Only,,,,,,,,,11,6,1,,,,,Craft_ArmoringT2,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_ClothHeadT3,FC_Procedural_ClothHeadT3,@Procedural_ClothHeadT3,Armor,ArmorCloth,@CategoryData_SlotHead,ClothHead,,true,true,false,false,true,,,false,75,1,Armoring,50,outfitting2,,,,1,LightHead_ClothT3,,,,,300,3,,,,ClothT3,Category_Only,Leather,Category_Only,Metal,Category_Only,,,,,,,,,11,6,1,,,,,Craft_ArmoringT3,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_ClothHeadT4,FC_Procedural_ClothHeadT4,@Procedural_ClothHeadT4,Armor,ArmorCloth,@CategoryData_SlotHead,ClothHead,,true,true,false,false,true,,,false,184,1,Armoring,100,outfitting2,,,,1,LightHead_ClothT4,,,,,400,4,,,,ClothT4,Category_Only,Leather,Category_Only,Metal,Category_Only,,,,,,,,,11,6,1,,,,,Craft_ArmoringT4,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_ClothHeadT5,FC_Procedural_ClothHeadT5,@Procedural_ClothHeadT5,Armor,ArmorCloth,@CategoryData_SlotHead,ClothHead,,true,true,false,false,true,,,false,449,1,Armoring,150,outfitting2,,,,1,LightHead_ClothT5,,,,,500,5,,,,ClothT5,Category_Only,Leather,Category_Only,Metal,Category_Only,,,,,,,,,11,6,1,,,,,Craft_ArmoringT5,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
Procedural_ClothChestT2,FC_Procedural_ClothChestT2,@Procedural_ClothChestT2,Armor,ArmorCloth,@CategoryData_SlotChest,ClothChest,,true,true,false,false,true,,,false,25,1,Armoring,0,outfitting2,,,,1,LightChest_ClothT2,,,,,200,2,,,,ClothT2,Category_Only,Leather,Category_Only,Metal,Category_Only,,,,,,,,,22,12,1,,,,,Craft_ArmoringT2,true,,,"5,10,15,20,25","-5,-10,-15,-20,-25",,,,15,
