DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,DeflectDamageID,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,EffectOnlyOnDamage,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,HungerDmg,ThirstDmg,StaminaDmg,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Sandworm_BodySlam,Blunt_AI,0,0,,Bullet,Unarmed,Heavy,Strike,,,,,,,false,0.7,1,1,5,3,5,40,35,40,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,1,,0,0,0,0,3,1.25,1,Large_short,Small,Large_short,1,0.1625,0.325
Sandworm_AcidSpit_Direct,Blunt_AI,0,0,true,Bullet,Unarmed,Magic,Acid,,,,,,,false,0,1,1,0,0,0,30,15,30,0,0,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.3,,1,0,0,0,3,1,1,Large_short,Small,Large_short,1,0.1625,0.325
Sandworm_AcidSpit_Explosion,Blunt_AI,0,0,true,Bullet,Unarmed,Magic,Acid,,,,,,,false,0.175,1,1,0,0,0,30,15,30,0,0,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.3,,1,0,0,0,3,1,1,Large_short,Small,Large_short,1,0.1625,0.325
Sandworm_AcidBall_Direct,Blunt_AI,0,0,true,Bullet,Unarmed,Magic,Acid,,,,,,,false,0.2,1,1,1,0,0,30,15,30,0,0,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.3,,1,0,0,0,3,1,1,Large_short,Small,Large_short,1,0.1625,0.325
Sandworm_AcidSpew_Direct,Blunt_AI,0,0,true,Bullet,Unarmed,Magic,Acid,,,,,,,false,0.5,1,1,1,0,0,30,15,30,0,0,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.3,,1,0,0,0,3,1,1,Large_short,Small,Large_short,1,0.1625,0.325
Sandworm_Emerge,Blunt_AI,0,0,,Bullet,Unarmed,Heavy,Strike,,,,,,,false,1,1,1,4,3,3,40,35,30,0,5,1,0.8,0,0,0,0.8,0,0,0,0.8,0,1,,0,0,0,0,3,0.8,1,Large_short,Small,Large_short,1,0.1625,0.325
Sandworm_WormPellet_Explosion,Unarmed,1,0,,Bullet,Unarmed,Heavy,Strike,,,,,,,false,1,1,1,1,3,5,40,35,40,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,1,,0,0,0,0,3,1.25,1,Large_short,Small,Large_short,1,0.1625,0.325
Sandworm_BodySweep,Unarmed,0,0,,Bullet,Unarmed,Heavy,Strike,,,,,,,false,1,1,1,4,3,5,40,35,40,0,3,0.2,0.8,0,0,0,0.8,0,0,0,0.8,0,1,,0,0,0,0,3,1.25,1,Large_short,Small,Large_short,1,0.1625,0.325
Sandworm_BodySweep_L,Unarmed,0,0,,Bullet,Unarmed,Heavy,Strike,,,,,,,false,1,1,1,4,3,5,40,35,40,0,3,0.2,0.8,0,0,0,0.8,0,0,0,0.8,0,1,,0,0,0,0,3,1.25,1,Large_short,Small,Large_short,1,0.1625,0.325
Sandworm_BodySweep_R,Unarmed,0,0,,Bullet,Unarmed,Heavy,Strike,,,,,,,false,1,1,1,4,3,5,40,35,40,0,3,0.2,0.8,0,0,0,0.8,0,0,0,0.8,0,1,,0,0,0,0,3,1.25,1,Large_short,Small,Large_short,1,0.1625,0.325
Sandworm_Chomp,Blunt_AI,0,0,,Bullet,Unarmed,Heavy,Strike,,,,,,,false,2,1,1,4,3,3,40,35,30,0,4,0.2,0.8,0,0,0,0.8,0,0,0,0.8,0,1,,0,0,0,0,3,1.25,1,Large_short,Small,Large_short,1,0.1625,0.325
Sandworm_Bite,Blunt_AI,0,0,,Bullet,Unarmed,Heavy,Strike,,,,,,,false,2,1,1,5,3,3,25,35,30,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,1,,0,0,0,0,3,0.8,1,Large_short,Small,Large_short,1,0.1625,0.325
