DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaminaDmg,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,CameraShakeID,CritCameraShakeID,StunBreakoutIncrement,LOSCheckVerticalAngleOffset
Attack_Claw_Strike_Quad,Bear_Claw,0,0,Bullet,Light,Strike,,,,Deflect_Default,false,0.3,1,1,0,0,0,10,15,10,0,1.5,0,0.8,0,1.5,0,0.8,0,0.33,0,0,0,0,0,0.15,1.15,Large,Large,1,0
Attack_Claw_Strike_Quad_Hard,Bear_Claw,0,0,Bullet,Light,Strike,AI_CorruptionDMG_50,,,Deflect_Default,false,0.3,1,1,0,0,0,10,15,10,0,1.5,0,0.8,0,1.5,0,0.8,0,0.33,0,0,0,0,0,0.15,1.15,Large,Large,1,0
Attack_Claw_Strike_Bi,Bear_Claw,0,0,Bullet,Heavy,Strike,,,,Deflect_Default,false,0.3,1,1,1,1,1,10,15,10,0,2,0,0.8,0,2,0,0.8,0,0.33,0,0,0,0,0,0.15,1.15,Large,Large,1,0
Attack_Claw_Strike_Bi_Hard,Bear_Claw,0,0,Bullet,Heavy,Strike,AI_CorruptionDMG_50,,,Deflect_Default,false,0.3,1,1,1,1,1,10,15,10,0,2,0,0.8,0,2,0,0.8,0,0.33,0,0,0,0,0,0.15,1.15,Large,Large,1,0
Attack_Charge,Bear_Claw,0,0,Bullet,Heavy,Strike,,,,Deflect_Default,false,1,1,1,4,4,4,40,35,40,3,3,0,0.8,3,3,0,0.8,0,1.5,0,0,0,0,0,3,2,Large,Large,1,0
Attack_Charge_Hard,Bear_Claw,0,0,Bullet,Heavy,Strike,AI_CorruptionDMG_50,,,Deflect_Default,false,1,1,1,4,4,4,40,35,40,3,3,0,0.8,3,3,0,0.8,0,1.5,0,0,0,0,0,3,2,Large,Large,1,0
Attack_Slam,Bear_Claw,0,0,Bullet,Heavy,Strike,,,,Deflect_Default,false,0.45,1,1,5,5,5,35,30,35,0,0.5,0,0.8,0,0.5,0,0.8,0,0,0,0,0,0,0,0.45,1.25,Large,Large,1,16
Attack_Slam_Hard,Bear_Claw,0,0,Bullet,Heavy,Strike,AI_CorruptionDMG_50,,,Deflect_Default,false,0.45,1,1,5,5,5,35,30,35,0,0.5,0,0.8,0,0.5,0,0.8,0,0,0,0,0,0,0,0.45,1.25,Large,Large,1,16
Deflect_Default,Bear_Claw,1,0,,,Deflect,,,,,,0,0,0,2,2,2,0,0,0,0,1,0,0.8,0,1,0,0.8,0,0,0,0,0,0,,2,,Large,Large,1,0
Attack_Rampage,Bear_Claw,0,0,Bullet,Heavy,Strike,,,,Deflect_Default,false,0.75,1,1,5,5,5,35,30,35,0,0.5,0,0.8,0,0.5,0,0.8,0,1,0,0,0,0,0,0.8,1.25,Large,Large,1,0
Attack_Rampage_Hard,Bear_Claw,0,0,Bullet,Heavy,Strike,AI_CorruptionDMG_50,,,Deflect_Default,false,0.75,1,1,5,5,5,35,30,35,0,0.5,0,0.8,0,0.5,0,0.8,0,1,0,0,0,0,0,0.8,1.25,Large,Large,1,0
Fall,Fall,1,1,Bullet,,Falling,,,,,,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Large,Large,1,0
