DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier
Damned_1H_Melee_Light,Sword,0,0,,Bullet,Light,Slash,,,,false,0.4,1,1,0,0,0,20,15,20,0,1.25,0,0.8,0,0.75,0,0.8,0,1,0,0.8,0,0.3,,0.5,Small,Small,3,0.1,1
Damned_1H_Melee_Primary,Sword,0,0,,Bullet,Light,Slash,,,,false,0.5,1,1,0,0,0,20,15,20,0,1.25,0,0.8,0,1,0,0.8,0,1.5,0,0.8,0,0.7,,0.75,Small,Small,3,0.1,1
Damned_1H_Melee_Heavy,Sword,0,0,,Bullet,Heavy,Thrust,,,,false,1.05,1,1,3,3,3,30,25,30,0,1.5,0,0.8,0,1.5,0,0.8,0,2,0,0.8,0,1.2,,1.5,Small,Small,3,0.6,1
Damned_1H_Melee_Heavy_Slash,Sword,0,0,,Bullet,Heavy,Slash,,,,false,0.9,1,1,2,2,2,20,15,20,0,1,0,0.8,0,1.5,0,0.8,0,2,0,0.8,0,1.2,,1.5,Small,Small,3,0.45,1
Damned_1H_Melee_Combo_01,Sword,0,0,,Bullet,Heavy,Slash,,AI_Disease,TRUE,false,0.5,1,1,2,2,2,25,20,25,0,1,0,0.8,0,1,0,0.8,0,1,0,0.8,0,0.7,,0.5,Small,Small,3,0.8,1
Damned_1H_Melee_Combo_01_Shield,Sword,0,0,,Bullet,Heavy,Strike,,AI_Disease,TRUE,false,0.5,1,1,2,2,2,25,20,25,0,1.5,0,0.8,0,1,0,0.8,0,1.5,0,0.8,0,1.2,,0.5,Small,Small,3,1.2,1
Damned_1H_Melee_Combo_02,Sword,0,0,,Bullet,Heavy,Thrust,,AI_Disease,TRUE,false,0.6,1,1,3,3,3,30,30,30,0,1,0,0.8,0,1,0,0.8,0,1,0,0.8,0,0.7,,0.5,Small,Small,3,0.8,1
Damned_1H_Melee_Combo_02_Slash,Sword,0,0,,Bullet,Heavy,Slash,,AI_Disease,TRUE,false,0.6,1,1,3,3,3,30,30,30,0,1,0,0.8,0,1,0,0.8,0,1,0,0.8,0,0.7,,0.5,Small,Small,3,0.8,1
Damned_1H_Club_Light,Club,0,0,,Bullet,Light,Strike,,,,false,0.55,1,1,0,1,0,20,10,20,0,0.7,0,0.8,0,0.5,0,0.8,0,0.7,0,0.8,0,0.3,,0.5,Small,Small,3,1.1,1
Damned_1H_Club_Primary,Club,0,0,,Bullet,Heavy,Strike,,,,false,0.75,1,1,1,1,1,15,15,15,0,1.5,0,0.8,0,1,0,0.8,0,1.5,0,0.8,0,0.7,,0.75,Small,Small,3,1.3,1
Damned_1H_Club_Heavy,Club,0,0,,Bullet,Heavy,Strike,,,,false,0.9,1,1,3,3,3,30,30,30,0,2,0,0.8,0,1.5,0,0.8,0,2,0,0.8,0,1.2,,1.5,Small,Small,3,1.5,1
Damned_1H_Club_Combo_01,Club,0,0,,Bullet,Heavy,Strike,,AI_Disease,TRUE,false,0.5,1,1,2,2,2,25,20,25,0,1,0,0.8,0,1,0,0.8,0,1,0,0.8,0,0.7,,0.5,Small,Small,3,0.8,1
