AbilityID,DisplayName,Description,UICategory,UISpellForManaCheck,Icon,StatusEffectIcon,Sound,TelegraphStatusEffect,TelegraphCountOffset,OnEquipStatusEffect,EquipWhenUnsheathed,WeaponTag,RequiredAbilityId,RequiredEquippedAbilityId,TreeId,TreeRowPosition,TreeColumnPosition,IsActiveAbility,IsGlobalAbility,UnlockDefault,ScalingStrength,ScalingDexterity,ScalingIntelligence,ScalingSpirit,ScalingConstitution,OnKill,OnExecuted,OnHit,OnBlockedHit,OnHitBehind,OnCrit,OnCritTaken,OnHeadShot,OnLegShot,OnHitTaken,OnBlockedHitTaken,OnBlockBreak,OnTargetBlockBreak,OnDeath,OnDeathsDoor,OnHealed,OnHealthChanged,OnWeaponSwap,OnStatusEffectApplied,OnInActionLongEnough,RequireReaction,NumSuccessfulHits,NumConsecutiveHits,MaxConsecutiveHits,TrackHitCount,MaxTrackedHitCounts,ResetConsecutiveOnSuccess,NumberOfTrackedHits,NumberOfHitsComparisonType,ResetTrackedOnSuccess,AbilityIdToCheckForTrackedHits,DamageIsRanged,DamageIsMelee,ForceShowNameTag,HasGritActive,TargetHasGritActive,DamageTableRow,RemoteDamageTableRow,RangedAttackName,AttackType,DamageTypes,DamageCategory,IsInCombatState,IsNotInCombatState,CheckOwnedStatusEffects,StatusEffect,StatusEffectStackSize,StatusEffectComparison,StatusEffectCategories,DontHaveStatusEffect,StatusEffectBeingApplied,CheckStatusEffectsOnTargetOwned,TargetStatusEffect,TargetStatusEffectCategory,TargetStatusEffectStackSize,TargetStatusEffectComparison,TargetCollisionFilters,MyMarker,TargetMarker,MyHealthPercent,MyComparisonType,MyStaminaPercent,MyStaminaComparisonType,TargetHealthPercent,TargetComparisonType,DistFromDefender,DistComparisonType,NumAroundMe,NumAroundComparisonType,AbilityOnCooldownOptions,AbilitiesOnCooldown,AbilityCooldownComparisonType,AbilityList,AbilityTrigger,InAction,InActionTime,AfterAction,BaseDamage,BaseDamageReduction,CritDamageReduction,BlockDamage,BlockDamageReduction,CritDamage,CritChance,HeadshotDamage,stagger damage,StaggerDamageReduction,HitRateDmg,HitRateDmgReduction,HealthDamageMitigation,ThreatDamage,ArmorPenetration,PhysicalArmor,ElementalArmor,Knockback,WeaponAccuracy,Health,DmgPctToHealth,MaxHealth,Mana,MaxMana,Stamina,DamageTableRowOverride,StatusEffectDamageTableRowOverride,ForceStatusEffectDamageTableRow,RangedAttackNameOverride,PowerLevelOverride,EnableCrit,CanBlockRangedOverride,PerStatusEffectOnSelf,PerStatusEffectOnSelfMax,PerStatusEffectOnTarget,DisableApplyPerStatusEffectStack,ForceTakeStaminaDamage,CastSpell,SelfApplyStatusEffect,OtherApplyStatusEffect,DoNotUnequipSelfAppliedSE,SetPotencyAsCount,MultiplyRemovedByPotency,OnlyChangeOwnedStatusEffects,NumStatusEffectsToRemove,NumStatusEffectStacksToRemove,RemoveStatusEffects,StatusEffectsList,StatusEffectCategoriesList,RemoveTargetStatusEffectsList,RemoveTargetStatusEffectCats,ConsumeTargetStatusEffectMult,StatusEffectDurationReduction,StatusEffectDurationCats,StatusEffectDurationMod,StatusEffectDurationMult,TargetStatusEffectDurationList,TargetStatusEffectDurationMod,ActivationCooldown,Duration,CooldownId,CDRImmediatelyOptions,ResetCooldownTimers,CooldownTimer,NumFreeCooldownsPerUse,MaxHitCountMultiplier,SetMannequinTag,SetMannequinTagStatus
Ability_Greatsword_DashAttack,@Ability_Greatsword_DashAttack_MasterName,@Ability_Greatsword_DashAttack_Description,Melee Damage,,lyshineui/images/icons/abilities/greatsword_Ability01.png,,Play_UI_WeaponSkills_Greatsword_Ability_1,,,,,Greatsword,,,0,1,0,true,false,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,false,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_Greatsword_DashAttack,,,,,,,
Upgrade_Greatsword_Dash_1,@Upgrade_Greatsword_Dash_1_MasterName,@Upgrade_Greatsword_Dash_1_Description,Melee Damage,,lyshineui/images/icons/abilities/greatsword_Ability01_Mod01.png,,,,,,,Greatsword,,,0,3,0,false,false,,,,,,,,,true,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,"Greatsword_DashAttack1,Greatsword_DashAttack2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greatsword_DashAttack_Empower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upgrade_Greatsword_Dash_2,@Upgrade_Greatsword_Dash_2_MasterName,@Upgrade_Greatsword_Dash_2_Description,Melee Damage,,lyshineui/images/icons/abilities/greatsword_Ability01_Mod02.png,,,,,,,Greatsword,,,0,4,0,false,false,,,,,,,,,true,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,"Greatsword_DashAttack1,Greatsword_DashAttack2",,,,,,,,,Greatsword_Stance_Offense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greatsword_DashAttack_Root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helper_Upgrade_Greatsword_Dash_2,,,Melee Damage,,,,,,,,true,Greatsword,,Upgrade_Greatsword_Dash_2,,,,false,false,,,,,,,,,true,,,,,,,,,,,,,,,,,,true,,,,true,6,,5,LessThanOrEqual,,,,,,,,"Greatsword_DashAttack1,Greatsword_DashAttack2",,,,,,,,,Greatsword_Stance_Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upgrade_Greatsword_Dash_3,@Upgrade_Greatsword_Dash_3_MasterName,@Upgrade_Greatsword_Dash_3_Description,Melee Damage,,lyshineui/images/icons/abilities/greatsword_Ability01_Mod03.png,,,,,,,Greatsword,,,0,4,1,false,false,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,Ability_Greatsword_DashAttack,AbilitySpecific,,-0.5,,,,
Ability_Greatsword_Combo,@Ability_Greatsword_Combo_MasterName,@Ability_Greatsword_Combo_Description,Melee Damage,,lyshineui/images/icons/abilities/greatsword_Ability02.png,,Play_UI_WeaponSkills_Greatsword_Ability_2,,,,,Greatsword,,,0,0,2,true,false,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,false,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_Greatsword_Combo,,,,,,,
Upgrade_Greatsword_Combo_1,@Upgrade_Greatsword_Combo_1_MasterName,@Upgrade_Greatsword_Combo_1_Description,Melee Damage,,lyshineui/images/icons/abilities/greatsword_Ability02_Mod01.png,,,,,,,Greatsword,,,0,1,2,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upgrade_Greatsword_Combo_2,@Upgrade_Greatsword_Combo_2_MasterName,@Upgrade_Greatsword_Combo_2_Description,Melee Damage,,lyshineui/images/icons/abilities/greatsword_Ability02_Mod02.png,,,,,,,Greatsword,,,0,2,2,false,false,,,,,,,,,true,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,Greatsword_Combo3,,,,,,,,,,,,,Greatsword_Stance_Offense,,,,,,,,,,,,,,50,LessThan,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helper_Upgrade_Greatsword_Combo_2,,,,,,,,,,,true,Greatsword,,Upgrade_Greatsword_Combo_2,,,,false,false,,,,,,,,,true,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,Greatsword_Combo3,,,,,,,,,Greatsword_Stance_Offense,,,,,,,,,,,,,,,,,,75,LessThan,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ability_Greatsword_DefenseBreak,@Ability_Greatsword_DefenseBreak_MasterName,@Ability_Greatsword_DefenseBreak_Description,Melee Damage,,lyshineui/images/icons/abilities/greatsword_Ability03.png,,Play_UI_WeaponSkills_Greatsword_Ability_3,,,,,Greatsword,,,0,2,4,true,false,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,true,0,0,0,false,0,,,,,,,,,,,"Greatsword_DefenseBreak1,Greatsword_DefenseBreak1_Upgrade",,,,,,,,,Greatsword_Stance_Offense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greatsword_Stacking_Rend,,,,,,,,,,,,,,,,,,,,,Ability_Greatsword_DefenseBreak,,,,,,,
