AbilityID,DisplayName,Description,UICategory,Icon,StatusEffectIcon,Sound,TelegraphStatusEffect,TelegraphCountOffset,OnEquipStatusEffect,WeaponTag,RequiredAbilityId,TreeId,TreeRowPosition,TreeColumnPosition,IsActiveAbility,IsGlobalAbility,ScalingStrength,ScalingDexterity,ScalingIntelligence,ScalingSpirit,ScalingConstitution,OnKill,OnExecuted,OnHit,OnBlockedHit,OnCrit,OnHeadShot,OnLegShot,OnHitTaken,OnBlockBreak,OnTargetBlockBreak,OnDeath,OnDeathsDoor,NumSuccessfulHits,NumConsecutiveHits,MaxConsecutiveHits,TrackHitCount,MaxTrackedHitCounts,ResetConsecutiveOnSuccess,NumberOfTrackedHits,NumberOfHitsComparisonType,DamageIsRanged,DamageIsMelee,ForceShowNameTag,HasGritActive,TargetHasGritActive,DamageTableRow,RemoteDamageTableRow,RangedAttackName,AttackType,DamageTypes,StatusEffect,StatusEffectCategories,DontHaveStatusEffect,TargetStatusEffect,TargetStatusEffectCategory,TargetStatusEffectStackSize,TargetStatusEffectComparison,TargetCollisionFilters,TargetMarker,MyHealthPercent,MyComparisonType,MyStaminaPercent,MyStaminaComparisonType,TargetHealthPercent,TargetComparisonType,DistFromDefender,DistComparisonType,NumAroundMe,NumAroundComparisonType,AbilityList,AbilityTrigger,InAction,InActionTime,AfterAction,BaseDamage,BaseDamageReduction,BlockDamage,BlockDamageReduction,CritDamage,CritChance,HeadshotDamage,StaggerDamage,StaggerDamageReduction,HitRateDmg,HitRateDmgReduction,HealthDamageMitigation,ThreatDamage,ArmorPenetration,PhysicalArmor,ElementalArmor,Knockback,WeaponAccuracy,Health,DmgPctToHealth,MaxHealth,Mana,MaxMana,DamageTableRowOverride,RangedAttackNameOverride,EnableCrit,PerStatusEffectOnTarget,ForceTakeStaminaDamage,CastSpell,SelfApplyStatusEffect,OtherApplyStatusEffect,SetPotencyAsCount,MultiplyRemovedByPotency,RemoveStatusEffects,StatusEffectsList,StatusEffectCategoriesList,RemoveTargetStatusEffectsList,ConsumeTargetStatusEffectMult,StatusEffectDurationReduction,TargetStatusEffectDurationList,TargetStatusEffectDurationMod,Duration,CooldownId,CDRImmediatelyOptions,ResetCooldownTimers,CooldownTimer,NumFreeCooldownsPerUse,MaxHitCountMultiplier,SetMannequinTag,SetMannequinTagStatus
Ability_Warhammer_ArmorBreaker,@ArmorBreaker,@ArmorBreaker_description,Melee Damage,warhammerAbility1,,Play_UI_WeaponSkills_Warhammer_Ability_1,,,,Warhammer,,0,0,0,true,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_WarHammer_ArmorBreaker,0.1,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_WarHammer_ArmorBreaker,,,,,,,
Upgrade_WarHammer_ArmBreak_Grit,@ArmorBreaker_Mod1,@ArmorBreaker_Mod1_description,Melee Damage,warhammerAbility1_mod1,,,,,,Warhammer,Ability_Warhammer_ArmorBreaker,0,1,0,false,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_WarHammer_ArmorBreaker,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_WarHammer_ArmorBreaker,,,,,,,
Upgrade_WarHammer_ArmBreak_Rend,@ArmorBreaker_Mod2,@ArmorBreaker_Mod2_description,Melee Damage,Spear_Perforate_BonusRend,,,,,,Warhammer,Upgrade_WarHammer_ArmBreak_Grit,0,2,0,false,false,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_WarHammer_ArmorBreaker,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WarHammer_ArmorBreaker_Rend,,,,,,,,,,,,Ability_WarHammer_ArmorBreaker,,,,,,,
Upgrade_WarHammer_ArmBreak_DmgFullHealth,@ArmorBreaker_Mod3,@ArmorBreaker_Mod3_description,Melee Damage,hatchetAbility3_mod2,,,,,,Warhammer,Upgrade_WarHammer_ArmBreak_Rend,0,4,0,false,false,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,99,GreaterThan,,,,,,,Ability_WarHammer_ArmorBreaker,0.1,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_WarHammer_ArmorBreaker,,,,,,,
Ability_WarHammer_MightyGavel,@MightyGavel,@MightyGavel_description,Melee Damage,warhammerAbility3,,Play_UI_WeaponSkills_Warhammer_Ability_2,,,,Warhammer,,0,1,2,true,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_WarHammer_MightyGavel,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_WarHammer_MightyGavel,,,,,,,
Upgrade_WarHammer_Gavel_DmgUnder30pctHP,@MightyGavel_Mod1,@MightyGavel_Mod1_description,Melee Damage,swordAbility1_mod3,,,,,,Warhammer,Ability_WarHammer_MightyGavel,0,2,2,false,false,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,30,LessThan,,,,,,,Ability_WarHammer_MightyGavel,0.1,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_WarHammer_MightyGavel,,,,,,,
Upgrade_WarHammer_Gavel_StaminaDmg,@MightyGavel_Mod2,@MightyGavel_Mod2_description,Melee Damage,warhammerAbility1_mod1,,,,,,Warhammer,Upgrade_WarHammer_Gavel_DmgUnder30pctHP,0,3,2,false,false,,,,,,false,false,true,true,false,false,false,false,false,false,false,false,0,0,0,false,0,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_WarHammer_MightyGavel,0.1,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_WarHammer_MightyGavel,,,,,,,
Upgrade_WarHammer_Gavel_Haste,@MightyGavel_Mod3,@MightyGavel_Mod3_description,Melee Damage,warhammerAbility3_mod3,,,,,,Warhammer,Upgrade_WarHammer_Gavel_StaminaDmg,0,4,2,false,false,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,0,0,0,false,0,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_WarHammer_MightyGavel,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WarHammer_Gavel_Haste,,,,,,,,,,,,,Ability_WarHammer_MightyGavel,,,,,,,
Ability_Warhammer_MightyGavel_Upg,@JusticeForAll,@JusticeForAll_description,Melee Damage,warhammerAbility3_mod4,,Play_UI_WeaponSkills_Warhammer_Ultimate_1,,,,Warhammer,Upgrade_WarHammer_Gavel_Haste,0,5,2,false,false,,,,,,false,false,true,true,false,false,false,false,false,false,false,false,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_WarHammer_MightyGavel,0.1,,,,,,,,,,,,,,,,,,,,,,,,,Warhammer_Damage_MightyGavel_Upg,,,,,,,,,,,,,,,,,,,Ability_WarHammer_MightyGavel,,,,,,,
Ability_WarHammer_WreckingBall,@WreckingBall,@WreckingBall_description,Melee Damage,warhammerAbility6,,Play_UI_WeaponSkills_Warhammer_Ability_3,,,,Warhammer,,0,2,4,true,false,,,,,,false,false,true,true,false,false,false,false,false,false,false,false,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_WarHammer_WreckingBall,,,,,,,
